Case,DetectionSign,Window,CropBestNativeSpacetimeIoU,FullBestNativeSpacetimeIoU,CropOverlappingEvents,FullOverlappingEvents,CropTotalDetectedEvents,FullTotalDetectedEvents,CropMeasuredOnsetErrorSec,FullMeasuredOnsetErrorSec,CropMeasuredOffsetErrorSec,FullMeasuredOffsetErrorSec,CropTimingResolved,FullTimingResolved
control,sink,1,0,0,0,0,16,137,NaN,NaN,NaN,NaN,NaN,NaN
control,sink,2,0,0,0,0,16,137,NaN,NaN,NaN,NaN,NaN,NaN
control,surge,1,0,0,0,0,5,40,NaN,NaN,NaN,NaN,NaN,NaN
control,surge,2,0,0,0,0,5,40,NaN,NaN,NaN,NaN,NaN,NaN
sink05,sink,1,0.0936576718534568,0.0887356321839081,1,1,16,138,0,-1,-1,0,1,1
sink05,sink,2,0.0625821847757269,0.0194673580014141,1,1,16,138,1,8,-1,1,1,1
sink05,surge,1,0,0,0,0,5,40,NaN,NaN,NaN,NaN,NaN,NaN
sink05,surge,2,0,0,0,0,5,40,NaN,NaN,NaN,NaN,NaN,NaN
sink20,sink,1,0,0,0,0,15,125,NaN,NaN,NaN,NaN,NaN,NaN
sink20,sink,2,0.462041625371655,0.785279468732706,1,1,15,125,0,0,0,0,0,1
sink20,surge,1,0,0,0,0,6,36,NaN,NaN,NaN,NaN,NaN,NaN
sink20,surge,2,0,0,0,0,6,36,NaN,NaN,NaN,NaN,NaN,NaN
surge05,sink,1,0,0,0,0,18,137,NaN,NaN,NaN,NaN,NaN,NaN
surge05,sink,2,0,0,0,0,18,137,NaN,NaN,NaN,NaN,NaN,NaN
surge05,surge,1,0.303821901943122,0,1,0,5,39,1,NaN,-9,NaN,NaN,NaN
surge05,surge,2,0,0,0,0,5,39,NaN,NaN,NaN,NaN,NaN,NaN
surge20,sink,1,0,0,0,0,13,138,NaN,NaN,NaN,NaN,NaN,NaN
surge20,sink,2,0,0,0,0,13,138,NaN,NaN,NaN,NaN,NaN,NaN
surge20,surge,1,0.587529411764706,0.582764011116258,1,1,7,41,0,0,0,0,NaN,NaN
surge20,surge,2,0.490922365539061,0.375640768635986,1,1,7,41,0,7,0,1,NaN,NaN
global_drop20,sink,1,0.00351844807911753,0,1,0,13,122,0,NaN,0,NaN,1,NaN
global_drop20,sink,2,0,0,0,0,13,122,NaN,NaN,NaN,NaN,NaN,NaN
global_drop20,surge,1,0,0,0,0,9,42,NaN,NaN,NaN,NaN,NaN,NaN
global_drop20,surge,2,0,0,0,0,9,42,NaN,NaN,NaN,NaN,NaN,NaN
global20_local05,sink,1,0,0,0,0,17,109,NaN,NaN,NaN,NaN,NaN,NaN
global20_local05,sink,2,0,0,0,0,17,109,NaN,NaN,NaN,NaN,NaN,NaN
global20_local05,surge,1,0.661383768254728,0,1,0,7,44,0,NaN,0,NaN,NaN,NaN
global20_local05,surge,2,0.781878879067143,0,1,0,7,44,0,NaN,0,NaN,NaN,NaN
