Stage,Window,FramesWithIntersection,InjectedVolumeCoverage,IntersectingRuns,RowAndNativeBounds
percentile,1,20,0.964767096134787,1,1:1-600;
percentile,2,20,0.984440039643211,1,1:1-600;
candidate_geometry_tissue,1,20,0.964767096134787,1,1:49-153;
candidate_geometry_tissue,2,20,0.984440039643211,1,1:49-153;
tracking,1,20,0.964767096134787,1,45:61-80;
tracking,2,20,0.984440039643211,1,45:96-115;
duration_only_diagnostic,1,20,0.964767096134787,1,27:61-80;
duration_only_diagnostic,2,20,0.984440039643211,1,27:96-115;
duration_and_spacing,1,0,0,0,
duration_and_spacing,2,20,0.984440039643211,1,27:96-115;
correlation_1,1,0,0,0,
correlation_1,2,20,0.984440039643211,1,23:96-115;
correlation_2,1,0,0,0,
correlation_2,2,20,0.984440039643211,1,23:96-115;
correlation_3,1,0,0,0,
correlation_3,2,20,0.984440039643211,1,23:96-115;
