Case,DetectionSign,Window,TotalDetectedEvents,OverlappingEvents,BestNativeSpacetimeIoU,BestEventRow,NativeStartFrame,NativeEndFrame,MeasuredOnsetErrorSec,MeasuredOffsetErrorSec,MeasuredAmplitudeFraction,TimingResolved,ActualInjectedLocalFraction,MaxRoundingError
control,sink,1,137,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0
control,sink,2,137,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0
control,surge,1,40,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0
control,surge,2,40,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0
sink05,sink,1,138,1,0.0887356321839081,74,72,79,-1,0,0.0472866998575096,1,-0.0497955039819393,0.5
sink05,sink,2,138,1,0.0194673580014141,75,113,115,8,1,0.0507996595571703,1,-0.0497990930524019,0.5
sink05,surge,1,40,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.0497955039819393,0.5
sink05,surge,2,40,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.0497990930524019,0.5
sink20,sink,1,125,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.19996304154709,0.400000000000006
sink20,sink,2,125,1,0.785279468732706,87,96,115,0,0,NaN,1,-0.199985327884443,0.400000000000006
sink20,surge,1,36,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.19996304154709,0.400000000000006
sink20,surge,2,36,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.199985327884443,0.400000000000006
surge05,sink,1,137,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.0502683940661646,0.5
surge05,sink,2,137,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.0502234422628092,0.5
surge05,surge,1,39,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.0502683940661646,0.5
surge05,surge,2,39,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.0502234422628092,0.5
surge20,sink,1,138,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.19996304154709,0.400000000000034
surge20,sink,2,138,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.199985327884443,0.400000000000034
surge20,surge,1,41,1,0.582764011116258,40,61,80,0,0,NaN,NaN,0.19996304154709,0.400000000000034
surge20,surge,2,41,1,0.375640768635986,41,103,116,7,1,NaN,NaN,0.199985327884443,0.400000000000034
global_drop20,sink,1,122,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.19996304154709,0.400000000000006
global_drop20,sink,2,122,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.199985327884443,0.400000000000006
global_drop20,surge,1,42,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.19996304154709,0.400000000000006
global_drop20,surge,2,42,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.199985327884443,0.400000000000006
global20_local05,sink,1,109,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.0497955039819393,0.5
global20_local05,sink,2,109,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.0497990930524019,0.5
global20_local05,surge,1,44,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.0497955039819393,0.5
global20_local05,surge,2,44,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.0497990930524019,0.5
