Case,DetectionSign,Window,TotalDetectedEvents,OverlappingEvents,BestNativeSpacetimeIoU,BestEventRow,NativeStartFrame,NativeEndFrame,MeasuredOnsetErrorSec,MeasuredOffsetErrorSec,MeasuredAmplitudeFraction,TimingResolved,ActualInjectedLocalFraction,MaxRoundingError
control,sink,1,16,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0
control,sink,2,16,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0
control,surge,1,5,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0
control,surge,2,5,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0
sink05,sink,1,16,1,0.0936576718534568,2,71,75,0,-1,0.0581898581965077,1,-0.0497955039819393,0.5
sink05,sink,2,16,1,0.0625821847757269,12,105,111,1,-1,0.0833903494022009,1,-0.0497990930524019,0.5
sink05,surge,1,5,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.0497955039819393,0.5
sink05,surge,2,5,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.0497990930524019,0.5
sink20,sink,1,15,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.19996304154709,0.400000000000006
sink20,sink,2,15,1,0.462041625371655,2,96,115,0,0,NaN,0,-0.199985327884443,0.400000000000006
sink20,surge,1,6,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.19996304154709,0.400000000000006
sink20,surge,2,6,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.199985327884443,0.400000000000006
surge05,sink,1,18,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.0502683940661646,0.5
surge05,sink,2,18,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.0502234422628092,0.5
surge05,surge,1,5,1,0.303821901943122,2,62,71,1,-9,NaN,NaN,0.0502683940661646,0.5
surge05,surge,2,5,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.0502234422628092,0.5
surge20,sink,1,13,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.19996304154709,0.400000000000034
surge20,sink,2,13,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.199985327884443,0.400000000000034
surge20,surge,1,7,1,0.587529411764706,2,61,80,0,0,NaN,NaN,0.19996304154709,0.400000000000034
surge20,surge,2,7,1,0.490922365539061,3,96,115,0,0,NaN,NaN,0.199985327884443,0.400000000000034
global_drop20,sink,1,13,1,0.00351844807911753,10,77,79,0,0,NaN,1,-0.19996304154709,0.400000000000006
global_drop20,sink,2,13,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.199985327884443,0.400000000000006
global_drop20,surge,1,9,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.19996304154709,0.400000000000006
global_drop20,surge,2,9,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.199985327884443,0.400000000000006
global20_local05,sink,1,17,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.0497955039819393,0.5
global20_local05,sink,2,17,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.0497990930524019,0.5
global20_local05,surge,1,7,1,0.661383768254728,1,61,80,0,0,NaN,NaN,-0.0497955039819393,0.5
global20_local05,surge,2,7,1,0.781878879067143,2,96,115,0,0,NaN,NaN,-0.0497990930524019,0.5
