StartFrame,EndFrame,NativeStartFrame,NativeEndFrame,TimingSearchStartFrame,TimingSearchEndFrame,StartBoundaryStatus,EndBoundaryStatus,TimingResolved,NativeTraceCrossesReturnLevel,TimingMaxExtensionFrames,SiteID,EventID,Session,SearchLimitSec
5,8,5,8,1,13,seed_not_below_return_level,seed_not_below_return_level,0,1,5,1,1,M400-01-baseline-awake,5
431,440,436,440,431,445,return_crossing,search_limit_unresolved,0,0,5,1,2,M400-01-baseline-awake,5
578,600,582,600,577,600,return_crossing,recording_boundary_unresolved,0,1,5,1,3,M400-01-baseline-awake,5
2,8,2,8,1,13,seed_not_below_return_level,return_crossing,0,1,5,2,1,M400-01-baseline-awake,5
31,44,35,39,30,44,return_crossing,return_crossing,1,0,5,2,2,M400-01-baseline-awake,5
287,291,287,289,282,294,search_limit_unresolved,return_crossing,0,0,5,2,3,M400-01-baseline-awake,5
4,17,4,16,1,21,seed_not_below_return_level,return_crossing,0,1,5,3,1,M400-01-baseline-awake,5
242,257,244,256,239,261,return_crossing,return_crossing,1,0,5,3,2,M400-01-baseline-awake,5
456,461,457,461,452,466,return_crossing,return_crossing,1,0,5,3,3,M400-01-baseline-awake,5
17,46,18,46,13,51,return_crossing,search_limit_unresolved,0,1,5,4,1,M400-01-baseline-awake,5
219,227,219,227,214,232,return_crossing,seed_not_below_return_level,0,1,5,4,2,M400-01-baseline-awake,5
252,332,252,332,247,337,seed_not_below_return_level,seed_not_below_return_level,0,1,5,4,3,M400-01-baseline-awake,5
403,408,405,408,400,413,return_crossing,return_crossing,1,0,5,4,4,M400-01-baseline-awake,5
481,486,482,486,477,491,return_crossing,return_crossing,1,0,5,4,5,M400-01-baseline-awake,5
546,550,546,549,541,554,return_crossing,return_crossing,1,0,5,4,6,M400-01-baseline-awake,5
580,600,580,600,575,600,seed_not_below_return_level,seed_not_below_return_level,0,1,5,4,7,M400-01-baseline-awake,5
23,37,23,33,18,38,search_limit_unresolved,return_crossing,0,0,5,5,1,M400-01-baseline-awake,5
90,108,90,108,85,113,seed_not_below_return_level,return_crossing,0,1,5,5,2,M400-01-baseline-awake,5
28,30,28,30,23,35,search_limit_unresolved,search_limit_unresolved,0,0,5,6,1,M400-01-baseline-awake,5
123,131,125,128,120,133,return_crossing,return_crossing,1,0,5,6,2,M400-01-baseline-awake,5
11,14,11,13,6,18,return_crossing,return_crossing,1,0,5,7,1,M400-01-baseline-awake,5
102,105,102,104,97,109,search_limit_unresolved,return_crossing,0,0,5,7,2,M400-01-baseline-awake,5
122,131,124,130,119,135,return_crossing,return_crossing,1,0,5,7,3,M400-01-baseline-awake,5
194,208,199,208,194,213,return_crossing,return_crossing,1,0,5,7,4,M400-01-baseline-awake,5
241,254,245,254,240,259,return_crossing,return_crossing,1,0,5,7,5,M400-01-baseline-awake,5
335,347,335,347,330,352,search_limit_unresolved,return_crossing,0,0,5,7,6,M400-01-baseline-awake,5
394,401,394,399,389,404,search_limit_unresolved,return_crossing,0,0,5,7,7,M400-01-baseline-awake,5
567,570,567,570,562,575,search_limit_unresolved,return_crossing,0,0,5,7,8,M400-01-baseline-awake,5
155,160,157,160,152,165,return_crossing,search_limit_unresolved,0,0,5,8,1,M400-01-baseline-awake,5
229,234,232,234,227,239,return_crossing,search_limit_unresolved,0,0,5,8,2,M400-01-baseline-awake,5
486,500,488,500,483,505,return_crossing,return_crossing,1,0,5,8,3,M400-01-baseline-awake,5
220,243,225,242,220,247,return_crossing,return_crossing,1,0,5,9,1,M400-01-baseline-awake,5
361,374,361,371,356,376,search_limit_unresolved,return_crossing,0,0,5,9,2,M400-01-baseline-awake,5
451,460,454,458,449,463,return_crossing,return_crossing,1,0,5,9,3,M400-01-baseline-awake,5
28,41,28,39,23,44,search_limit_unresolved,return_crossing,0,0,5,10,1,M400-01-baseline-awake,5
94,106,98,103,93,108,return_crossing,return_crossing,1,0,5,10,2,M400-01-baseline-awake,5
226,233,226,232,221,237,search_limit_unresolved,return_crossing,0,0,5,10,3,M400-01-baseline-awake,5
394,402,394,399,389,404,search_limit_unresolved,return_crossing,0,0,5,10,4,M400-01-baseline-awake,5
446,451,448,451,443,456,return_crossing,search_limit_unresolved,0,0,5,10,5,M400-01-baseline-awake,5
588,596,592,596,587,600,return_crossing,seed_not_below_return_level,0,1,5,10,6,M400-01-baseline-awake,5
82,97,85,96,80,101,return_crossing,return_crossing,1,0,5,11,1,M400-01-baseline-awake,5
311,315,312,315,307,320,return_crossing,return_crossing,1,0,5,11,2,M400-01-baseline-awake,5
399,403,399,401,394,406,search_limit_unresolved,return_crossing,0,0,5,11,3,M400-01-baseline-awake,5
468,477,472,475,467,480,return_crossing,return_crossing,1,0,5,11,4,M400-01-baseline-awake,5
531,536,533,536,528,541,return_crossing,search_limit_unresolved,0,0,5,11,5,M400-01-baseline-awake,5
41,47,41,43,36,48,seed_not_below_return_level,return_crossing,0,1,5,12,1,M400-01-baseline-awake,5
465,473,465,471,460,476,search_limit_unresolved,return_crossing,0,0,5,12,2,M400-01-baseline-awake,5
107,124,109,124,104,129,return_crossing,seed_not_below_return_level,0,1,5,13,1,M400-01-baseline-awake,5
311,324,312,324,307,329,return_crossing,return_crossing,1,0,5,13,2,M400-01-baseline-awake,5
365,372,365,369,360,374,search_limit_unresolved,return_crossing,0,0,5,13,3,M400-01-baseline-awake,5
504,512,507,511,502,516,return_crossing,return_crossing,1,0,5,13,4,M400-01-baseline-awake,5
66,76,67,76,62,81,return_crossing,return_crossing,1,0,5,14,1,M400-01-baseline-awake,5
106,113,107,109,102,114,return_crossing,return_crossing,1,0,5,14,2,M400-01-baseline-awake,5
209,221,211,219,206,224,return_crossing,return_crossing,1,0,5,14,3,M400-01-baseline-awake,5
292,297,292,296,287,301,return_crossing,return_crossing,1,0,5,14,4,M400-01-baseline-awake,5
348,361,349,358,344,363,return_crossing,return_crossing,1,0,5,14,5,M400-01-baseline-awake,5
403,411,404,409,399,414,return_crossing,return_crossing,1,0,5,14,6,M400-01-baseline-awake,5
480,486,480,485,475,490,return_crossing,return_crossing,1,0,5,14,7,M400-01-baseline-awake,5
512,516,513,515,508,520,return_crossing,return_crossing,1,0,5,14,8,M400-01-baseline-awake,5
546,552,546,550,541,555,return_crossing,return_crossing,1,0,5,14,9,M400-01-baseline-awake,5
571,579,572,575,567,580,return_crossing,return_crossing,1,0,5,14,10,M400-01-baseline-awake,5
