Session,Role,SearchLimitSec,SinkEvents,TimingResolved,TimingUnresolved,StartsExtended,EndsExtended,StartsSearchLimited,EndsSearchLimited,MixedOrInvalidNativeTrace
M400-01-baseline-awake,BOI_reference,5,137,51,86,65,66,50,39,22
M400-01-baseline-awake,BOI_reference,10,137,83,54,89,90,26,15,22
M400-01-baseline-awake,BOI_reference,20,137,106,31,110,100,5,5,22
M400-01-baseline-awake,BOI_reference,40,137,112,25,113,103,2,2,22
M400-03-baseline-iso,BOI_reference,5,84,48,36,52,55,16,15,11
M400-03-baseline-iso,BOI_reference,10,84,63,21,62,65,6,5,11
M400-03-baseline-iso,BOI_reference,20,84,69,15,66,68,2,2,11
M400-03-baseline-iso,BOI_reference,40,84,72,12,67,70,1,0,11
M401-01-baseline-awake,BOI_reference,5,92,37,55,37,35,24,23,24
M401-01-baseline-awake,BOI_reference,10,92,51,41,50,48,11,10,24
M401-01-baseline-awake,BOI_reference,20,92,62,30,60,52,1,6,24
M401-01-baseline-awake,BOI_reference,40,92,67,25,61,57,0,1,24
M401-03-baseline-iso,BOI_reference,5,43,26,17,27,26,5,6,7
M401-03-baseline-iso,BOI_reference,10,43,32,11,29,31,3,1,7
M401-03-baseline-iso,BOI_reference,20,43,36,7,32,32,0,0,7
M401-03-baseline-iso,BOI_reference,40,43,36,7,32,32,0,0,7
FB2312-baseline-awake,BOI_reference,5,192,57,135,90,88,85,73,17
FB2312-baseline-awake,BOI_reference,10,192,99,93,121,121,53,40,17
FB2312-baseline-awake,BOI_reference,20,192,136,56,152,143,22,18,17
FB2312-baseline-awake,BOI_reference,40,192,158,34,166,155,8,6,17
FB2316-baseline,BOI_reference,5,193,39,154,58,68,88,75,46
FB2316-baseline,BOI_reference,10,193,63,130,84,92,62,50,46
FB2316-baseline,BOI_reference,20,193,91,102,106,115,40,27,46
FB2316-baseline,BOI_reference,40,193,121,72,131,132,15,10,46
ID13-20200917,BOI_reference,5,235,40,195,71,69,125,128,28
ID13-20200917,BOI_reference,10,235,78,157,108,108,88,89,28
ID13-20200917,BOI_reference,20,235,121,114,146,149,50,48,28
ID13-20200917,BOI_reference,40,235,164,71,173,177,23,20,28
FB2411,fluorescence_control,5,26,11,15,14,13,6,9,2
FB2411,fluorescence_control,10,26,17,9,18,17,2,5,2
FB2411,fluorescence_control,20,26,24,2,20,22,0,0,2
FB2411,fluorescence_control,40,26,24,2,20,22,0,0,2
