Session,SinkID,EventID,NativeStartFrame,NativeEndFrame,StartFrame,EndFrame,DurationSec,TimingSearchStartFrame,TimingSearchEndFrame,TimingMaxExtensionFrames,StartBoundaryStatus,EndBoundaryStatus,TimingResolved,NativeTraceCrossesReturnLevel,BaselineStatus,BaselineValidSamples,NormOxySinkAmp,EventArea_um2
M400-01-baseline-awake,1,1,5,8,5,8,4,1,28,20,seed_not_below_return_level,seed_not_below_return_level,0,1,insufficient_clean_prebaseline,4,NaN,5454.484375
M400-01-baseline-awake,1,2,436,440,431,457,27,416,460,20,return_crossing,return_crossing,1,0,valid,20,0.0526120470218696,13957.1625
M400-01-baseline-awake,1,3,582,600,578,600,23,562,600,20,return_crossing,recording_boundary_unresolved,0,1,valid,20,0.0833950136780547,7672.4375
M400-01-baseline-awake,2,1,2,8,2,8,7,1,21,20,seed_not_below_return_level,return_crossing,0,1,insufficient_clean_prebaseline,1,NaN,11906.5535714286
M400-01-baseline-awake,2,2,35,39,31,44,14,22,59,20,return_crossing,return_crossing,1,0,valid,20,0.0529562415663814,3758.9125
M400-01-baseline-awake,2,3,287,289,277,291,15,267,309,20,return_crossing,return_crossing,1,0,valid,20,0.0746025662547947,5054
M400-01-baseline-awake,3,1,4,16,4,17,14,1,36,20,seed_not_below_return_level,return_crossing,0,1,insufficient_clean_prebaseline,3,NaN,6770.48557692308
M400-01-baseline-awake,3,2,244,256,242,257,16,224,276,20,return_crossing,return_crossing,1,0,valid,20,0.059554172681421,12020.6057692308
M400-01-baseline-awake,3,3,457,461,456,461,6,437,481,20,return_crossing,return_crossing,1,0,valid,20,0.113069113800594,7689.3
M400-01-baseline-awake,4,1,18,46,17,53,37,1,66,20,return_crossing,return_crossing,0,1,insufficient_clean_prebaseline,16,NaN,27784.5517241379
M400-01-baseline-awake,4,2,219,227,219,227,9,199,239,20,return_crossing,seed_not_below_return_level,0,1,insufficient_clean_prebaseline,19,NaN,11065.6527777778
M400-01-baseline-awake,4,3,252,332,252,332,81,240,352,20,seed_not_below_return_level,seed_not_below_return_level,0,1,insufficient_clean_prebaseline,13,NaN,17015.4675925926
M400-01-baseline-awake,4,4,405,408,403,408,6,385,428,20,return_crossing,return_crossing,1,0,insufficient_clean_prebaseline,15,NaN,4213.546875
M400-01-baseline-awake,4,5,482,486,481,486,6,462,506,20,return_crossing,return_crossing,1,0,valid,20,0.0880163783680621,5739.9
M400-01-baseline-awake,4,6,546,549,546,550,5,526,564,20,return_crossing,return_crossing,1,0,valid,20,0.0721335432811552,6176.484375
M400-01-baseline-awake,4,7,580,600,580,600,21,565,600,20,seed_not_below_return_level,seed_not_below_return_level,0,1,insufficient_clean_prebaseline,19,NaN,17542.880952381
M400-01-baseline-awake,5,1,23,33,14,37,24,3,53,20,return_crossing,return_crossing,1,0,insufficient_clean_prebaseline,13,NaN,10048.5170454545
M400-01-baseline-awake,5,2,90,108,90,108,19,70,128,20,seed_not_below_return_level,return_crossing,0,1,insufficient_clean_prebaseline,6,NaN,9121.1875
M400-01-baseline-awake,6,1,28,30,14,40,27,8,50,20,return_crossing,return_crossing,1,0,insufficient_clean_prebaseline,13,NaN,7859.27083333333
M400-01-baseline-awake,6,2,125,128,123,131,9,105,148,20,return_crossing,return_crossing,1,0,valid,20,0.0826897877810023,13385.203125
M400-01-baseline-awake,7,1,11,13,11,14,4,1,33,20,return_crossing,return_crossing,1,0,insufficient_clean_prebaseline,10,NaN,4903.58333333333
M400-01-baseline-awake,7,2,102,104,95,105,11,82,114,20,return_crossing,return_crossing,1,0,valid,20,0.10869987895057,8438.375
M400-01-baseline-awake,7,3,124,130,122,131,10,115,150,20,return_crossing,return_crossing,1,0,insufficient_clean_prebaseline,17,NaN,8966.98214285714
M400-01-baseline-awake,7,4,199,208,194,208,15,179,226,20,return_crossing,return_crossing,1,0,valid,20,0.0844570288021909,11779.88125
M400-01-baseline-awake,7,5,245,254,241,254,14,227,274,20,return_crossing,return_crossing,1,0,insufficient_clean_prebaseline,19,NaN,7242.5625
M400-01-baseline-awake,7,6,335,347,318,347,30,315,367,20,return_crossing,return_crossing,1,0,valid,20,0.086086702474324,7672.98557692308
M400-01-baseline-awake,7,7,394,399,374,401,28,374,419,20,return_crossing,return_crossing,1,0,valid,20,0.0977135715762003,8141.30208333333
M400-01-baseline-awake,7,8,567,570,557,570,14,547,590,20,return_crossing,return_crossing,1,0,insufficient_clean_prebaseline,18,NaN,11817.109375
M400-01-baseline-awake,8,1,157,160,155,167,13,137,180,20,return_crossing,return_crossing,1,0,valid,20,0.102103561074712,6870.28125
M400-01-baseline-awake,8,2,232,234,229,240,12,212,254,20,return_crossing,return_crossing,1,0,valid,20,0.128313550939664,6663.45833333333
M400-01-baseline-awake,8,3,488,500,486,500,15,468,520,20,return_crossing,return_crossing,1,0,insufficient_clean_prebaseline,17,NaN,9479.72115384615
M400-01-baseline-awake,9,1,225,242,220,243,24,205,262,20,return_crossing,return_crossing,1,0,valid,20,0.132750311938821,26048.40625
M400-01-baseline-awake,9,2,361,371,354,374,21,341,391,20,return_crossing,return_crossing,1,0,valid,20,0.131592173581437,13613.3920454545
M400-01-baseline-awake,9,3,454,458,451,460,10,434,478,20,return_crossing,return_crossing,1,0,insufficient_clean_prebaseline,18,NaN,5202.9125
M400-01-baseline-awake,10,1,28,39,18,41,24,8,59,20,return_crossing,return_crossing,1,0,insufficient_clean_prebaseline,17,NaN,15573.765625
M400-01-baseline-awake,10,2,98,103,94,106,13,78,123,20,return_crossing,return_crossing,1,0,valid,20,0.0641619192083891,8607.59375
M400-01-baseline-awake,10,3,226,232,220,233,14,206,252,20,return_crossing,return_crossing,1,0,valid,20,0.116842287021958,9643.85714285714
M400-01-baseline-awake,10,4,394,399,381,402,22,374,419,20,return_crossing,return_crossing,1,0,valid,20,0.0786114553871251,13759.3645833333
M400-01-baseline-awake,10,5,448,451,446,461,16,428,471,20,return_crossing,return_crossing,1,0,valid,20,0.0662141188425231,5031.4375
M400-01-baseline-awake,10,6,592,596,588,596,9,572,600,20,return_crossing,seed_not_below_return_level,0,1,valid,20,0.0714568125134175,8397.7625
M400-01-baseline-awake,11,1,85,96,82,97,16,65,116,20,return_crossing,return_crossing,1,0,valid,20,0.0448373423896056,15475.9947916667
M400-01-baseline-awake,11,2,312,315,311,315,5,292,335,20,return_crossing,return_crossing,1,0,valid,20,0.107800966377837,3976.640625
M400-01-baseline-awake,11,3,399,401,393,403,11,379,421,20,return_crossing,return_crossing,1,0,valid,20,0.0852913129140532,4497.45833333333
M400-01-baseline-awake,11,4,472,475,468,477,10,452,495,20,return_crossing,return_crossing,1,0,valid,20,0.0553172926957852,9809.046875
M400-01-baseline-awake,11,5,533,536,531,546,16,513,556,20,return_crossing,return_crossing,1,0,valid,20,0.070253046009837,7084.625
M400-01-baseline-awake,12,1,41,43,41,47,7,21,63,20,seed_not_below_return_level,return_crossing,0,1,valid,20,0.0521229135025378,7129.75
M400-01-baseline-awake,12,2,465,471,453,473,21,445,491,20,return_crossing,return_crossing,1,0,valid,20,0.078199580371744,17911.4017857143
M400-01-baseline-awake,13,1,109,124,107,124,18,89,144,20,return_crossing,seed_not_below_return_level,0,1,valid,20,0.105562169477779,26056.8671875
M400-01-baseline-awake,13,2,312,324,311,324,14,292,344,20,return_crossing,return_crossing,1,0,valid,20,0.101659251871197,12789.4663461538
M400-01-baseline-awake,13,3,365,369,349,372,24,345,389,20,return_crossing,return_crossing,1,0,valid,20,0.0495553378541712,2702.9875
M400-01-baseline-awake,13,4,507,511,504,512,9,487,531,20,return_crossing,return_crossing,1,0,valid,20,0.0885473231517575,8573.75
M400-01-baseline-awake,14,1,67,76,66,76,11,47,91,20,return_crossing,return_crossing,1,0,insufficient_clean_prebaseline,17,NaN,18307.2125
M400-01-baseline-awake,14,2,107,109,106,113,8,92,129,20,return_crossing,return_crossing,1,0,valid,20,0.141228742071921,25976.9583333333
M400-01-baseline-awake,14,3,211,219,209,221,13,191,239,20,return_crossing,return_crossing,1,0,insufficient_clean_prebaseline,19,NaN,24116.8055555556
M400-01-baseline-awake,14,4,292,296,292,297,6,272,316,20,return_crossing,return_crossing,1,0,valid,20,0.116733496932886,17995.85
M400-01-baseline-awake,14,5,349,358,348,361,14,329,378,20,return_crossing,return_crossing,1,0,insufficient_clean_prebaseline,18,NaN,18756.20625
M400-01-baseline-awake,14,6,404,409,403,411,9,384,429,20,return_crossing,return_crossing,1,0,insufficient_clean_prebaseline,18,NaN,18937.4583333333
M400-01-baseline-awake,14,7,480,485,480,486,7,460,499,20,return_crossing,return_crossing,1,0,valid,20,0.119210808483312,14248.21875
M400-01-baseline-awake,14,8,513,515,512,516,5,500,530,20,return_crossing,return_crossing,1,0,valid,20,0.105889870403972,13913.5416666667
M400-01-baseline-awake,14,9,546,550,546,552,7,531,561,20,return_crossing,return_crossing,1,0,valid,20,0.140914627885188,24850.3375
M400-01-baseline-awake,14,10,572,575,571,579,9,562,595,20,return_crossing,return_crossing,1,0,valid,20,0.0959083048788328,23792.15625
M400-01-baseline-awake,15,1,57,76,44,76,33,37,91,20,return_crossing,seed_not_below_return_level,0,1,insufficient_clean_prebaseline,10,NaN,10761.184375
M400-01-baseline-awake,15,2,106,108,106,112,7,92,128,20,return_crossing,return_crossing,1,0,valid,20,0.109396076859148,7347.85416666667
M400-01-baseline-awake,15,3,189,191,188,192,5,169,211,20,return_crossing,return_crossing,1,0,valid,20,0.0919457803715657,5294.66666666667
M400-01-baseline-awake,15,4,405,412,404,426,23,385,432,20,return_crossing,return_crossing,1,0,insufficient_clean_prebaseline,16,NaN,19268.375
M400-01-baseline-awake,15,5,479,482,479,482,4,459,497,20,seed_not_below_return_level,return_crossing,0,1,valid,20,0.0827672578613658,10113.640625
M400-01-baseline-awake,15,6,512,514,512,514,3,498,530,20,return_crossing,return_crossing,1,0,valid,20,0.0837947526602576,6340.0625
M400-01-baseline-awake,15,7,546,548,546,549,4,531,568,20,return_crossing,return_crossing,1,0,insufficient_clean_prebaseline,18,NaN,9446.16666666667
M400-01-baseline-awake,16,1,49,55,43,56,14,29,75,20,return_crossing,return_crossing,1,0,insufficient_clean_prebaseline,14,NaN,8763.91964285714
M400-01-baseline-awake,16,2,234,240,219,241,23,214,260,20,return_crossing,return_crossing,1,0,valid,20,0.12246683156671,11229.6785714286
M400-01-baseline-awake,17,1,70,80,51,81,31,50,100,20,return_crossing,return_crossing,1,0,valid,20,0.0695612201196393,10103.8977272727
M400-01-baseline-awake,17,2,301,304,301,304,4,281,324,20,seed_not_below_return_level,seed_not_below_return_level,0,1,valid,20,0.0850990218686261,5195.015625
M400-01-baseline-awake,17,3,360,371,351,377,27,340,391,20,return_crossing,return_crossing,1,0,insufficient_clean_prebaseline,10,NaN,5507.13020833333
M400-01-baseline-awake,17,4,488,519,469,519,51,468,537,20,return_crossing,seed_not_below_return_level,0,1,insufficient_clean_prebaseline,9,NaN,7427.29296875
M400-01-baseline-awake,17,5,555,557,553,565,13,538,577,20,return_crossing,return_crossing,1,0,valid,20,0.0728605636397127,9070.125
M400-01-baseline-awake,18,1,71,78,60,78,19,51,95,20,return_crossing,return_crossing,1,0,valid,20,0.0246527714312985,5587.0390625
M400-01-baseline-awake,18,2,113,115,110,117,8,96,135,20,return_crossing,return_crossing,1,0,valid,20,0.0465416751501818,8588.79166666667
M400-01-baseline-awake,18,3,263,266,261,266,6,243,281,20,return_crossing,return_crossing,1,0,valid,20,0.0767672415768702,7693.8125
M400-01-baseline-awake,18,4,297,301,297,302,6,282,312,20,return_crossing,return_crossing,1,0,valid,20,0.0476779228807666,6791.3125
M400-01-baseline-awake,18,5,324,333,314,353,40,313,353,20,return_crossing,return_crossing,1,0,insufficient_clean_prebaseline,5,NaN,8020.96875
M400-01-baseline-awake,18,6,483,486,482,498,17,463,506,20,return_crossing,return_crossing,1,0,valid,20,0.0917760732149846,8844.5
M400-01-baseline-awake,18,7,537,542,537,542,6,517,562,20,seed_not_below_return_level,seed_not_below_return_level,0,1,valid,20,0.0728090886698026,4429.77083333333
M400-01-baseline-awake,19,1,471,478,468,480,13,451,498,20,return_crossing,return_crossing,1,0,insufficient_clean_prebaseline,8,NaN,23555.25
M400-01-baseline-awake,20,1,54,56,44,63,20,34,76,20,return_crossing,return_crossing,1,0,valid,20,0.074804153945675,9574.02083333333
M400-01-baseline-awake,21,1,55,57,46,60,15,35,77,20,return_crossing,return_crossing,1,0,valid,20,0.141646312350302,4512.5
M400-01-baseline-awake,22,1,71,76,71,83,13,51,96,20,search_limit_unresolved,return_crossing,0,0,valid,20,0.0299099210936713,4636.59375
M400-01-baseline-awake,22,2,369,371,356,377,22,349,391,20,return_crossing,return_crossing,1,0,valid,20,0.0941914914815183,4016.125
M400-01-baseline-awake,22,3,488,512,483,520,38,468,532,20,return_crossing,return_crossing,1,0,valid,20,0.0741714091879247,5573.84
M400-01-baseline-awake,23,1,136,146,133,153,21,116,166,20,return_crossing,return_crossing,1,0,valid,20,0.0971542118308709,7299.99431818182
M400-01-baseline-awake,23,2,216,223,214,223,10,196,234,20,return_crossing,search_limit_unresolved,0,0,insufficient_clean_prebaseline,6,NaN,6599.53125
M400-01-baseline-awake,23,3,245,257,245,270,26,235,277,20,search_limit_unresolved,return_crossing,0,1,valid,20,0.0392733581552427,5345.57692307692
M400-01-baseline-awake,23,4,357,368,346,368,23,337,388,20,return_crossing,search_limit_unresolved,0,0,insufficient_clean_prebaseline,11,NaN,5503.36979166667
M400-01-baseline-awake,23,5,500,531,500,531,32,480,542,20,seed_not_below_return_level,seed_not_below_return_level,0,1,valid,20,0.0988866801166102,15075.98046875
M400-01-baseline-awake,23,6,553,557,553,558,6,543,577,20,seed_not_below_return_level,return_crossing,0,1,insufficient_clean_prebaseline,9,NaN,9300.2625
M400-01-baseline-awake,24,1,61,63,59,72,14,41,83,20,return_crossing,return_crossing,1,0,valid,20,0.0628294688797336,4948.70833333333
M400-01-baseline-awake,25,1,519,545,518,545,28,499,565,20,return_crossing,return_crossing,1,0,valid,20,0.0901252364053499,19539.125
M400-01-baseline-awake,26,1,94,96,83,108,26,74,116,20,return_crossing,return_crossing,1,0,valid,20,0.0535024820739106,3564.875
M400-01-baseline-awake,27,1,449,461,432,461,30,429,481,20,return_crossing,return_crossing,1,0,valid,20,0.0847525658198724,11749.8557692308
M400-01-baseline-awake,28,1,102,105,95,111,17,82,125,20,return_crossing,return_crossing,1,0,valid,20,0.0716997174086621,5990.34375
M400-01-baseline-awake,28,2,542,545,542,546,5,522,565,20,search_limit_unresolved,return_crossing,0,0,valid,20,0.0296406961705512,10311.0625
M400-01-baseline-awake,29,1,285,287,276,290,15,265,307,20,return_crossing,return_crossing,1,0,valid,20,0.0758581846208571,3106.10416666667
M400-01-baseline-awake,30,1,137,142,117,151,35,117,162,20,return_crossing,return_crossing,1,0,valid,20,0.0765943052281721,4670.4375
