Session,Kind,EventRow,StartFrame,BaselineStatus,TruncatedWindow,OwnEventOverlapFrames,OtherSameSignOverlapFrames,OppositeSignOverlapFrames,ReconstructedCleanFrames
M400-01-baseline-awake,Sink,1,5,insufficient_clean_prebaseline,1,0,0,0,4
M400-01-baseline-awake,Sink,2,430,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,3,577,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,4,2,insufficient_clean_prebaseline,1,0,0,0,1
M400-01-baseline-awake,Sink,5,30,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,6,276,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,7,4,insufficient_clean_prebaseline,1,0,0,0,3
M400-01-baseline-awake,Sink,8,241,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,9,452,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,10,16,insufficient_clean_prebaseline,1,0,0,0,15
M400-01-baseline-awake,Sink,11,210,insufficient_clean_prebaseline,0,0,0,1,19
M400-01-baseline-awake,Sink,12,240,insufficient_clean_prebaseline,0,0,14,0,6
M400-01-baseline-awake,Sink,13,402,insufficient_clean_prebaseline,0,0,0,5,15
M400-01-baseline-awake,Sink,14,478,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,15,545,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,16,580,insufficient_clean_prebaseline,0,0,1,0,19
M400-01-baseline-awake,Sink,17,23,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,18,90,insufficient_clean_prebaseline,0,0,0,14,6
M400-01-baseline-awake,Sink,19,13,insufficient_clean_prebaseline,1,0,0,0,12
M400-01-baseline-awake,Sink,20,116,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,21,10,insufficient_clean_prebaseline,1,0,0,0,9
M400-01-baseline-awake,Sink,22,94,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,23,120,insufficient_clean_prebaseline,0,0,3,0,17
M400-01-baseline-awake,Sink,24,193,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,25,240,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,26,317,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,27,373,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,28,556,insufficient_clean_prebaseline,0,0,0,2,18
M400-01-baseline-awake,Sink,29,154,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,30,228,insufficient_clean_prebaseline,0,0,0,1,19
M400-01-baseline-awake,Sink,31,485,insufficient_clean_prebaseline,0,0,3,0,17
M400-01-baseline-awake,Sink,32,219,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,33,353,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,34,450,insufficient_clean_prebaseline,0,0,0,2,18
M400-01-baseline-awake,Sink,35,17,insufficient_clean_prebaseline,1,0,0,0,16
M400-01-baseline-awake,Sink,36,93,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,37,208,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,38,380,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,39,445,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,40,587,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,41,58,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,42,310,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,43,392,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,44,467,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,45,530,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,46,41,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,47,452,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,48,106,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,49,310,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,50,325,insufficient_clean_prebaseline,0,0,13,0,7
M400-01-baseline-awake,Sink,51,503,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,52,65,insufficient_clean_prebaseline,0,0,2,2,16
M400-01-baseline-awake,Sink,53,94,insufficient_clean_prebaseline,0,0,3,0,17
M400-01-baseline-awake,Sink,54,181,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,55,276,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,56,316,insufficient_clean_prebaseline,0,0,1,0,19
M400-01-baseline-awake,Sink,57,402,insufficient_clean_prebaseline,0,0,0,1,19
M400-01-baseline-awake,Sink,58,479,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,59,507,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,60,545,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,61,555,insufficient_clean_prebaseline,0,0,5,0,15
M400-01-baseline-awake,Sink,62,43,insufficient_clean_prebaseline,0,0,0,10,10
M400-01-baseline-awake,Sink,63,93,insufficient_clean_prebaseline,0,0,4,0,16
M400-01-baseline-awake,Sink,64,187,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,65,403,insufficient_clean_prebaseline,0,0,0,4,16
M400-01-baseline-awake,Sink,66,479,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,67,511,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,68,545,insufficient_clean_prebaseline,0,0,0,2,18
M400-01-baseline-awake,Sink,69,39,insufficient_clean_prebaseline,0,0,5,0,15
M400-01-baseline-awake,Sink,70,214,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,71,50,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,72,301,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,73,350,insufficient_clean_prebaseline,0,0,0,10,10
M400-01-baseline-awake,Sink,74,468,insufficient_clean_prebaseline,0,0,0,12,8
M400-01-baseline-awake,Sink,75,552,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,76,59,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,77,109,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,78,260,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,79,296,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,80,313,insufficient_clean_prebaseline,0,0,15,0,5
M400-01-baseline-awake,Sink,81,481,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,82,537,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,83,467,insufficient_clean_prebaseline,0,0,0,13,7
M400-01-baseline-awake,Sink,84,40,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,85,23,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,86,45,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,87,355,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,88,482,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,89,129,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,90,213,insufficient_clean_prebaseline,0,0,0,14,6
M400-01-baseline-awake,Sink,91,213,insufficient_clean_prebaseline,0,0,0,14,6
