Case,DetectionSign,Window,PreviousBestNativeSpacetimeIoU,CurrentBestNativeSpacetimeIoU,PreviousOverlappingEvents,CurrentOverlappingEvents,PreviousTotalDetectedEvents,CurrentTotalDetectedEvents,PreviousMeasuredOnsetErrorSec,CurrentMeasuredOnsetErrorSec,PreviousMeasuredOffsetErrorSec,CurrentMeasuredOffsetErrorSec,PreviousTimingResolved,CurrentTimingResolved,PreviousMeasuredAmplitudeFraction,CurrentMeasuredAmplitudeFraction,CurrentCloseNativeRun,CurrentBaselineStatus
control,sink,1,0,0,0,0,137,196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection
control,sink,2,0,0,0,0,137,196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection
control,surge,1,0,0,0,0,40,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection
control,surge,2,0,0,0,0,40,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection
sink05,sink,1,0.0887356321839081,0.0887356321839081,1,1,138,198,-1,11,0,0,1,0,0.0472866998575096,NaN,1,insufficient_clean_prebaseline
sink05,sink,2,0.0194673580014141,0.0194673580014141,1,1,138,198,8,8,1,1,1,1,0.0507996595571703,0.0507996595571703,0,valid
sink05,surge,1,0,0,0,0,40,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection
sink05,surge,2,0,0,0,0,40,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection
sink20,sink,1,0,0.696864485646789,0,1,125,178,NaN,0,NaN,0,NaN,1,NaN,NaN,1,insufficient_clean_prebaseline
sink20,sink,2,0.785279468732706,0.785279468732706,1,1,125,178,0,0,0,0,1,1,NaN,NaN,1,insufficient_clean_prebaseline
sink20,surge,1,0,0,0,0,36,36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection
sink20,surge,2,0,0,0,0,36,36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection
surge05,sink,1,0,0,0,0,137,196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection
surge05,sink,2,0,0,0,0,137,196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection
surge05,surge,1,0,0,0,0,39,39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection
surge05,surge,2,0,0,0,0,39,39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection
surge20,sink,1,0,0,0,0,138,203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection
surge20,sink,2,0,0,0,0,138,203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection
surge20,surge,1,0.582764011116258,0.582764011116258,1,1,41,41,0,0,0,0,NaN,NaN,NaN,NaN,NaN,insufficient_clean_prebaseline
surge20,surge,2,0.375640768635986,0.375640768635986,1,1,41,41,7,7,1,1,NaN,NaN,NaN,NaN,NaN,insufficient_clean_prebaseline
global_drop20,sink,1,0,0,0,0,122,176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection
global_drop20,sink,2,0,0,0,0,122,176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection
global_drop20,surge,1,0,0,0,0,42,42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection
global_drop20,surge,2,0,0,0,0,42,42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection
global20_local05,sink,1,0,0,0,0,109,158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection
global20_local05,sink,2,0,0,0,0,109,158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection
global20_local05,surge,1,0,0,0,0,44,44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection
global20_local05,surge,2,0,0,0,0,44,44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection
