Case,DetectionSign,Window,TotalDetectedEvents,OverlappingEvents,BestNativeSpacetimeIoU,BestEventRow,NativeStartFrame,NativeEndFrame,MeasuredOnsetErrorSec,MeasuredOffsetErrorSec,MeasuredAmplitudeFraction,TimingResolved,ActualInjectedLocalFraction,MaxRoundingError,CloseNativeRun,BaselineStatus
control,sink,1,196,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,no_intersection
control,sink,2,196,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,no_intersection
control,surge,1,40,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,no_intersection
control,surge,2,40,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,no_intersection
sink05,sink,1,198,1,0.0887356321839081,106,72,79,11,0,NaN,0,-0.0497955039819393,0.5,1,insufficient_clean_prebaseline
sink05,sink,2,198,1,0.0194673580014141,107,113,115,8,1,0.0507996595571703,1,-0.0497990930524019,0.5,0,valid
sink05,surge,1,40,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.0497955039819393,0.5,NaN,no_intersection
sink05,surge,2,40,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.0497990930524019,0.5,NaN,no_intersection
sink20,sink,1,178,1,0.696864485646789,125,61,80,0,0,NaN,1,-0.19996304154709,0.400000000000006,1,insufficient_clean_prebaseline
sink20,sink,2,178,1,0.785279468732706,126,96,115,0,0,NaN,1,-0.199985327884443,0.400000000000006,1,insufficient_clean_prebaseline
sink20,surge,1,36,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.19996304154709,0.400000000000006,NaN,no_intersection
sink20,surge,2,36,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.199985327884443,0.400000000000006,NaN,no_intersection
surge05,sink,1,196,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.0502683940661646,0.5,NaN,no_intersection
surge05,sink,2,196,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.0502234422628092,0.5,NaN,no_intersection
surge05,surge,1,39,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.0502683940661646,0.5,NaN,no_intersection
surge05,surge,2,39,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.0502234422628092,0.5,NaN,no_intersection
surge20,sink,1,203,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.19996304154709,0.400000000000034,NaN,no_intersection
surge20,sink,2,203,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.199985327884443,0.400000000000034,NaN,no_intersection
surge20,surge,1,41,1,0.582764011116258,40,61,80,0,0,NaN,NaN,0.19996304154709,0.400000000000034,NaN,insufficient_clean_prebaseline
surge20,surge,2,41,1,0.375640768635986,41,103,116,7,1,NaN,NaN,0.199985327884443,0.400000000000034,NaN,insufficient_clean_prebaseline
global_drop20,sink,1,176,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.19996304154709,0.400000000000006,NaN,no_intersection
global_drop20,sink,2,176,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.199985327884443,0.400000000000006,NaN,no_intersection
global_drop20,surge,1,42,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.19996304154709,0.400000000000006,NaN,no_intersection
global_drop20,surge,2,42,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.199985327884443,0.400000000000006,NaN,no_intersection
global20_local05,sink,1,158,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.0497955039819393,0.5,NaN,no_intersection
global20_local05,sink,2,158,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.0497990930524019,0.5,NaN,no_intersection
global20_local05,surge,1,44,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.0497955039819393,0.5,NaN,no_intersection
global20_local05,surge,2,44,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,-0.0497990930524019,0.5,NaN,no_intersection
