RecordingID,EventType,SiteID,EventID,EventRow,StartFrame,EndFrame,DetectedStartFrame,DetectedEndFrame,FootprintPixels,BaselineWindowFrames,CleanBaselineFrames,TruncatedBaseline,OverlapExcludedFrames,NonfiniteBaselineFrames,StoredBaseline,RecomputedBaseline,StoredStatus,RecomputedStatus,StoredAmplitude,RecomputedAmplitude,AbsDifference,MeasurementMatches,WrongDirection,Condition,NativeFilteredMean,NativeZMean,RawExtremeFrame,RawChangeAtExtremePercent,CubicTrendContributionPercent,ResidualContributionPercent,DetrendedChangeAtRawExtreme,SpatialZChangeAtRawExtreme,TemporalZChangeAtRawExtreme,SourceRawSHA256
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,1,1,1,1,28,1,15,1184,20,0,1,0,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,Awake_immobile,-0.676766550878214,-0.771638012521042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,1,2,2,106,132,125,131,434,20,20,0,0,0,3349.37315668203,3349.37315668203,valid,valid,0.0757125989494081,0.0757125989494081,0,1,0,Awake_immobile,-0.385825087285065,-0.465092798867115,123,-7.57125989494081,6.37304652946728,-13.9443064244081,-467.046867687032,-1.08823852494699,-0.752764853240335,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,1,3,3,291,314,306,310,825,20,20,0,0,0,4754.25618181818,4754.25618181818,valid,valid,0.137927155211113,0.137927155211113,0,1,0,Awake_immobile,-0.489251523014271,-0.604292614541266,308,-13.7927155211113,2.39415028890711,-16.1868658100184,-769.565075432055,-1.29406702979995,-0.909101862061875,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,1,4,4,315,375,370,374,1038,20,15,0,5,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,Awake_immobile,-0.478039044396941,-0.535621533582607,NaN,NaN,NaN,NaN,NaN,NaN,NaN,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,1,5,5,468,491,487,490,171,20,20,0,0,0,5954.71315789474,5954.71315789474,valid,valid,0.271747933316766,0.271747933316766,0,1,0,Awake_immobile,-0.622744523555215,-1.1135262311392,488,-27.1747933316766,1.30630250317639,-28.4810958348529,-1695.96753614995,-2.56814114085857,-1.56632323518026,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,1,6,6,527,553,529,540,2534,20,20,0,0,0,5611.25361089187,5611.25361089187,valid,valid,0.175958528457933,0.175958528457933,0,1,0,Awake_immobile,-0.709054149148735,-0.763080472991027,531,-17.5958528457933,0.335488883131577,-17.9313417289248,-1006.17306213138,-1.50927968185864,-1.11456712645271,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,1,7,7,553,624,585,594,2841,20,12,0,8,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,Awake_immobile,-0.5641202705573,-0.602256045115786,NaN,NaN,NaN,NaN,NaN,NaN,NaN,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,1,8,8,624,654,640,646,641,20,20,0,0,0,5241.69266770671,5241.69266770671,valid,valid,0.159572609507653,0.159572609507653,0,1,0,Awake_immobile,-0.724235754289897,-0.813316773727255,643,-15.9572609507653,0.0409498762309753,-15.9982108269962,-838.577048991139,-0.938461734878038,-0.646219621763657,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,1,9,9,764,805,776,779,708,20,20,0,0,0,5266.59752824859,5266.59752824859,valid,valid,0.0842700533735017,0.0842700533735017,0,1,0,Awake_immobile,-0.408122724111555,-0.4888668243156,769,-8.42700533735017,-0.129240368930366,-8.29776496841981,-437.009885919431,-0.541075776272796,-0.418640789392391,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,1,10,10,886,953,929,932,488,20,20,0,0,0,5742.79672131148,5742.79672131148,valid,valid,0.0896849824127504,0.0896849824127504,0,1,0,Awake_immobile,-0.343356312260215,-0.407403492507929,933,-8.96849824127504,-0.794298634849038,-8.17419960642597,-469.427673740074,-0.538786256099511,-0.360761811054579,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
