Session,Kind,EventRow,CurrentStart,CurrentEnd,NativeStart,NativeEnd,CurrentAmplitude,NativeWindowAmplitude,CurrentStatus,NativeWindowStatus
M400-01-baseline-awake,sink,1,5,10,5,8,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,sink,2,430,458,436,440,0.0520498624193171,0.038989947281705,valid,valid
M400-01-baseline-awake,sink,3,577,600,582,600,0.0826756908675265,0.0758608366333866,valid,valid
M400-01-baseline-awake,sink,4,2,19,2,8,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,sink,5,30,45,35,39,0.0540871968955503,0.0497921967281059,valid,valid
M400-01-baseline-awake,sink,6,276,298,287,289,0.072996452663041,0.062948524070157,valid,valid
M400-01-baseline-awake,sink,7,4,24,4,16,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,sink,8,241,258,244,256,0.0564749317138082,0.0652452427150782,valid,valid
M400-01-baseline-awake,sink,9,452,462,457,461,0.110715508083192,0.110445644211605,valid,valid
M400-01-baseline-awake,sink,10,16,54,18,46,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,sink,11,210,227,219,227,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,sink,12,240,341,252,332,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,sink,13,402,409,405,408,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,sink,14,478,487,482,486,0.0953089071557409,0.0864239300710969,valid,valid
M400-01-baseline-awake,sink,15,545,551,546,549,0.0715917878947961,0.0721335432811552,valid,valid
M400-01-baseline-awake,sink,16,580,600,580,600,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,sink,17,23,38,23,33,0.0612548648804646,0.0612548648804646,valid,valid
M400-01-baseline-awake,sink,18,90,147,90,108,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,sink,19,13,116,28,30,NaN,0.0258555138602721,insufficient_clean_prebaseline,valid
M400-01-baseline-awake,sink,20,116,156,125,128,0.109080812105658,0.0845263687508577,valid,valid
M400-01-baseline-awake,sink,21,10,15,11,13,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,sink,22,94,120,102,104,0.110559771274638,0.0770515604322185,valid,valid
M400-01-baseline-awake,sink,23,120,166,124,130,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,sink,24,193,222,199,208,0.0829556262852224,NaN,valid,insufficient_clean_prebaseline
M400-01-baseline-awake,sink,25,240,255,245,254,0.069286579597052,NaN,valid,insufficient_clean_prebaseline
M400-01-baseline-awake,sink,26,317,348,335,347,0.0892656865309575,0.0645510045407913,valid,valid
M400-01-baseline-awake,sink,27,373,402,394,399,0.0989041090605354,0.0193416501039537,valid,valid
M400-01-baseline-awake,sink,28,556,573,567,570,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,sink,29,154,168,157,160,0.0989193646986778,0.0989712739752477,valid,valid
M400-01-baseline-awake,sink,30,228,241,232,234,NaN,0.121204302361961,insufficient_clean_prebaseline,valid
M400-01-baseline-awake,sink,31,485,501,488,500,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,sink,32,219,244,225,242,0.134780197678296,0.0929243115065745,valid,valid
M400-01-baseline-awake,sink,33,353,375,361,371,0.133380848258511,0.0581900642580976,valid,valid
M400-01-baseline-awake,sink,34,450,461,454,458,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,sink,35,17,42,28,39,NaN,0.0730056872666742,insufficient_clean_prebaseline,valid
M400-01-baseline-awake,sink,36,93,118,98,103,0.0611171880938139,0.0651611671953353,valid,valid
M400-01-baseline-awake,sink,37,208,234,226,232,0.0932550249666768,0.105257007056234,valid,valid
M400-01-baseline-awake,sink,38,380,413,394,399,0.0783980722132917,0.0465576837351379,valid,valid
M400-01-baseline-awake,sink,39,445,475,448,451,0.0680313928704981,0.0367772762169405,valid,valid
M400-01-baseline-awake,sink,40,587,596,592,596,0.0746016889857412,0.0583156034777697,valid,valid
M400-01-baseline-awake,sink,41,58,98,85,96,-0.00349679595615087,0.0452848900911279,valid,valid
M400-01-baseline-awake,sink,42,310,316,312,315,0.103112401225609,0.108043263494182,valid,valid
M400-01-baseline-awake,sink,43,392,404,399,401,0.0882768583362121,0.0768213212130977,valid,valid
M400-01-baseline-awake,sink,44,467,478,472,475,0.0550583736505651,0.0554560149037016,valid,valid
M400-01-baseline-awake,sink,45,530,550,533,536,0.0721861212132401,0.068591397089739,valid,valid
M400-01-baseline-awake,sink,46,41,48,41,43,0.0521229135025378,0.0396583014864326,valid,valid
M400-01-baseline-awake,sink,47,452,474,465,471,0.0794821522092952,0.0608814443176972,valid,valid
M400-01-baseline-awake,sink,48,106,124,109,124,0.109274161431045,0.0982621161316317,valid,valid
M400-01-baseline-awake,sink,49,310,325,312,324,0.102646118565828,0.0990730926626561,valid,valid
M400-01-baseline-awake,sink,50,325,373,365,369,NaN,-0.00959059502939047,insufficient_clean_prebaseline,valid
M400-01-baseline-awake,sink,51,503,513,507,511,0.0869066402322938,0.0834654422615482,valid,valid
M400-01-baseline-awake,sink,52,65,77,67,76,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
