Session,Role,Case,EventType,TruthRow,TruthStartFrame,TruthEndFrame,OverlappingRuns,BestNativeSpacetimeIoU,BestEventRow,NativeStartFrame,NativeEndFrame,MeasuredOnsetErrorSec,MeasuredOffsetErrorSec,MeasuredAmplitudeFraction,CloseNativeRun,BaselineStatus,TimingResolved
M400-01-baseline-awake,BOI_reference,control,sink,1,41,60,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
M400-01-baseline-awake,BOI_reference,control,sink,2,66,85,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
M400-01-baseline-awake,BOI_reference,control,sink,3,111,130,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
M400-01-baseline-awake,BOI_reference,control,sink,4,146,165,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
M400-01-baseline-awake,BOI_reference,control,sink,5,196,215,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
M400-01-baseline-awake,BOI_reference,control,sink,6,246,265,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
M400-01-baseline-awake,BOI_reference,control,sink,7,101,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
M400-01-baseline-awake,BOI_reference,control,surge,1,41,60,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
M400-01-baseline-awake,BOI_reference,control,surge,2,66,85,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
M400-01-baseline-awake,BOI_reference,control,surge,3,111,130,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
M400-01-baseline-awake,BOI_reference,control,surge,4,146,165,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
M400-01-baseline-awake,BOI_reference,control,surge,5,196,215,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
M400-01-baseline-awake,BOI_reference,control,surge,6,246,265,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
M400-01-baseline-awake,BOI_reference,control,surge,7,101,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
M400-01-baseline-awake,BOI_reference,smooth_pairs,sink,1,41,60,1,0.303944773175542,100,48,56,3,-3,NaN,1,insufficient_clean_prebaseline,1
M400-01-baseline-awake,BOI_reference,smooth_pairs,sink,2,66,85,1,0.435492879084055,101,71,81,4,-3,NaN,1,insufficient_clean_prebaseline,1
M400-01-baseline-awake,BOI_reference,smooth_pairs,sink,3,111,130,1,0.444389741753569,102,115,125,3,-4,NaN,0,insufficient_clean_prebaseline,1
M400-01-baseline-awake,BOI_reference,smooth_pairs,sink,4,146,165,1,0.395712545676005,103,151,161,4,-3,0.179734679808278,0,valid,1
M400-01-baseline-awake,BOI_reference,smooth_pairs,sink,5,196,215,1,0.451475622166713,104,200,211,3,-3,NaN,0,insufficient_clean_prebaseline,1
M400-01-baseline-awake,BOI_reference,smooth_pairs,sink,6,246,265,1,0.488773170265622,105,250,261,3,-2,NaN,0,insufficient_clean_prebaseline,1
M400-01-baseline-awake,BOI_reference,smooth_pairs,surge,1,41,60,1,0.430527246856132,42,46,57,5,-3,0.107704227576848,1,valid,NaN
M400-01-baseline-awake,BOI_reference,smooth_pairs,surge,2,66,85,1,0.402089505691564,43,70,82,4,-3,NaN,1,insufficient_clean_prebaseline,NaN
