Grouping,Group,Constructible,ArithmeticValid,PositiveEligible,DirectionConflict,BaselineAboveOnePercent,BaselineAboveOnePercentStillPositiveAcrossHalves,PositiveButHalfSensitive,HalfSensitiveWithoutAboveOnePercent
Cohort,additional,6588,1267,1253,14,38,38,4,4
Cohort,development,3852,1231,1227,4,33,33,1,1
Cohort,noiseless,36,36,36,0,0,0,0,0
Session,FB2312-baseline-awake,1314,459,456,3,19,19,1,1
Session,FB2316-baseline,2232,698,684,14,18,18,4,4
Session,FB2411,378,165,165,0,0,0,0,0
Session,ID13-20200917,4356,569,569,0,20,20,0,0
Session,M400-01-baseline-awake,1728,446,445,1,14,14,0,0
Session,M401-01-baseline-awake,432,161,161,0,0,0,0,0
Session,flat,36,36,36,0,0,0,0,0
Cohort+Shape,additional|control,0,0,0,0,0,0,0,0
Cohort+Shape,additional|exponential,2196,409,407,2,10,10,2,2
Cohort+Shape,additional|gamma,2196,412,408,4,9,9,0,0
Cohort+Shape,additional|quadratic,2196,446,438,8,19,19,2,2
Cohort+Shape,development|control,0,0,0,0,0,0,0,0
Cohort+Shape,development|exponential,1284,413,413,0,12,12,0,0
Cohort+Shape,development|gamma,1284,409,408,1,8,8,1,1
Cohort+Shape,development|quadratic,1284,409,406,3,13,13,0,0
Cohort+Shape,noiseless|control,0,0,0,0,0,0,0,0
Cohort+Shape,noiseless|exponential,12,12,12,0,0,0,0,0
Cohort+Shape,noiseless|gamma,12,12,12,0,0,0,0,0
Cohort+Shape,noiseless|quadratic,12,12,12,0,0,0,0,0
