Session,EventRow,Cohort,Context,NativeStartFrame,NativeEndFrame,Status,OnsetFrame,FitStartFrame,FitEndFrame,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,RisingScore,PulseScore,SelectedScore,SelectedModel,SelectorStatus,ModelGapSec,CombinedProfileSpanSec,PlausibleModels,AmplitudeFraction,RiseFrames,Shape,DelayFrames,TruthOnsetFrame,Constructible,PulseTruncated,OnsetErrorSec,WithinFiveSec,NativeBaselineImposedFraction,NativeBaselineEffectPP,ProposedBaselineImposedFraction,BaselineEffectPP,PositiveBaselineFrames,BaselineUnderOnePercent,ControlResolved,SameOnsetAsControl,ShiftFromControlSec,AmplitudeStatus,ArithmeticValid,PositiveAmplitudeEligible,SignedRawAmplitude,ProvisionalPositiveAmplitude,ReferenceStartFrame,ReferenceEndFrame,ReferenceMean,NativePeakFrame,NativePeakValue,FirstHalfReferenceMean,SecondHalfReferenceMean,ReferenceHalfChangeFraction,FirstHalfAmplitude,SecondHalfAmplitude,PositiveAcrossReferenceHalves,OracleSourceAtObservedPeak,OracleImposedAtObservedPeak,OracleBaselineEffect,OracleBaselineImposedFraction,OracleReferencePositiveFrames,DecompositionResidual,ReviewCase,OracleFailureMechanism
M400-01-baseline-awake,32,development,selection,241,251,resolved,223,181,245,203,222,102.017303886367,0.123256536917256,provisional_valid,38.4674030816741,80.0753121359641,80.0753121359641,pulse,resolved,NaN,NaN,2,0.1,23,gamma,25,216,1,0,7,0,0.0876938850737994,-9.13496264931224,0.0129444534071901,-1.45399419064471,7,0,0,0,NaN,positive_raw_change_provisional,1,1,0.123256536917256,0.123256536917256,203,222,102.017303886367,248,114.591603469035,101.931543624161,102.103064148572,0.00168128854495173,0.124201590545457,0.122313070862311,1,0.0410909941789714,0.096705484644732,-0.0145399419064471,0.0129444534071901,7,-1.11022302462516e-16,1,reference_contamination_above_one_percent
M400-01-baseline-awake,32,development,selection,241,251,resolved,223,181,245,203,222,102.103149628948,0.129614989755881,provisional_valid,40.6176962114482,74.6715463068019,74.6715463068019,pulse,resolved,NaN,NaN,2,0.1,23,exponential,25,216,1,0,7,0,0.0871263220173515,-9.13966570616425,0.0137968281072085,-1.5585103840988,7,0,0,0,NaN,positive_raw_change_provisional,1,1,0.129614989755881,0.129614989755881,203,222,102.103149628948,248,115.337248322148,101.931543624161,102.274755633736,0.00336142431278388,0.131516743702182,0.127719617685435,1,0.0410909941789714,0.104109099417897,-0.015585103840988,0.0137968281072085,7,0,2,reference_contamination_above_one_percent
M400-01-baseline-awake,36,development,selection,243,253,resolved,237,183,247,217,236,67.6291883421656,0.204696909049056,provisional_valid,13.5227150806922,0.759623981450229,13.5227150806922,rising,resolved,NaN,NaN,1,0.1,7,exponential,10,233,1,0,4,1,0.0410131369237647,-4.74611603239123,0.0121198432487837,-1.46007376999686,4,0,0,0,NaN,positive_raw_change_provisional,1,1,0.204696909049056,0.204696909049056,217,236,67.6291883421656,248,81.4726741573034,66.2209438202247,69.0374328641066,0.0416460571673877,0.230315810334623,0.18012317053669,1,0.108452406135476,0.110845240613548,-0.0146007376999686,0.0121198432487837,4,5.55111512312578e-17,3,reference_contamination_above_one_percent
M400-01-baseline-awake,36,development,selection,243,253,resolved,237,183,247,217,236,67.528080540123,0.300696728448401,provisional_valid,30.3970289927538,18.0683574294139,30.3970289927538,rising,resolved,NaN,NaN,2,0.2,23,exponential,10,233,1,0,4,1,0.0488286792384112,-6.04631095378436,0.0106066916752807,-1.37960891616986,4,0,0,0,NaN,positive_raw_change_provisional,1,1,0.300696728448401,0.300696728448401,217,236,67.528080540123,252,87.8335534369381,66.2209438202247,68.8352172600213,0.038713871605505,0.326371210826998,0.275997330046212,1,0.100011064547341,0.214481753062759,-0.0137960891616986,0.0106066916752807,4,-5.55111512312578e-17,4,reference_contamination_above_one_percent
M400-01-baseline-awake,40,development,selection,301,310,resolved,295,254,305,275,294,89.4498303610804,0.140878387946278,provisional_valid,12.7669128491868,31.5904538281512,31.5904538281512,pulse,resolved,NaN,NaN,2,0.2,7,gamma,10,291,1,0,4,1,0.0812940837218465,-8.88860437702508,0.0234481450556936,-2.67514819314705,4,0,0,0,NaN,positive_raw_change_provisional,1,1,0.140878387946278,0.140878387946278,275,294,89.4498303610804,304,102.051378264418,88.800956937799,90.0987037843618,0.0145080973471298,0.149214848392904,0.132662002648369,1,0.0178512502262012,0.149778619651548,-0.0267514819314705,0.0234481450556936,4,0,5,reference_contamination_above_one_percent
M400-01-baseline-awake,40,development,selection,301,310,resolved,295,254,305,275,294,89.4857193674051,0.192958963991577,provisional_valid,31.2913697911346,38.2830008161205,38.2830008161205,pulse,resolved,NaN,NaN,2,0.2,7,exponential,10,291,1,0,4,1,0.0824607422780119,-9.42136679360914,0.0238587722955952,-2.84625362798643,4,0,0,0,NaN,positive_raw_change_provisional,1,1,0.192958963991577,0.192958963991577,275,294,89.4857193674051,304,106.752791068581,88.800956937799,90.1704817970111,0.0153043957057455,0.202158115743684,0.183899530545916,1,0.0178512502262012,0.20357025004524,-0.0284625362798643,0.0238587722955952,4,-5.55111512312578e-17,6,reference_contamination_above_one_percent
M400-01-baseline-awake,40,development,selection,301,310,resolved,296,254,305,276,295,88.0114747908733,0.212941736543321,provisional_valid,30.6634348418933,44.2656739289856,44.2656739289856,pulse,resolved,NaN,NaN,2,0.2,7,quadratic,10,291,1,0,5,1,0.0576427813367768,-6.74038564990926,0.0102639787757539,-1.24496082401067,5,0,0,0,NaN,positive_raw_change_provisional,1,1,0.212941736543321,0.212941736543321,276,295,88.0114747908733,304,106.752791068581,89.1246677299309,86.8982818518157,-0.0252965409727015,0.197791742596641,0.228479882382738,1,0.0211594539861895,0.204231890797238,-0.0124496082401067,0.0102639787757539,5,1.66533453693773e-16,7,reference_contamination_above_one_percent
M400-01-baseline-awake,40,development,selection,301,310,resolved,296,254,305,276,295,91.6957178490708,0.164206939786364,provisional_valid,10.6512364883256,10.818526301856,10.818526301856,pulse,resolved,2,3,2,0.2,23,quadratic,25,276,1,0,20,0,0.0993507911546612,-11.1767069385811,0.0525545784912527,-6.11844049970636,20,0,0,0,NaN,positive_raw_change_provisional,1,1,0.164206939786364,0.164206939786364,276,295,91.6957178490708,304,106.752791068581,90.4207658517319,92.9706698464096,0.0278083214188336,0.180622504830684,0.148241603991232,1,0.0211594539861895,0.204231890797238,-0.0611844049970636,0.0525545784912527,20,1.66533453693773e-16,8,reference_contamination_above_one_percent
M400-01-baseline-awake,45,development,selection,415,430,resolved,412,355,419,392,411,116.863173184163,0.115886739007006,provisional_valid,18.819684774813,8.41066393695476,18.819684774813,rising,resolved,NaN,NaN,1,0.1,23,gamma,10,405,1,0,7,0,0.0234112151497519,-2.60100623610982,0.0127996543217743,-1.42829645215417,7,0,0,0,NaN,positive_raw_change_provisional,1,1,0.115886739007006,0.115886739007006,392,411,116.863173184163,422,130.406065234487,117.492062572422,116.234283795904,-0.0107628326550357,0.109913830596893,0.121924280649129,1,0.0299879441665785,0.100181759361969,-0.0142829645215417,0.0127996543217743,7,-5.55111512312578e-17,9,reference_contamination_above_one_percent
M400-01-baseline-awake,45,development,selection,415,430,resolved,412,355,419,392,411,116.95964674609,0.112848823320598,provisional_valid,17.584224086203,7.32400864300648,17.584224086203,rising,resolved,NaN,NaN,1,0.1,23,exponential,10,405,1,1,7,0,0.024366840725907,-2.69951503010002,0.0136357465440629,-1.51745244966581,7,0,0,0,NaN,positive_raw_change_provisional,1,1,0.112848823320598,0.112848823320598,392,411,116.95964674609,422,130.158405257379,117.492062572422,116.427230919759,-0.00910426529394847,0.107805943717688,0.117937824589198,1,0.0299879441665785,0.0980354036506773,-0.0151745244966581,0.0136357465440629,7,-1.11022302462516e-16,10,reference_contamination_above_one_percent
M400-01-baseline-awake,47,development,selection,468,478,resolved,464,408,472,444,463,83.6497178316798,0.192553296664794,provisional_valid,25.8519244442487,28.2696268105921,28.2696268105921,pulse,resolved,NaN,NaN,2,0.2,7,quadratic,10,458,1,0,6,0,0.0557754278569544,-6.48061618421578,0.0170132748492053,-2.0289237008484,6,0,0,0,NaN,positive_raw_change_provisional,1,1,0.192553296664794,0.192553296664794,444,463,83.6497178316798,475,99.7567467652495,83.503573629082,83.7958620342777,0.00349419475369719,0.194640449861023,0.190473423669093,1,0.0107021113943981,0.20214042227888,-0.020289237008484,0.0170132748492053,6,2.77555756156289e-17,11,reference_contamination_above_one_percent
