StrictBaselineStatus,StrictMeasuredPeakFraction,CleanBaselineFrames,PrebaselineFrames,NativePeakFrame,UnscreenedObservedBaseline,UnscreenedSourceBaseline,UnscreenedObservedPeakFraction,UnscreenedCounterfactualPeakFraction,UnscreenedSourcePeakFraction,UnscreenedBaselinePositiveFraction,UnscreenedBaselineNegativeFraction,UnscreenedBaselineImposedFraction,UnscreenedBaselineEffectFraction,UnscreenedBackgroundAtObservedPeak,UnscreenedAppliedAtObservedPeak,PeakPositiveAppliedVsSameFrameSource,MinimumNegativeAppliedVsSameFrameSource,PeakNetAppliedVsSameFrameSource,PeakPositiveAppliedInNativeIntersection,NativeIntersectionFrames,PreFramesWithPositiveIncrement,PreFramesWithNegativeIncrement,Session,Case,EventRow,Support,SupportStatus,SupportPixels,SupportAreaUm2,OccupancyFraction,IsPreselectedMatch,StartFrame,EndFrame,SharedCleanBaselineFrames,StoredFullEventAmplitude,EligibleSupportFraction,LocalRow
insufficient_clean_prebaseline,NaN,17,20,132,103.0453722334,103.0453722334,0.222684231028702,0.222684231028702,0.0214093731053598,0,0,0,0,0.0201401777459286,0.202544053282774,0.200043070537794,0,0.200043070537795,0.200043070537794,60,0,0,M400-01-baseline-awake,growing_clean,0,recipe_common_core_oracle,available,497,11213.5625,NaN,0,101,160,17,NaN,0.82092555331992,1
insufficient_clean_prebaseline,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,0,0,0,M400-01-baseline-awake,growing_clean,1,full_event,available,1678,37859.875,0,0,3,14,2,NaN,0.753873659117998,2
insufficient_clean_prebaseline,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,0,0,0,M400-01-baseline-awake,growing_clean,1,persistent_50,available,963,21727.6875,0.5,0,3,14,2,NaN,0.754932502596054,3
insufficient_clean_prebaseline,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,0,0,0,M400-01-baseline-awake,growing_clean,1,persistent_75,available,794,17914.625,0.75,0,3,14,2,NaN,0.7544080604534,4
insufficient_clean_prebaseline,NaN,6,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,0,0,0,M400-01-baseline-awake,growing_clean,2,full_event,available,1555,35084.6875,0,0,7,18,6,NaN,0.770418006430868,5
insufficient_clean_prebaseline,NaN,6,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,0,0,0,M400-01-baseline-awake,growing_clean,2,persistent_50,available,973,21953.3125,0.5,0,7,18,6,NaN,0.778006166495375,6
insufficient_clean_prebaseline,NaN,6,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,0,0,0,M400-01-baseline-awake,growing_clean,2,persistent_75,available,633,14282.0625,0.75,0,7,18,6,NaN,0.807266982622433,7
valid,0.00879984605820161,20,20,28,125.010948342328,125.010948342328,0.00879984605820161,0.00879984605820161,0.00879984605820161,0,0,0,0,0.00879984605820161,0,0,0,0,NaN,0,0,0,M400-01-baseline-awake,growing_clean,3,full_event,available,1297,29263.5625,0,0,27,36,20,0.00879984605820161,0.910562837316885,8
valid,0.0172191439991912,20,20,33,127.795273109244,127.795273109244,0.0172191439991912,0.0172191439991912,0.0172191439991912,0,0,0,0,0.0172191439991912,0,0,0,0,NaN,0,0,0,M400-01-baseline-awake,growing_clean,3,persistent_50,available,476,10739.75,0.5,0,27,36,20,0.00879984605820161,0.918067226890756,9
valid,0.0161568780742045,20,20,28,127.9125,127.9125,0.0161568780742045,0.0161568780742045,0.0161568780742045,0,0,0,0,0.0161568780742045,0,0,0,0,NaN,0,0,0,M400-01-baseline-awake,growing_clean,3,persistent_75,available,336,7581,0.75,0,27,36,20,0.00879984605820161,0.904761904761905,10
