Session,Case,Policy,CandidateRuns,RetainedRuns,AmbiguousRetainedRuns,ContactEdges,LinkedContactEdges,AddedLinks,RemovedLinks,GainedRetainedPixelFrames,LostRetainedPixelFrames
M401-01-baseline-awake,smooth_pairs,isolated_shape,2887,18,6,548,56,0,0,0,0
M401-01-baseline-awake,smooth_pairs,majority_shape,2854,20,8,548,89,33,0,47629,0
M401-01-baseline-awake,smooth_pairs,split_only,2871,19,7,548,72,16,0,32957,0
M401-01-baseline-awake,smooth_pairs,segment_contacts,2943,16,4,548,0,0,56,0,59607
M400-01-baseline-awake,moving_clean,isolated_shape,3040,49,25,1140,167,0,0,0,0
M400-01-baseline-awake,moving_clean,majority_shape,2949,56,32,1140,258,91,0,184158,0
M400-01-baseline-awake,moving_clean,split_only,2988,51,27,1140,219,52,0,58068,0
M400-01-baseline-awake,moving_clean,segment_contacts,3207,40,16,1140,0,0,167,0,375039
FB2312-baseline-awake,growing_clean,isolated_shape,1383,40,14,383,60,0,0,0,0
FB2312-baseline-awake,growing_clean,majority_shape,1336,45,19,383,107,47,0,795210,0
FB2312-baseline-awake,growing_clean,split_only,1357,41,15,383,86,26,0,204179,0
FB2312-baseline-awake,growing_clean,segment_contacts,1443,36,10,383,0,0,60,0,627135
FB2312-baseline-awake,shrinking_clean,isolated_shape,1393,39,13,402,67,0,0,0,0
FB2312-baseline-awake,shrinking_clean,majority_shape,1344,44,18,402,116,49,0,707234,0
FB2312-baseline-awake,shrinking_clean,split_only,1365,40,14,402,95,28,0,204045,0
FB2312-baseline-awake,shrinking_clean,segment_contacts,1460,35,9,402,0,0,67,0,627037
FB2411,growing_clean,isolated_shape,1167,12,11,496,63,0,0,0,0
FB2411,growing_clean,majority_shape,1136,12,11,496,94,31,0,19199,0
FB2411,growing_clean,split_only,1153,12,11,496,77,14,0,891,0
FB2411,growing_clean,segment_contacts,1230,9,8,496,0,0,63,0,167279
FB2411,shrinking_clean,isolated_shape,1165,11,10,514,64,0,0,0,0
FB2411,shrinking_clean,majority_shape,1140,11,10,514,89,25,0,19349,0
FB2411,shrinking_clean,split_only,1153,11,10,514,76,12,0,8282,0
FB2411,shrinking_clean,segment_contacts,1229,8,7,514,0,0,64,0,174333
