Session,Case,Policy,TruthRow,BestNativeSpacetimeIoU,BestCandidateRunID,NativeStartFrame,NativeEndFrame,RetainedTruthFrames
M401-01-baseline-awake,smooth_pairs,isolated_shape,1,0,NaN,NaN,NaN,0
M401-01-baseline-awake,smooth_pairs,isolated_shape,2,0.366075750242014,435,70,81,12
M401-01-baseline-awake,smooth_pairs,isolated_shape,3,0.383898763155385,657,115,126,12
M401-01-baseline-awake,smooth_pairs,isolated_shape,4,0,NaN,NaN,NaN,0
M401-01-baseline-awake,smooth_pairs,isolated_shape,5,0.354003718898498,1028,199,210,12
M401-01-baseline-awake,smooth_pairs,isolated_shape,6,0,NaN,NaN,NaN,0
M401-01-baseline-awake,smooth_pairs,majority_shape,1,0.362430149103525,265,44,57,14
M401-01-baseline-awake,smooth_pairs,majority_shape,2,0.366075750242014,430,70,81,12
M401-01-baseline-awake,smooth_pairs,majority_shape,3,0.383898763155385,649,115,126,12
M401-01-baseline-awake,smooth_pairs,majority_shape,4,0,NaN,NaN,NaN,0
M401-01-baseline-awake,smooth_pairs,majority_shape,5,0.354003718898498,1014,199,210,12
M401-01-baseline-awake,smooth_pairs,majority_shape,6,0,NaN,NaN,NaN,0
M401-01-baseline-awake,smooth_pairs,split_only,1,0.362430149103525,266,44,57,14
M401-01-baseline-awake,smooth_pairs,split_only,2,0.366075750242014,432,70,81,12
M401-01-baseline-awake,smooth_pairs,split_only,3,0.383898763155385,653,115,126,12
M401-01-baseline-awake,smooth_pairs,split_only,4,0,NaN,NaN,NaN,0
M401-01-baseline-awake,smooth_pairs,split_only,5,0.354003718898498,1020,199,210,12
M401-01-baseline-awake,smooth_pairs,split_only,6,0,NaN,NaN,NaN,0
M401-01-baseline-awake,smooth_pairs,segment_contacts,1,0,NaN,NaN,NaN,0
M401-01-baseline-awake,smooth_pairs,segment_contacts,2,0.366075750242014,442,70,81,12
M401-01-baseline-awake,smooth_pairs,segment_contacts,3,0.383898763155385,667,115,126,12
M401-01-baseline-awake,smooth_pairs,segment_contacts,4,0,NaN,NaN,NaN,0
M401-01-baseline-awake,smooth_pairs,segment_contacts,5,0.354003718898498,1042,199,210,12
M401-01-baseline-awake,smooth_pairs,segment_contacts,6,0,NaN,NaN,NaN,0
M400-01-baseline-awake,moving_clean,isolated_shape,8,0.119391944930862,442,107,116,10
M400-01-baseline-awake,moving_clean,majority_shape,8,0.119391944930862,429,107,116,10
M400-01-baseline-awake,moving_clean,split_only,8,0.119391944930862,435,107,116,10
M400-01-baseline-awake,moving_clean,segment_contacts,8,0.119391944930862,468,107,116,10
FB2312-baseline-awake,growing_clean,isolated_shape,1,0.16425656632567,135,133,143,11
FB2312-baseline-awake,growing_clean,majority_shape,1,0.224947321443703,127,127,143,30
FB2312-baseline-awake,growing_clean,split_only,1,0.16425656632567,135,133,143,11
FB2312-baseline-awake,growing_clean,segment_contacts,1,0.16425656632567,143,133,143,11
FB2312-baseline-awake,shrinking_clean,isolated_shape,1,0,NaN,NaN,NaN,0
FB2312-baseline-awake,shrinking_clean,majority_shape,1,0.178780559111462,129,127,141,15
FB2312-baseline-awake,shrinking_clean,split_only,1,0,NaN,NaN,NaN,0
FB2312-baseline-awake,shrinking_clean,segment_contacts,1,0,NaN,NaN,NaN,0
FB2411,growing_clean,isolated_shape,1,0,NaN,NaN,NaN,0
FB2411,growing_clean,majority_shape,1,0,NaN,NaN,NaN,0
FB2411,growing_clean,split_only,1,0,NaN,NaN,NaN,0
FB2411,growing_clean,segment_contacts,1,0,NaN,NaN,NaN,0
FB2411,shrinking_clean,isolated_shape,1,0,NaN,NaN,NaN,0
FB2411,shrinking_clean,majority_shape,1,0,NaN,NaN,NaN,0
FB2411,shrinking_clean,split_only,1,0,NaN,NaN,NaN,0
FB2411,shrinking_clean,segment_contacts,1,0,NaN,NaN,NaN,0
