RecordingID,EventType,SiteID,EventID,EventRow,StartFrame,EndFrame,DetectedStartFrame,DetectedEndFrame,FootprintPixels,BaselineWindowFrames,CleanBaselineFrames,TruncatedBaseline,OverlapExcludedFrames,NonfiniteBaselineFrames,StoredBaseline,RecomputedBaseline,StoredStatus,RecomputedStatus,StoredAmplitude,RecomputedAmplitude,AbsDifference,MeasurementMatches,WrongDirection,Condition,SourceRawSHA256
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-contact-provenance-20260909/master/M401-01-baseline-awake/smooth_pairs,sink,1,1,1,1,6,1,6,548,20,0,1,0,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,eaebeacc345231387111e15a4a03474630ae9c314d839bf8832d215d75dab9d9
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-contact-provenance-20260909/master/M401-01-baseline-awake/smooth_pairs,sink,1,2,2,8,12,8,12,407,20,1,1,6,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,eaebeacc345231387111e15a4a03474630ae9c314d839bf8832d215d75dab9d9
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-contact-provenance-20260909/master/M401-01-baseline-awake/smooth_pairs,sink,1,3,3,119,134,132,134,284,20,20,0,0,0,163.630809859155,163.630809859155,valid,valid,0.0335939609843957,0.0335939609843957,0,1,0,KnownSignal,eaebeacc345231387111e15a4a03474630ae9c314d839bf8832d215d75dab9d9
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-contact-provenance-20260909/master/M401-01-baseline-awake/smooth_pairs,sink,1,4,4,138,148,138,140,209,20,17,0,3,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,eaebeacc345231387111e15a4a03474630ae9c314d839bf8832d215d75dab9d9
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-contact-provenance-20260909/master/M401-01-baseline-awake/smooth_pairs,sink,2,1,5,1,6,1,6,328,20,0,1,0,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,eaebeacc345231387111e15a4a03474630ae9c314d839bf8832d215d75dab9d9
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-contact-provenance-20260909/master/M401-01-baseline-awake/smooth_pairs,sink,3,1,6,1,7,1,7,427,20,0,1,0,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,eaebeacc345231387111e15a4a03474630ae9c314d839bf8832d215d75dab9d9
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-contact-provenance-20260909/master/M401-01-baseline-awake/smooth_pairs,sink,3,2,7,11,13,11,13,196,20,3,1,7,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,eaebeacc345231387111e15a4a03474630ae9c314d839bf8832d215d75dab9d9
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-contact-provenance-20260909/master/M401-01-baseline-awake/smooth_pairs,sink,3,3,8,15,24,15,17,647,20,4,1,10,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,eaebeacc345231387111e15a4a03474630ae9c314d839bf8832d215d75dab9d9
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-contact-provenance-20260909/master/M401-01-baseline-awake/smooth_pairs,sink,4,1,9,1,3,1,3,1006,20,0,1,0,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,eaebeacc345231387111e15a4a03474630ae9c314d839bf8832d215d75dab9d9
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-contact-provenance-20260909/master/M401-01-baseline-awake/smooth_pairs,sink,5,1,10,343,367,358,367,965,20,20,0,0,0,139.895492227979,139.895492227979,valid,valid,0.0862683209486876,0.0862683209486876,0,1,0,KnownSignal,eaebeacc345231387111e15a4a03474630ae9c314d839bf8832d215d75dab9d9
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-contact-provenance-20260909/master/M401-01-baseline-awake/smooth_pairs,sink,5,2,11,369,376,369,376,1215,20,10,0,10,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,eaebeacc345231387111e15a4a03474630ae9c314d839bf8832d215d75dab9d9
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-contact-provenance-20260909/master/M401-01-baseline-awake/smooth_pairs,sink,5,3,12,384,386,384,386,406,20,8,0,12,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,eaebeacc345231387111e15a4a03474630ae9c314d839bf8832d215d75dab9d9
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-contact-provenance-20260909/master/M401-01-baseline-awake/smooth_pairs,sink,5,4,13,388,392,388,392,448,20,12,0,8,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,eaebeacc345231387111e15a4a03474630ae9c314d839bf8832d215d75dab9d9
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-contact-provenance-20260909/master/M401-01-baseline-awake/smooth_pairs,sink,5,5,14,397,400,397,400,588,20,12,0,8,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,eaebeacc345231387111e15a4a03474630ae9c314d839bf8832d215d75dab9d9
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-contact-provenance-20260909/master/M401-01-baseline-awake/smooth_pairs,sink,5,6,15,519,545,535,544,622,20,20,0,0,0,143.618247588424,143.618247588424,valid,valid,0.0861469004724587,0.0861469004724587,0,1,0,KnownSignal,eaebeacc345231387111e15a4a03474630ae9c314d839bf8832d215d75dab9d9
