Session,EventRow,Cohort,Context,NativeStartFrame,NativeEndFrame,Status,OnsetFrame,FitStartFrame,FitEndFrame,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,RisingScore,PulseScore,SelectedScore,SelectedModel,SelectorStatus,ModelGapSec,CombinedProfileSpanSec,PlausibleModels,AmplitudeFraction,RiseFrames,Shape,DelayFrames,TruthOnsetFrame,Constructible,PulseTruncated,OnsetErrorSec,WithinFiveSec,NativeBaselineImposedFraction,NativeBaselineEffectPP,ProposedBaselineImposedFraction,BaselineEffectPP,PositiveBaselineFrames,BaselineUnderOnePercent,ControlResolved,SameOnsetAsControl,ShiftFromControlSec,AmplitudeStatus,ArithmeticValid,PositiveAmplitudeEligible,SignedRawAmplitude,ProvisionalPositiveAmplitude,ReferenceStartFrame,ReferenceEndFrame,ReferenceMean,NativePeakFrame,NativePeakValue,FirstHalfReferenceMean,SecondHalfReferenceMean,ReferenceHalfChangeFraction,FirstHalfAmplitude,SecondHalfAmplitude,PositiveAcrossReferenceHalves,OracleSourceAtObservedPeak,OracleImposedAtObservedPeak,OracleBaselineEffect,OracleBaselineImposedFraction,OracleReferencePositiveFrames,DecompositionResidual,ExpandedStatus,ExpandedArithmeticValid,ExpandedPositiveEligible,ExpandedSignedAmplitude,ExpandedPositiveAmplitude,ExpandedPeakFrame,ExpandedPeakValue,AddedFrameCount,AddedNeighborFrames,AddedNonfiniteFrames,PeakPrecedesNative,AmplitudeIncrease,NativeEnvelopeFraction,ExpandedEnvelopeFraction,ExpandedOracleSource,ExpandedOracleImposed,ExpandedOracleReferenceEffect,ExpandedDecompositionResidual,OracleSourceOnlyWindowGain
M400-01-baseline-awake,6,development,selection,59,74,resolved,45,1,63,25,44,47.3040120361083,0.207553836830476,provisional_valid,39.5098927638427,53.4763916839162,53.4763916839162,pulse,resolved,NaN,NaN,2,0.02,23,gamma,10,49,1,0,-4,1,0.00505353359651939,-0.544571711184516,0,0,0,1,1,1,0,positive_raw_change_provisional,1,1,0.207553836830476,0.207553836830476,25,44,47.3040120361083,73,57.1221412316776,47.4464894684052,47.1615346038114,-0.00602390478795498,0.203927664020653,0.211201919351056,1,0.183959153642438,0.0235946831880385,0,0,0,0,positive_raw_change_provisional,1,1,0.218029333110658,0.218029333110658,58,57.6176742337996,14,0,0,1,0.0104754962801823,0.99643146959292,0.76514361432526,0.199670922202362,0.0183584109082967,0,-7.97972798949331e-17,0.0157117685599241
M400-01-baseline-awake,6,development,selection,59,74,resolved,45,1,63,25,44,47.3040120361083,0.207638336715287,provisional_valid,39.3757409313262,53.6567603463262,53.6567603463262,pulse,resolved,NaN,NaN,2,0.02,23,exponential,10,49,1,0,-4,1,0.00525843191268294,-0.566575817915327,0,0,0,1,1,1,0,positive_raw_change_provisional,1,1,0.207638336715287,0.207638336715287,25,44,47.3040120361083,73,57.1261384152457,47.4464894684052,47.1615346038114,-0.00602390478795498,0.204011910160102,0.211286674514383,1,0.183959153642438,0.0236791830728488,0,0,0,8.32667268468867e-17,positive_raw_change_provisional,1,1,0.218069764291827,0.218069764291827,58,57.6195867908802,14,0,0,1,0.0104314275765405,1,0.766828708979981,0.199670922202362,0.0183988420894652,0,-6.93889390390723e-18,0.0157117685599241
M400-01-baseline-awake,32,development,selection,241,251,resolved,224,181,245,204,223,100.741870934472,0.0601347269662649,provisional_valid,11.4955396209723,14.4541474620548,14.4541474620548,pulse,resolved,NaN,NaN,2,0.02,23,gamma,25,216,1,0,8,0,0.0175387770147599,-1.82016503170606,0.00324276489517406,-0.343776767676118,8,1,0,0,NaN,positive_raw_change_provisional,1,1,0.0601347269662649,0.0601347269662649,204,223,100.741870934472,248,106.799955837187,101.666564978646,99.8171768902985,-0.0183576905133117,0.0504924196034351,0.0699556846269347,1,0.0441741202611641,0.0193983743818619,-0.00343776767676118,0.00324276489517406,8,1.11022302462516e-16,positive_raw_change_provisional,1,1,0.0625033333909453,0.0625033333909453,228,107.038573679917,17,0,0,1,0.0023686064246804,0.928885997337785,0.87305017569438,0.0476556626938296,0.0182931192076411,-0.00344544851052553,7.28583859910259e-17,0.00348154243266553
M400-01-baseline-awake,32,development,selection,241,251,resolved,224,181,245,204,223,100.76039944243,0.0614198177024485,provisional_valid,11.6436748545762,13.7720554950172,13.7720554950172,pulse,resolved,NaN,NaN,2,0.02,23,exponential,25,216,1,0,8,0,0.0174252644034703,-1.81111191186825,0.00342728193243391,-0.363778496393907,8,1,0,0,NaN,positive_raw_change_provisional,1,1,0.0614198177024485,0.0614198177024485,204,223,100.76039944243,248,106.94908480781,101.666564978646,99.8542339062139,-0.0179865411655809,0.0519592634045782,0.0710520788558593,1,0.0441741202611641,0.0208834824052233,-0.00363778496393907,0.00342728193243391,8,1.94289029309402e-16,positive_raw_change_provisional,1,1,0.062020883021032,0.062020883021032,228,107.009648389401,17,0,0,1,0.000601065318583505,1,0.859302629317717,0.0476556626938296,0.0180050653114481,-0.00363984498424563,1.38777878078145e-17,0.00348154243266553
M400-01-baseline-awake,45,development,selection,415,430,resolved,392,355,419,372,391,117.457257474025,0.105814578027954,provisional_valid,1.95646893429454,14.104043227375,14.104043227375,pulse,resolved,NaN,NaN,1,0.1,23,gamma,25,390,1,0,2,1,0.0871462343157834,-9.07805155853638,0.00165802180119545,-0.183346467845014,2,1,0,0,NaN,positive_raw_change_provisional,1,1,0.105814578027954,0.105814578027954,372,391,117.457257474025,422,129.88594760996,117.353650057937,117.560864890113,0.00176417223278817,0.106790862881853,0.104840013990775,1,0.0135049839262853,0.0941430587801184,-0.00183346467845014,0.00165802180119545,2,-1.38777878078145e-17,positive_raw_change_provisional,1,1,0.123237801980748,0.123237801980748,402,131.932431711811,23,0,0,1,0.0174232239527943,0.928885997337785,0.87305017569438,0.0347603814607678,0.0903397732835909,-0.0018623527636108,0,0.0212553975344826
M400-01-baseline-awake,45,development,selection,415,430,resolved,392,355,419,372,391,117.481120132467,0.112784013730905,provisional_valid,1.2201414652518,12.6650371909456,12.6650371909456,pulse,resolved,NaN,NaN,1,0.1,23,exponential,25,390,1,1,2,1,0.0866241063228161,-9.08674219187184,0.00186151900319276,-0.207146858800922,2,1,0,0,NaN,positive_raw_change_provisional,1,1,0.112784013730905,0.112784013730905,372,391,117.481120132467,422,130.73111239861,117.353650057937,117.608590206997,0.00217005207962123,0.113992724845522,0.111577922739454,1,0.0135049839262853,0.101350498392629,-0.00207146858800922,0.00186151900319276,2,4.16333634234434e-17,positive_raw_change_provisional,1,1,0.121589752473057,0.121589752473057,402,131.765620449631,23,0,0,1,0.00880573874215251,1,0.859302629317717,0.0347603814607678,0.0889172316503042,-0.0020878606380148,1.94289029309402e-16,0.0212553975344826
M400-01-baseline-awake,45,development,selection,415,430,resolved,390,355,419,370,389,117.023059096176,0.20425350773971,provisional_valid,0.848486170144302,57.392703811876,57.392703811876,pulse,resolved,NaN,NaN,1,0.2,23,gamma,25,390,1,0,0,1,0.174292468631566,-18.2373415046559,0,0,0,1,0,0,NaN,positive_raw_change_provisional,1,1,0.20425350773971,0.20425350773971,370,389,117.023059096176,422,140.925429403001,116.927809965238,117.118308227115,0.00162786944170249,0.205234489937838,0.203274121153801,1,0.0155816019067068,0.188671905833003,0,0,0,-1.11022302462516e-16,positive_raw_change_provisional,1,1,0.217930300003119,0.217930300003119,402,142.525929472289,25,0,0,1,0.0136767922634091,0.928885997337785,0.87305017569438,0.0368805506238683,0.181049749379251,0,2.77555756156289e-17,0.0212989487171617
FB2312-baseline-awake,2,development,selection,204,213,resolved,193,144,208,173,192,601.611704580866,0.0324436223703786,provisional_valid,28.0312239583837,34.2854621316651,34.2854621316651,pulse,resolved,NaN,NaN,2,0.02,23,gamma,10,194,1,0,-1,1,0.00487100459725442,-0.495271419788068,0,0,0,1,0,0,NaN,positive_raw_change_provisional,1,1,0.0324436223703786,0.0324436223703786,173,192,601.611704580866,208,621.130167537888,600.884200685572,602.339208476161,0.00241851642763942,0.033693624876834,0.0311966393641641,1,0.0137208249932317,0.018722797377147,0,0,0,-8.32667268468867e-17,positive_raw_change_provisional,1,1,0.0465646101728103,0.0465646101728103,202,629.625519080074,11,0,0,1,0.0141209878024318,0.923469110801386,0.719230069953185,0.0317236763347584,0.0148409338380521,0,-1.43982048506075e-16,0.0180028513415267
FB2312-baseline-awake,2,development,selection,204,213,resolved,193,144,208,173,192,601.611704580866,0.0320416066167997,provisional_valid,27.221264981874,34.9488923402356,34.9488923402356,pulse,resolved,NaN,NaN,2,0.02,23,exponential,10,194,1,0,-1,1,0.00507030727893532,-0.51523308165371,0,0,0,1,0,0,NaN,positive_raw_change_provisional,1,1,0.0320416066167997,0.0320416066167997,173,192,601.611704580866,208,620.888310155109,600.884200685572,602.339208476161,0.00241851642763942,0.0332911223938213,0.0307951091642775,1,0.0137208249932317,0.018320781623568,0,0,0,0,positive_raw_change_provisional,1,1,0.0467258151121994,0.0467258151121994,202,629.722501858447,11,0,0,1,0.0146842084953998,0.903640389536751,0.727042478599351,0.0317236763347584,0.0150021387774411,0,-1.38777878078145e-17,0.0180028513415267
FB2312-baseline-awake,2,development,selection,204,213,resolved,192,144,208,172,191,601.480464319103,0.105565909867281,provisional_valid,114.920281145834,137.445199832551,137.445199832551,pulse,resolved,NaN,NaN,2,0.1,23,exponential,10,194,1,0,-2,1,0.025351536394677,-2.704519285161,0,0,0,1,0,0,NaN,positive_raw_change_provisional,1,1,0.105565909867281,0.105565909867281,172,191,601.480464319103,208,664.976296802343,600.020498597694,602.940430040511,0.00485457403196385,0.108255965181951,0.102888882003922,1,0.0139420141993982,0.0916238956678823,0,0,0,5.55111512312578e-17,positive_raw_change_provisional,1,1,0.106975854554486,0.106975854554486,202,665.824350987467,12,0,0,1,0.00140994468720512,0.903640389536751,0.727042478599351,0.0319487936800129,0.0750270608744727,0,6.93889390390723e-17,0.0180067794806147
