Grouping,Group,Constructible,NativeAvailable,ExpandedAvailable,NativePositive,ExpandedPositive,PeakMovesEarlier,NativeEnvelopeAtLeast90Percent,ExpandedEnvelopeAtLeast90Percent,NearPeakGained,NearPeakLost,NativeOutsideImposed,ExpandedOutsideImposed,NewOutsideImposed,ExpandedPeakBeforeTruth,SourceOnlyWindowGain,BaselineAboveOnePercent
Cohort,additional,6588,1267,1267,1253,1267,505,776,1079,314,11,22,4,0,0,567,38
Cohort,development,3852,1231,1231,1227,1231,618,744,1067,346,23,26,1,0,0,689,33
Cohort,noiseless,36,36,36,36,36,27,24,36,12,0,0,0,0,0,0,0
Session,FB2312-baseline-awake,1314,459,459,456,459,275,271,374,119,16,7,0,0,0,313,19
Session,FB2316-baseline,2232,698,698,684,698,304,431,602,180,9,12,3,0,0,341,18
Session,FB2411,378,165,165,165,165,89,114,165,51,0,0,0,0,0,151,0
Session,ID13-20200917,4356,569,569,569,569,201,345,477,134,2,10,1,0,0,226,20
Session,M400-01-baseline-awake,1728,446,446,445,446,184,272,390,125,7,11,0,0,0,200,14
Session,M401-01-baseline-awake,432,161,161,161,161,70,87,138,51,0,8,1,0,0,25,0
Session,flat,36,36,36,36,36,27,24,36,12,0,0,0,0,0,0,0
Cohort+Shape,additional|control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cohort+Shape,additional|exponential,2196,409,409,407,409,148,297,366,75,6,0,0,0,0,196,10
Cohort+Shape,additional|gamma,2196,412,412,408,412,213,187,331,148,4,0,0,0,0,196,9
Cohort+Shape,additional|quadratic,2196,446,446,438,446,144,292,382,91,1,22,4,0,0,175,19
Cohort+Shape,development|control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cohort+Shape,development|exponential,1284,413,413,413,413,191,296,372,87,11,0,0,0,0,242,12
Cohort+Shape,development|gamma,1284,409,409,408,409,242,192,346,163,9,0,0,0,0,234,8
Cohort+Shape,development|quadratic,1284,409,409,406,409,185,256,349,96,3,26,1,0,0,213,13
Cohort+Shape,noiseless|control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cohort+Shape,noiseless|exponential,12,12,12,12,12,9,9,12,3,0,0,0,0,0,0,0
Cohort+Shape,noiseless|gamma,12,12,12,12,12,9,6,12,6,0,0,0,0,0,0,0
Cohort+Shape,noiseless|quadratic,12,12,12,12,12,9,9,12,3,0,0,0,0,0,0,0
Cohort+Shape+RiseFrames+DelayFrames,additional|control|0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cohort+Shape+RiseFrames+DelayFrames,additional|exponential|23|10,549,120,120,120,120,4,106,104,0,2,0,0,0,0,45,1
Cohort+Shape+RiseFrames+DelayFrames,additional|exponential|23|25,549,79,79,79,79,32,74,72,1,3,0,0,0,0,45,6
Cohort+Shape+RiseFrames+DelayFrames,additional|exponential|7|10,549,126,126,126,126,31,117,116,0,1,0,0,0,0,49,0
Cohort+Shape+RiseFrames+DelayFrames,additional|exponential|7|25,549,84,84,82,84,81,0,74,74,0,0,0,0,0,57,3
Cohort+Shape+RiseFrames+DelayFrames,additional|gamma|23|10,549,120,120,120,120,3,114,113,0,1,0,0,0,0,45,0
Cohort+Shape+RiseFrames+DelayFrames,additional|gamma|23|25,549,83,83,83,83,47,73,74,4,3,0,0,0,0,49,6
Cohort+Shape+RiseFrames+DelayFrames,additional|gamma|7|10,549,123,123,123,123,83,0,77,77,0,0,0,0,0,48,0
Cohort+Shape+RiseFrames+DelayFrames,additional|gamma|7|25,549,86,86,82,86,80,0,67,67,0,0,0,0,0,54,3
Cohort+Shape+RiseFrames+DelayFrames,additional|quadratic|23|10,549,98,98,98,98,2,52,51,0,1,0,0,0,0,21,0
Cohort+Shape+RiseFrames+DelayFrames,additional|quadratic|23|25,549,114,114,114,114,21,110,110,0,0,0,0,0,0,50,15
Cohort+Shape+RiseFrames+DelayFrames,additional|quadratic|7|10,549,138,138,138,138,29,130,130,0,0,0,0,0,0,48,0
Cohort+Shape+RiseFrames+DelayFrames,additional|quadratic|7|25,549,96,96,88,96,92,0,91,91,0,22,4,0,0,56,4
Cohort+Shape+RiseFrames+DelayFrames,development|control|0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cohort+Shape+RiseFrames+DelayFrames,development|exponential|23|10,324,113,113,113,113,7,102,95,0,7,0,0,0,0,55,6
Cohort+Shape+RiseFrames+DelayFrames,development|exponential|23|25,318,89,89,89,89,40,86,85,2,3,0,0,0,0,58,1
Cohort+Shape+RiseFrames+DelayFrames,development|exponential|7|10,324,113,113,113,113,49,108,108,1,1,0,0,0,0,64,3
Cohort+Shape+RiseFrames+DelayFrames,development|exponential|7|25,318,98,98,98,98,95,0,84,84,0,0,0,0,0,65,2
Cohort+Shape+RiseFrames+DelayFrames,development|gamma|23|10,324,113,113,113,113,6,106,100,0,6,0,0,0,0,54,5
