Session,EventRow,Cohort,Context,NativeStartFrame,NativeEndFrame,Status,OnsetFrame,FitStartFrame,FitEndFrame,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,RisingScore,PulseScore,SelectedScore,SelectedModel,SelectorStatus,ModelGapSec,CombinedProfileSpanSec,PlausibleModels,AmplitudeFraction,RiseFrames,Shape,DelayFrames,TruthOnsetFrame,Constructible,PulseTruncated,OnsetErrorSec,WithinFiveSec,NativeBaselineImposedFraction,NativeBaselineEffectPP,ProposedBaselineImposedFraction,BaselineEffectPP,PositiveBaselineFrames,BaselineUnderOnePercent,ControlResolved,SameOnsetAsControl,ShiftFromControlSec,AmplitudeStatus,ArithmeticValid,PositiveAmplitudeEligible,SignedRawAmplitude,ProvisionalPositiveAmplitude,ReferenceStartFrame,ReferenceEndFrame,ReferenceMean,NativePeakFrame,NativePeakValue,FirstHalfReferenceMean,SecondHalfReferenceMean,ReferenceHalfChangeFraction,FirstHalfAmplitude,SecondHalfAmplitude,PositiveAcrossReferenceHalves,OracleSourceAtObservedPeak,OracleImposedAtObservedPeak,OracleBaselineEffect,OracleBaselineImposedFraction,OracleReferencePositiveFrames,DecompositionResidual,ExpandedStatus,ExpandedArithmeticValid,ExpandedPositiveEligible,ExpandedSignedAmplitude,ExpandedPositiveAmplitude,ExpandedPeakFrame,ExpandedPeakValue,AddedFrameCount,AddedNeighborFrames,AddedNonfiniteFrames,PeakPrecedesNative,AmplitudeIncrease,NativeEnvelopeFraction,ExpandedEnvelopeFraction,ExpandedOracleSource,ExpandedOracleImposed,ExpandedOracleReferenceEffect,ExpandedDecompositionResidual,OracleSourceOnlyWindowGain
M400-01-baseline-awake,47,development,selection,468,478,resolved,445,408,472,425,444,83.1672393023753,-0.000440281513584218,provisional_valid,55.3777492994652,78.6250569489132,78.6250569489132,pulse,resolved,NaN,NaN,1,0.2,7,quadratic,25,443,1,0,2,1,0.165987991607072,-14.5527908233303,0.00102215017920959,-0.102170014538161,2,1,0,0,NaN,raw_direction_conflict,1,0,-0.000440281513584218,NaN,425,444,83.1672393023753,475,83.1306223043746,82.5133086876155,83.8211699171351,0.0157256780493158,0.00748138241669793,-0.00823834376736976,0,0.000581418631797392,0,-0.00102170014538161,0.00102215017920959,2,0,positive_raw_change_provisional,1,1,0.226586704094597,0.226586704094597,449,102.011829944547,23,0,0,1,0.227026985608181,0,1,0.0232003832616696,0.204640076652334,-0.00125375581940657,5.55111512312578e-17,0.0226189646298722
FB2312-baseline-awake,11,development,selection,402,412,resolved,379,342,406,359,378,583.468653633623,-0.00540225880740675,provisional_valid,58.5576865370065,114.585658587272,114.585658587272,pulse,resolved,NaN,NaN,1,0.1,7,quadratic,25,377,1,0,2,1,0.0823062216111283,-7.60324126171318,0.000513356700642786,-0.0510583414885413,2,1,0,0,NaN,raw_direction_conflict,1,0,-0.00540225880740675,NaN,359,378,583.468653633623,402,580.316604960685,586.06290886489,580.874398402357,-0.00889252649687509,-0.00980492677029232,-0.000960265150617534,0,-0.022839520926524,0.0179478455340027,-0.000510583414885413,0.000513356700642786,2,-3.12250225675825e-17,positive_raw_change_provisional,1,1,0.108549141243635,0.108549141243635,393,646.803674928133,23,0,0,1,0.113951400051042,0.183673469387755,1,0.00828929306662207,0.100828929306662,-0.000569081129649263,1.38777878078145e-16,0.0189069455336884
FB2312-baseline-awake,15,development,selection,641,650,resolved,616,581,645,596,615,590.675032243381,-0.000540202548853341,provisional_valid,15.6789681626644,13.029209318615,13.029209318615,pulse,resolved,NaN,NaN,1,0.02,7,gamma,25,616,1,0,0,1,0.0131632987508055,-1.28634625746565,0,0,0,1,0,0,NaN,raw_direction_conflict,1,0,-0.000540202548853341,NaN,596,615,590.675032243381,641,590.355948085419,589.390137318868,591.959927167893,0.00435059839801457,0.00163866122861167,-0.00270960754074789,0,-0.00543504982141829,0.00489484727256488,0,0,0,6.59194920871187e-17,positive_raw_change_provisional,1,1,0.0503550414285689,0.0503550414285689,619,620.418497962817,25,0,0,1,0.0508952439774223,0.2460798197084,0.877178862431549,0.0322457582294982,0.0181092831990709,0,-5.89805981832114e-17,0.0372673570925193
FB2312-baseline-awake,15,development,selection,641,650,resolved,617,581,645,597,616,590.007505167457,-0.000652174109821879,provisional_valid,25.142229642186,21.101015854828,21.101015854828,pulse,resolved,NaN,NaN,1,0.02,7,quadratic,25,616,1,0,1,1,0.0164189175893175,-1.59736677481895,2.04103277550161e-05,-0.00203970166677836,1,1,0,0,NaN,raw_direction_conflict,1,0,-0.000652174109821879,NaN,597,616,590.007505167457,641,589.622717547986,588.762400424854,591.252609910059,0.004220640353547,0.00146122972953266,-0.00275667681588998,0,-0.00428948917374028,0.00365771208058622,-2.03970166677836e-05,2.04103277550161e-05,1,-3.8597597340484e-17,positive_raw_change_provisional,1,1,0.0483788952094537,0.0483788952094537,625,618.551416432744,24,0,0,1,0.0490310693192756,0.183673469387755,1,0.0278434244767807,0.0205568684895356,-2.13977568626067e-05,4.85722573273506e-17,0.0373102824114947
FB2316-baseline,26,additional,selection,848,861,resolved,823,788,852,803,822,6144.3591682243,-0.00731595477954916,provisional_valid,32.5477809111774,50.7538740157447,50.7538740157447,pulse,resolved,NaN,NaN,1,0.02,7,gamma,25,823,1,0,0,1,0.0131959570556635,-1.30448935347744,0,0,0,1,0,0,NaN,raw_direction_conflict,1,0,-0.00731595477954916,NaN,803,822,6144.3591682243,849,6099.40731440026,6166.01241121495,6122.70592523364,-0.00704816967817718,-0.0108019725509385,-0.00380528007026448,0,-0.0116946577507546,0.00437870297120547,0,0,0,-1.30104260698261e-17,positive_raw_change_provisional,1,1,0.0222477559484997,0.0222477559484997,830,6281.05737145888,25,0,0,1,0.0295637107280489,0.221525817175095,0.990717599714493,0.0023861244445631,0.0198616315039367,0,-5.89805981832114e-17,0.0165258787449407
FB2316-baseline,26,additional,selection,848,861,resolved,823,788,852,803,822,6144.3591682243,-0.00130187548214111,provisional_valid,21.9228684943432,44.3502501869828,44.3502501869828,pulse,resolved,NaN,NaN,1,0.02,7,exponential,25,823,1,0,0,1,0.0182936515141903,-1.81027123941073,0,0,0,1,0,0,NaN,raw_direction_conflict,1,0,-0.00130187548214111,NaN,803,822,6144.3591682243,849,6136.35997766972,6166.01241121495,6122.70592523364,-0.00704816967817718,-0.00480901295159575,0.0022300683068579,0,-0.0116946577507546,0.0103927822686135,0,0,0,1.38777878078145e-17,positive_raw_change_provisional,1,1,0.0224338469334544,0.0224338469334544,830,6282.20078130841,25,0,0,1,0.0237357224155955,0.52578802442578,1,0.0023861244445631,0.0200477224888913,0,-3.12250225675825e-17,0.0165258787449407
FB2316-baseline,26,additional,selection,848,861,resolved,821,788,852,801,820,6147.83115887851,-0.0097330404202941,provisional_valid,36.1553391246641,44.3132638502317,44.3132638502317,pulse,resolved,NaN,NaN,1,0.02,7,quadratic,25,823,1,0,-2,1,0.0164644041359256,-1.61932313759193,0,0,0,1,0,0,NaN,raw_direction_conflict,1,0,-0.0097330404202941,NaN,801,820,6147.83115887851,849,6087.994069712,6159.09631775701,6136.566,-0.00366475870510427,-0.0115442662976419,-0.00791516465202224,0,-0.0122528036762222,0.00251976325592803,0,0,0,3.98986399474666e-17,positive_raw_change_provisional,1,1,0.0218564269182724,0.0218564269182724,830,6282.20078130841,27,0,0,1,0.0315894673385665,0.127551020408163,1,0.00182002639046308,0.0200364005278093,0,-3.46944695195361e-17,0.0165165457468358
FB2316-baseline,26,additional,selection,848,861,resolved,825,788,852,805,824,6151.13321565898,-0.000190994029006242,provisional_valid,39.2412446547498,194.869421098816,194.869421098816,pulse,resolved,NaN,NaN,1,0.1,7,quadratic,25,823,1,0,2,1,0.0823220206796282,-7.68134306397794,0.000512544246639601,-0.051244635374903,2,1,0,0,NaN,raw_direction_conflict,1,0,-0.000190994029006242,NaN,805,824,6151.13321565898,849,6149.95838594316,6157.82672897196,6144.43970234599,-0.00217635127652528,-0.00127777921905148,0.000898158963960505,0,-0.0122770546314883,0.012598506956231,-0.00051244635374903,0.000512544246639601,2,1.31838984174237e-16,positive_raw_change_provisional,1,1,0.101410451324318,0.101410451324318,830,6774.92241121495,23,0,0,1,0.101601445353324,0.127551020408163,1,0.00179542992212078,0.100179542992212,-0.000564521590015188,-5.55111512312578e-17,0.0125392103998382
FB2316-baseline,27,additional,selection,988,997,resolved,964,928,992,944,963,5847.92667981775,-0.00760860800640517,provisional_valid,-4.22240040733397,14.6515431420682,14.6515431420682,pulse,resolved,NaN,NaN,1,0.02,7,gamma,25,963,1,0,1,1,0.0131976876200706,-1.31276817208993,0.00033160876190852,-0.032908568082779,1,1,0,0,NaN,raw_direction_conflict,1,0,-0.00760860800640517,NaN,944,963,5847.92667981775,991,5803.43209806082,5876.96639701307,5818.88696262244,-0.00993162834805615,-0.0125122884809451,-0.00265598295015701,0,-0.0108168975359433,0.00353737521036586,-0.00032908568082779,0.00033160876190852,1,3.64291929955129e-17,positive_raw_change_provisional,1,1,0.0165055768317306,0.0165055768317306,972,5944.45008293781,24,0,0,1,0.0241141848381358,0.178802852654589,0.930627225044365,-0.00173754537277726,0.0185802043603142,-0.00033708215580619,-1.38777878078145e-16,0.00874261268454829
FB2316-baseline,27,additional,selection,988,997,resolved,963,928,992,943,962,5853.10600497822,-0.00301352461161342,provisional_valid,-4.59884676773475,17.6971892165361,17.6971892165361,pulse,resolved,NaN,NaN,1,0.02,7,exponential,25,963,1,0,0,1,0.0182900047630932,-1.82019312990471,0,0,0,1,0,0,NaN,raw_direction_conflict,1,0,-0.00301352461161342,NaN,943,962,5853.10600497822,991,5835.46752597784,5876.44863098942,5829.76337896702,-0.00797615009581151,-0.00697378767091938,0.000978452578606737,0,-0.0120198336129322,0.00900630900131884,0,0,0,-1.38777878078145e-17,positive_raw_change_provisional,1,1,0.0169894467819536,0.0169894467819536,972,5952.54703795893,25,0,0,1,0.020002971393567,0.455794018328017,1,-0.00295152276279065,0.0199409695447443,0,-5.20417042793042e-17,0.00873198087717189
