Cohort,Kind,Status,Count
additional,control,onset_unresolved,180
additional,control,positive_raw_change_provisional,13
additional,recipe,construction_unavailable,360
additional,recipe,onset_unresolved,5321
additional,recipe,positive_raw_change_provisional,1267
development,control,onset_unresolved,108
development,control,positive_raw_change_provisional,7
development,recipe,construction_unavailable,288
development,recipe,onset_unresolved,2621
development,recipe,positive_raw_change_provisional,1231
noiseless,control,onset_unresolved,1
noiseless,recipe,positive_raw_change_provisional,36
