EventIndex,EventType,EventRow,SiteRow,NativeStartFrame,NativeEndFrame,NativeVolume,ProductionAmplitude,ProductionBaselineStatus
1,surge,1,1,101,117,68875,0.0549522667116952,valid
2,surge,2,2,104,114,84523,NaN,insufficient_clean_prebaseline
3,surge,3,2,204,217,89582,NaN,insufficient_clean_prebaseline
4,surge,4,2,405,435,216150,0.133864332614283,valid
5,surge,5,3,121,251,955156,NaN,insufficient_clean_prebaseline
6,surge,6,4,121,143,112709,NaN,insufficient_clean_prebaseline
7,surge,7,5,153,166,37163,NaN,insufficient_clean_prebaseline
8,surge,8,6,179,190,36239,0.0303436145806915,valid
9,surge,9,7,192,212,47186,NaN,insufficient_clean_prebaseline
10,surge,10,8,203,213,32204,0.0175602928649829,valid
11,surge,11,9,236,248,82780,NaN,insufficient_clean_prebaseline
12,surge,12,9,253,271,101596,NaN,insufficient_clean_prebaseline
13,surge,13,9,504,522,86437,0.125517650547826,valid
14,surge,14,9,873,886,47012,-0.00647811270793556,valid
15,surge,15,10,253,270,93944,NaN,insufficient_clean_prebaseline
16,surge,16,11,263,310,162394,0.0420782230158771,valid
17,surge,17,12,303,318,40775,0.0368633478632178,valid
18,surge,18,13,306,333,127218,NaN,insufficient_clean_prebaseline
19,surge,19,13,434,452,120645,NaN,insufficient_clean_prebaseline
20,surge,20,13,486,498,73485,NaN,insufficient_clean_prebaseline
21,surge,21,14,312,333,69887,NaN,insufficient_clean_prebaseline
22,surge,22,15,369,378,27646,0.0498673750504245,valid
23,surge,23,15,383,392,39510,NaN,insufficient_clean_prebaseline
24,surge,24,16,411,426,56914,NaN,insufficient_clean_prebaseline
25,surge,25,17,823,835,46902,0.00445287102983968,valid
26,surge,26,17,907,925,54179,0.00219684257040196,valid
27,surge,27,18,847,856,37653,NaN,insufficient_clean_prebaseline
28,surge,28,19,927,938,23386,NaN,insufficient_clean_prebaseline
29,surge,29,20,982,994,38016,0.0148063590785929,valid
30,surge,30,21,1019,1035,64581,-0.0038255683538493,valid
31,surge,31,22,1054,1068,47957,NaN,insufficient_clean_prebaseline
32,surge,32,23,1080,1089,45615,NaN,insufficient_clean_prebaseline
33,surge,33,24,1122,1141,66759,NaN,insufficient_clean_prebaseline
34,surge,34,25,1127,1140,37900,0.012676017556281,valid
35,sink,1,1,1,6,10284,NaN,insufficient_clean_prebaseline
36,sink,2,1,20,29,11821,NaN,insufficient_clean_prebaseline
37,sink,3,1,31,36,2930,NaN,insufficient_clean_prebaseline
38,sink,4,1,38,63,16709,NaN,insufficient_clean_prebaseline
39,sink,5,1,65,67,884,NaN,insufficient_clean_prebaseline
40,sink,6,1,278,280,528,NaN,insufficient_clean_prebaseline
41,sink,7,1,282,291,5027,NaN,insufficient_clean_prebaseline
42,sink,8,1,293,296,2156,NaN,insufficient_clean_prebaseline
43,sink,9,1,298,302,2373,NaN,insufficient_clean_prebaseline
44,sink,10,1,305,307,778,NaN,insufficient_clean_prebaseline
45,sink,11,1,310,317,5576,NaN,insufficient_clean_prebaseline
46,sink,12,1,330,365,15203,NaN,insufficient_clean_prebaseline
47,sink,13,1,376,378,1023,NaN,insufficient_clean_prebaseline
48,sink,14,1,404,418,10786,0.0477333562876601,valid
49,sink,15,1,424,436,9437,NaN,insufficient_clean_prebaseline
50,sink,16,1,504,506,363,0.03901393295287,valid
51,sink,17,1,561,565,853,0.0480957190542371,valid
52,sink,18,1,567,570,626,NaN,insufficient_clean_prebaseline
53,sink,19,1,602,688,34900,0.068630155066959,valid
54,sink,20,1,690,706,5306,NaN,insufficient_clean_prebaseline
55,sink,21,1,736,742,1516,0.057563783765208,valid
56,sink,22,1,744,746,473,NaN,insufficient_clean_prebaseline
57,sink,23,1,763,766,972,NaN,insufficient_clean_prebaseline
58,sink,24,1,774,776,428,NaN,insufficient_clean_prebaseline
59,sink,25,1,1091,1095,1607,NaN,insufficient_clean_prebaseline
60,sink,26,1,1139,1151,10055,NaN,insufficient_clean_prebaseline
61,sink,27,1,1156,1165,3511,NaN,insufficient_clean_prebaseline
62,sink,28,1,1176,1185,2979,NaN,insufficient_clean_prebaseline
63,sink,29,2,1,7,2557,NaN,insufficient_clean_prebaseline
64,sink,30,2,20,27,2386,NaN,insufficient_clean_prebaseline
65,sink,31,2,1162,1171,3535,0.0244720948179129,valid
66,sink,32,2,1173,1178,2305,NaN,insufficient_clean_prebaseline
67,sink,33,2,1182,1200,6961,NaN,insufficient_clean_prebaseline
68,sink,34,3,3,8,923,NaN,insufficient_clean_prebaseline
69,sink,35,3,161,175,7781,NaN,insufficient_clean_prebaseline
70,sink,36,3,178,183,2112,NaN,insufficient_clean_prebaseline
71,sink,37,3,197,206,2851,NaN,insufficient_clean_prebaseline
72,sink,38,3,215,217,541,NaN,insufficient_clean_prebaseline
73,sink,39,3,274,305,28233,NaN,insufficient_clean_prebaseline
74,sink,40,3,334,338,1792,NaN,insufficient_clean_prebaseline
75,sink,41,3,370,372,656,0.114995120460512,valid
76,sink,42,3,389,423,34067,NaN,insufficient_clean_prebaseline
77,sink,43,3,464,476,8781,NaN,insufficient_clean_prebaseline
78,sink,44,3,502,506,678,NaN,insufficient_clean_prebaseline
79,sink,45,3,509,512,1645,NaN,insufficient_clean_prebaseline
80,sink,46,3,530,537,4705,NaN,insufficient_clean_prebaseline
81,sink,47,3,551,553,1827,0.059258131711879,valid
82,sink,48,3,564,568,1487,NaN,insufficient_clean_prebaseline
83,sink,49,3,583,662,68350,NaN,insufficient_clean_prebaseline
84,sink,50,3,673,683,4882,NaN,insufficient_clean_prebaseline
85,sink,51,3,687,706,10866,NaN,insufficient_clean_prebaseline
86,sink,52,3,727,768,20117,0.0579186932525383,valid
87,sink,53,3,770,773,1221,NaN,insufficient_clean_prebaseline
88,sink,54,3,782,784,485,NaN,insufficient_clean_prebaseline
89,sink,55,3,786,792,5033,NaN,insufficient_clean_prebaseline
90,sink,56,3,796,801,3481,NaN,insufficient_clean_prebaseline
91,sink,57,3,1016,1032,5974,0.150464188683014,valid
92,sink,58,3,1074,1121,16806,NaN,insufficient_clean_prebaseline
93,sink,59,3,1159,1163,1814,NaN,insufficient_clean_prebaseline
94,sink,60,3,1171,1173,547,0.0328613362684154,valid
95,sink,61,3,1185,1188,1038,0.0435655025750674,valid
96,sink,62,3,1191,1195,1105,NaN,insufficient_clean_prebaseline
97,sink,63,3,1197,1199,673,NaN,insufficient_clean_prebaseline
98,sink,64,4,20,22,553,NaN,insufficient_clean_prebaseline
99,sink,65,4,274,278,1406,NaN,insufficient_clean_prebaseline
100,sink,66,5,65,68,1031,NaN,insufficient_clean_prebaseline
101,sink,67,5,1112,1129,3836,NaN,insufficient_clean_prebaseline
102,sink,68,5,1146,1148,1513,NaN,insufficient_clean_prebaseline
103,sink,69,6,36,39,745,0.171241761243228,valid
104,sink,70,6,43,82,33334,NaN,insufficient_clean_prebaseline
105,sink,71,6,1108,1120,5051,NaN,insufficient_clean_prebaseline
106,sink,72,6,1127,1132,3796,NaN,insufficient_clean_prebaseline
107,sink,73,6,1144,1146,852,NaN,insufficient_clean_prebaseline
108,sink,74,7,47,50,1721,0.0460533255705051,valid
109,sink,75,7,99,102,1008,0.0641665062117489,valid
110,sink,76,7,373,375,2176,0.121068403509366,valid
111,sink,77,8,68,103,18938,0.05406416473447,valid
112,sink,78,8,482,484,587,0.104719155703595,valid
113,sink,79,8,553,556,1119,0.0660160569062263,valid
114,sink,80,8,559,580,16916,NaN,insufficient_clean_prebaseline
115,sink,81,8,661,775,88247,0.0999953268255871,valid
116,sink,82,8,1038,1058,5947,0.0471753171791578,valid
117,sink,83,8,1062,1074,4790,NaN,insufficient_clean_prebaseline
118,sink,84,8,1089,1107,6725,NaN,insufficient_clean_prebaseline
119,sink,85,8,1114,1123,5456,NaN,insufficient_clean_prebaseline
120,sink,86,8,1154,1156,970,0.0481181655862728,valid
121,sink,87,8,1159,1161,445,NaN,insufficient_clean_prebaseline
122,sink,88,8,1164,1178,6688,NaN,insufficient_clean_prebaseline
123,sink,89,8,1181,1184,903,NaN,insufficient_clean_prebaseline
124,sink,90,9,223,230,8687,NaN,insufficient_clean_prebaseline
125,sink,91,10,83,85,695,-0.00863667550705425,valid
126,sink,92,10,528,531,8356,NaN,insufficient_clean_prebaseline
127,sink,93,10,748,750,609,0.0258160248357442,valid
128,sink,94,10,758,760,484,NaN,insufficient_clean_prebaseline
129,sink,95,10,1163,1165,633,0.0222296859971319,valid
130,sink,96,11,90,97,1910,0.110224916348382,valid
131,sink,97,11,132,142,3212,0.0635935671566891,valid
132,sink,98,11,471,473,908,0.165618565111973,valid
133,sink,99,11,475,480,3749,NaN,insufficient_clean_prebaseline
134,sink,100,11,545,549,3314,0.139067585121099,valid
135,sink,101,11,707,712,926,0.0541068826302082,valid
136,sink,102,11,740,749,2795,0.0363067948176999,valid
137,sink,103,11,753,755,871,NaN,insufficient_clean_prebaseline
138,sink,104,11,1083,1092,2857,0.048325057512529,valid
139,sink,105,11,1102,1108,2434,NaN,insufficient_clean_prebaseline
140,sink,106,11,1114,1121,1817,NaN,insufficient_clean_prebaseline
141,sink,107,12,703,706,1150,0.065879716855355,valid
142,sink,108,12,710,721,3745,NaN,insufficient_clean_prebaseline
143,sink,109,12,772,785,5384,0.0706438348969629,valid
144,sink,110,12,809,811,827,NaN,insufficient_clean_prebaseline
145,sink,111,13,109,111,1966,0.0780352618477307,valid
146,sink,112,13,268,272,4961,0.112712628967037,valid
147,sink,113,13,299,305,1446,NaN,insufficient_clean_prebaseline
148,sink,114,13,318,320,387,NaN,insufficient_clean_prebaseline
149,sink,115,13,331,333,1234,NaN,insufficient_clean_prebaseline
150,sink,116,13,502,506,1637,0.00865661201020717,valid
151,sink,117,13,719,735,4633,0.051863606091696,valid
152,sink,118,13,741,772,9126,NaN,insufficient_clean_prebaseline
153,sink,119,13,790,808,6251,NaN,insufficient_clean_prebaseline
154,sink,120,14,110,112,486,0.0110414606283775,valid
