AmplitudeStatus,ArithmeticValid,PositiveAmplitudeEligible,SignedRawAmplitude,ProvisionalPositiveAmplitude,ReferenceStartFrame,ReferenceEndFrame,ReferenceMean,NativePeakFrame,NativePeakValue,FirstHalfReferenceMean,SecondHalfReferenceMean,ReferenceHalfChangeFraction,FirstHalfAmplitude,SecondHalfAmplitude,PositiveAcrossReferenceHalves,ExpandedStatus,ExpandedArithmeticValid,ExpandedPositiveEligible,ExpandedSignedAmplitude,ExpandedPositiveAmplitude,ExpandedPeakFrame,ExpandedPeakValue,AddedFrameCount,AddedNeighborFrames,AddedNonfiniteFrames,PeakPrecedesNative,AmplitudeIncrease,EventIndex,OnsetStatus,SelectedModel,OnsetFrame,RisingScore,PulseScore,SelectedScore,FitStartFrame,FitEndFrame,OraclePositiveReferenceFraction,OracleNegativeReferenceFraction,OracleSourceAtPeak,OraclePositiveAtPeak,OracleNegativeAtPeak,OracleRoundingAtPeak,OracleReferenceEffect,DecompositionResidual,StrongestPositiveComponentAtPeak
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,1,no_model_evidence,none,NaN,14.0436436850495,-0.800386430234933,NaN,75,105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,2,insufficient_clean_context,none,NaN,NaN,NaN,NaN,86,108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,3,insufficient_clean_context,none,NaN,NaN,NaN,NaN,204,208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
positive_raw_change_provisional,1,1,0.134551846403658,0.134551846403658,384,403,6104.24271686382,418,6925.57984531392,6103.94598119503,6104.53945253261,9.72227621192824e-05,0.134607001216947,0.134496696952411,1,positive_raw_change_provisional,1,1,0.134551846403658,0.134551846403658,418,6925.57984531392,1,0,0,0,0,4,resolved,rising,404,53.5136891385558,43.7157669481049,53.5136891385558,345,409,0.000875997975997266,0,0.00246527647507322,0.133079971345814,0,4.25202327959243e-07,-0.000993826619557492,-8.67361737988404e-19,4
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,5,insufficient_clean_context,none,NaN,NaN,NaN,NaN,118,125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,6,insufficient_clean_context,none,NaN,NaN,NaN,NaN,115,125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,7,insufficient_clean_context,none,NaN,NaN,NaN,NaN,145,157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,8,no_model_evidence,none,NaN,1.0178124738371,-8.23904751024285,NaN,119,183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,9,insufficient_clean_context,none,NaN,NaN,NaN,NaN,192,196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,10,no_model_evidence,none,NaN,-8.73217803761712,-17.134625479954,NaN,154,207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,11,insufficient_clean_context,none,NaN,NaN,NaN,NaN,218,240,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,12,insufficient_clean_context,none,NaN,NaN,NaN,NaN,249,257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
positive_raw_change_provisional,1,1,0.12705549151263,0.12705549151263,483,502,5781.75354672672,508,6516.35708541097,5787.64820653048,5775.85888692295,-0.00203905606011205,0.125907597158074,0.128205728876889,1,positive_raw_change_provisional,1,1,0.12705549151263,0.12705549151263,508,6516.35708541097,1,0,0,0,0,13,resolved,rising,503,187.841225277843,173.931769107036,187.841225277843,444,508,0.000683390272972208,0,-0.00628037619722055,0.13410613217869,0,5.01105063656703e-08,-0.000770314579346287,4.53196508098941e-17,5
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,14,no_model_evidence,none,NaN,6.64505625102188,-17.0111274913213,NaN,813,877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,15,insufficient_clean_context,none,NaN,NaN,NaN,NaN,252,257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
positive_raw_change_provisional,1,1,0.0835192940318998,0.0835192940318998,205,224,3799.3962187711,309,4116.71910871033,3776.74904022379,3822.04339731841,0.011921461855136,0.0900165896292648,0.0770989967300382,1,positive_raw_change_provisional,1,1,0.0835192940318998,0.0835192940318998,309,4116.71910871033,38,0,0,0,0,16,resolved,pulse,225,23.8207880798447,13.6909114765125,13.6909114765125,203,267,0,0,0.0835192940318998,0,0,0,0,0,0
