EventIndex,Component,SameSign,Intersection,TruthVolume,IoU
1,1,1,0,129115,0
1,2,1,0,766360,0
1,3,1,0,129115,0
1,4,1,0,129115,0
1,5,1,0,129115,0
1,6,0,0,129115,0
2,1,1,0,129115,0
2,2,1,253,766360,0.000146402971575255
2,3,1,0,129115,0
2,4,1,0,129115,0
2,5,1,0,129115,0
2,6,0,0,129115,0
3,1,1,0,129115,0
3,2,1,0,766360,0
3,3,1,0,129115,0
3,4,1,0,129115,0
3,5,1,0,129115,0
3,6,0,0,129115,0
4,1,1,0,129115,0
4,2,1,0,766360,0
4,3,1,0,129115,0
4,4,1,0,129115,0
4,5,1,0,129115,0
4,6,0,0,129115,0
5,1,1,0,129115,0
5,2,1,0,766360,0
5,3,1,0,129115,0
5,4,1,0,129115,0
5,5,1,0,129115,0
5,6,0,0,129115,0
6,1,1,0,129115,0
6,2,1,0,766360,0
6,3,1,0,129115,0
6,4,1,0,129115,0
6,5,1,0,129115,0
6,6,0,0,129115,0
7,1,1,0,129115,0
7,2,1,0,766360,0
7,3,1,0,129115,0
7,4,1,0,129115,0
7,5,1,0,129115,0
7,6,0,0,129115,0
8,1,1,0,129115,0
8,2,1,0,766360,0
8,3,1,0,129115,0
8,4,1,0,129115,0
8,5,1,0,129115,0
8,6,0,0,129115,0
9,1,1,0,129115,0
9,2,1,0,766360,0
9,3,1,0,129115,0
9,4,1,0,129115,0
9,5,1,0,129115,0
9,6,0,0,129115,0
10,1,1,0,129115,0
10,2,1,0,766360,0
10,3,1,0,129115,0
10,4,1,0,129115,0
10,5,1,0,129115,0
10,6,0,0,129115,0
11,1,1,0,129115,0
11,2,1,0,766360,0
11,3,1,0,129115,0
11,4,1,0,129115,0
11,5,1,0,129115,0
11,6,0,0,129115,0
12,1,1,0,129115,0
12,2,1,0,766360,0
12,3,1,0,129115,0
12,4,1,0,129115,0
12,5,1,0,129115,0
12,6,0,0,129115,0
13,1,1,0,129115,0
13,2,1,0,766360,0
13,3,1,0,129115,0
13,4,1,0,129115,0
13,5,1,0,129115,0
13,6,0,0,129115,0
14,1,1,0,129115,0
14,2,1,0,766360,0
14,3,1,0,129115,0
14,4,1,0,129115,0
14,5,1,0,129115,0
14,6,0,0,129115,0
15,1,1,0,129115,0
15,2,1,0,766360,0
15,3,1,0,129115,0
15,4,1,0,129115,0
15,5,1,0,129115,0
15,6,0,0,129115,0
16,1,1,0,129115,0
16,2,1,0,766360,0
16,3,1,0,129115,0
16,4,1,0,129115,0
16,5,1,0,129115,0
16,6,0,0,129115,0
17,1,1,0,129115,0
17,2,1,0,766360,0
17,3,1,0,129115,0
17,4,1,0,129115,0
17,5,1,0,129115,0
17,6,0,0,129115,0
18,1,1,0,129115,0
18,2,1,0,766360,0
18,3,1,0,129115,0
18,4,1,0,129115,0
18,5,1,0,129115,0
18,6,0,0,129115,0
19,1,1,0,129115,0
19,2,1,0,766360,0
19,3,1,0,129115,0
19,4,1,0,129115,0
19,5,1,0,129115,0
19,6,0,0,129115,0
20,1,1,0,129115,0
20,2,1,0,766360,0
20,3,1,0,129115,0
20,4,1,0,129115,0
20,5,1,0,129115,0
20,6,0,0,129115,0
21,1,1,0,129115,0
21,2,1,0,766360,0
21,3,1,0,129115,0
21,4,1,0,129115,0
21,5,1,0,129115,0
21,6,0,0,129115,0
22,1,1,0,129115,0
22,2,1,0,766360,0
22,3,1,0,129115,0
22,4,1,0,129115,0
22,5,1,0,129115,0
22,6,0,0,129115,0
23,1,1,0,129115,0
23,2,1,0,766360,0
23,3,1,0,129115,0
23,4,1,0,129115,0
23,5,1,0,129115,0
23,6,0,0,129115,0
24,1,1,0,129115,0
24,2,1,0,766360,0
24,3,1,0,129115,0
24,4,1,0,129115,0
24,5,1,0,129115,0
24,6,0,0,129115,0
25,1,1,0,129115,0
25,2,1,0,766360,0
25,3,1,0,129115,0
25,4,1,0,129115,0
25,5,1,0,129115,0
25,6,0,0,129115,0
26,1,1,0,129115,0
26,2,1,0,766360,0
26,3,1,0,129115,0
26,4,1,0,129115,0
26,5,1,0,129115,0
26,6,0,0,129115,0
27,1,1,0,129115,0
27,2,1,0,766360,0
27,3,1,0,129115,0
27,4,1,0,129115,0
27,5,1,0,129115,0
27,6,0,0,129115,0
28,1,1,0,129115,0
28,2,1,0,766360,0
28,3,1,0,129115,0
28,4,1,0,129115,0
