EventIndex,EventType,EventRow,SiteRow,NativeStartFrame,NativeEndFrame,NativeVolume,ProductionAmplitude,ProductionBaselineStatus
1,surge,1,1,3,14,11652,NaN,insufficient_clean_prebaseline
2,surge,2,2,7,18,10548,NaN,insufficient_clean_prebaseline
3,surge,3,3,55,71,32043,NaN,insufficient_clean_prebaseline
4,surge,4,4,58,67,19922,NaN,insufficient_clean_prebaseline
5,surge,5,5,59,74,12857,0.0607800795074917,valid
6,surge,6,6,60,69,8700,0.0451088706680868,valid
7,surge,7,7,65,83,88266,NaN,insufficient_clean_prebaseline
8,surge,8,7,210,219,53961,NaN,insufficient_clean_prebaseline
9,surge,9,8,66,76,38931,0.0287892505588654,valid
10,surge,10,9,72,87,174984,NaN,insufficient_clean_prebaseline
11,surge,11,10,104,124,49968,NaN,insufficient_clean_prebaseline
12,surge,12,11,106,115,10351,0.0240464177353648,valid
13,surge,13,12,106,116,43898,NaN,insufficient_clean_prebaseline
14,surge,14,12,132,145,35987,NaN,insufficient_clean_prebaseline
15,surge,15,13,133,145,15867,NaN,insufficient_clean_prebaseline
16,surge,16,14,144,155,21854,0.0217036423940494,valid
17,surge,17,15,160,169,13718,NaN,insufficient_clean_prebaseline
18,surge,18,15,363,385,18817,0.0504826248113657,valid
19,surge,19,16,166,179,11140,0.0112087449080243,valid
20,surge,20,17,170,186,21336,0.00884478665055435,valid
21,surge,21,17,197,206,17730,NaN,insufficient_clean_prebaseline
22,surge,22,17,324,334,18904,0.0372628489570595,valid
23,surge,23,17,534,543,20596,NaN,insufficient_clean_prebaseline
24,surge,24,18,174,185,9530,0.127479459852332,valid
25,surge,25,18,446,456,8691,0.10900073004724,valid
26,surge,26,19,196,205,10710,0.0534623371801349,valid
27,surge,27,20,209,219,23094,NaN,insufficient_clean_prebaseline
28,surge,28,21,215,226,15565,NaN,insufficient_clean_prebaseline
29,surge,29,21,504,526,27922,NaN,insufficient_clean_prebaseline
30,surge,30,22,241,254,15605,0.0560333995984284,valid
31,surge,31,23,241,252,19076,0.0477430414033879,valid
32,surge,32,24,242,253,14250,0.028930519885022,valid
33,surge,33,25,243,253,11914,0.101863440357339,valid
34,surge,34,26,245,254,14160,NaN,insufficient_clean_prebaseline
35,surge,35,27,284,294,19604,NaN,insufficient_clean_prebaseline
36,surge,36,28,301,310,9942,0.0306648298382569,valid
37,surge,37,29,320,332,8048,0.0366775945273948,valid
38,surge,38,30,325,338,13131,0.0406271330938323,valid
39,surge,39,31,331,347,14972,0.0580649480739863,valid
40,surge,40,32,374,387,16630,0.0307691816596909,valid
41,surge,41,33,382,393,10656,0.0062717013944422,valid
42,surge,42,34,390,400,14487,0.0223990215693465,valid
43,surge,43,35,405,433,69423,NaN,insufficient_clean_prebaseline
44,surge,44,36,411,422,63986,NaN,insufficient_clean_prebaseline
45,surge,45,37,439,449,19399,NaN,insufficient_clean_prebaseline
46,surge,46,38,440,453,29179,0.0308450348963409,valid
47,surge,47,38,533,544,28824,0.0524601018707123,valid
48,surge,48,39,447,456,5336,0.0209935360502079,valid
49,surge,49,40,468,478,7179,0.0227086854588081,valid
50,surge,50,41,559,569,7296,0.0378299763908454,valid
51,surge,51,42,580,600,19722,NaN,insufficient_clean_prebaseline
52,surge,52,43,590,600,7214,0.00670899457192478,valid
53,sink,1,1,5,8,967,NaN,insufficient_clean_prebaseline
54,sink,2,1,436,440,3080,0.0528856748958326,valid
55,sink,3,1,578,600,7818,0.0831861446828911,valid
56,sink,4,2,2,8,3690,NaN,insufficient_clean_prebaseline
57,sink,5,2,35,39,833,0.0529562415663814,valid
58,sink,6,2,287,289,672,0.0746025662547947,valid
59,sink,7,3,4,16,3900,NaN,insufficient_clean_prebaseline
60,sink,8,3,244,256,6975,0.0597753752752225,valid
61,sink,9,3,457,461,1706,0.113069113800594,valid
62,sink,10,4,5,15,4331,NaN,insufficient_clean_prebaseline
63,sink,11,4,18,46,35706,NaN,insufficient_clean_prebaseline
64,sink,12,4,209,214,2030,0.0808083349151498,valid
65,sink,13,4,219,227,4746,NaN,insufficient_clean_prebaseline
66,sink,14,4,237,239,817,NaN,insufficient_clean_prebaseline
67,sink,15,4,252,296,33273,NaN,insufficient_clean_prebaseline
68,sink,16,4,298,332,24143,NaN,insufficient_clean_prebaseline
69,sink,17,4,335,338,914,NaN,insufficient_clean_prebaseline
70,sink,18,4,340,355,9881,NaN,insufficient_clean_prebaseline
71,sink,19,4,405,408,745,0.173513199080358,valid
