AmplitudeStatus,ArithmeticValid,PositiveAmplitudeEligible,SignedRawAmplitude,ProvisionalPositiveAmplitude,ReferenceStartFrame,ReferenceEndFrame,ReferenceMean,NativePeakFrame,NativePeakValue,FirstHalfReferenceMean,SecondHalfReferenceMean,ReferenceHalfChangeFraction,FirstHalfAmplitude,SecondHalfAmplitude,PositiveAcrossReferenceHalves,ExpandedStatus,ExpandedArithmeticValid,ExpandedPositiveEligible,ExpandedSignedAmplitude,ExpandedPositiveAmplitude,ExpandedPeakFrame,ExpandedPeakValue,AddedFrameCount,AddedNeighborFrames,AddedNonfiniteFrames,PeakPrecedesNative,AmplitudeIncrease,EventIndex,OnsetStatus,SelectedModel,OnsetFrame,RisingScore,PulseScore,SelectedScore,FitStartFrame,FitEndFrame,OraclePositiveReferenceFraction,OracleNegativeReferenceFraction,OracleSourceAtPeak,OraclePositiveAtPeak,OracleNegativeAtPeak,OracleRoundingAtPeak,OracleReferenceEffect,DecompositionResidual,StrongestPositiveComponentAtPeak
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,1,insufficient_clean_context,none,NaN,NaN,NaN,NaN,1,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,2,insufficient_clean_context,none,NaN,NaN,NaN,NaN,1,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,3,insufficient_clean_context,none,NaN,NaN,NaN,NaN,52,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,4,insufficient_clean_context,none,NaN,NaN,NaN,NaN,40,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
positive_raw_change_provisional,1,1,0.18243942953344,0.18243942953344,25,44,47.3288148148148,73,55.9634567901235,47.4757530864198,47.1818765432099,-0.00620925210909559,0.178779759180515,0.186121894470884,1,positive_raw_change_provisional,1,1,0.198622508043282,0.198622508043282,58,56.7293827160494,14,0,0,1,0.0161830785098422,5,resolved,pulse,45,31.8242458437523,50.6273147337364,50.6273147337364,1,63,0,0,0.198622508043282,0,0,0,0,0,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,6,no_model_evidence,none,NaN,-1.13465570978545,-0.861994854581571,NaN,1,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,7,insufficient_clean_context,none,NaN,NaN,NaN,NaN,59,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,8,insufficient_clean_context,none,NaN,NaN,NaN,NaN,209,214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
positive_raw_change_provisional,1,1,0.0751182964728347,0.0751182964728347,18,37,73.3809965976751,70,78.8932520555713,73.1093847462433,73.6526084491069,0.00740278448168218,0.0791125151634551,0.0711535370819301,1,positive_raw_change_provisional,1,1,0.0775331508798136,0.0775331508798136,63,79.0704564785937,28,0,0,1,0.00241485440697886,9,resolved,rising,38,19.9943726665302,6.23872274655882,19.9943726665302,9,70,0,0,0.0775331508798136,0,0,0,0,0,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,10,insufficient_clean_context,none,NaN,NaN,NaN,NaN,72,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,11,insufficient_clean_context,none,NaN,NaN,NaN,NaN,86,108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,12,no_model_evidence,none,NaN,-0.583966162723141,-20.218510691758,NaN,68,110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,13,insufficient_clean_context,none,NaN,NaN,NaN,NaN,99,110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,14,insufficient_clean_context,none,NaN,NaN,NaN,NaN,129,136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,15,insufficient_clean_context,none,NaN,NaN,NaN,NaN,131,137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,16,no_model_evidence,none,NaN,-5.94622588155423,-16.5820065199718,NaN,116,148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,17,insufficient_clean_context,none,NaN,NaN,NaN,NaN,156,164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,18,no_model_evidence,none,NaN,1.17260044920649,-6.69403102592902,NaN,341,367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,19,no_model_evidence,none,NaN,-7.82149802921768,-20.6937213946391,NaN,106,170,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,20,no_model_evidence,none,NaN,-0.974439234744162,-13.564272984276,NaN,110,174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,21,insufficient_clean_context,none,NaN,NaN,NaN,NaN,194,201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,22,no_model_evidence,none,NaN,1.67752086458303,-9.84713267064631,NaN,297,328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,23,insufficient_clean_context,none,NaN,NaN,NaN,NaN,531,538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,24,no_model_evidence,none,NaN,-5.40071363053733,-17.3110822371539,NaN,114,178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
positive_raw_change_provisional,1,1,0.129683104572591,0.129683104572591,387,406,40.6010092514718,449,45.8662741799832,42.6101766190076,38.5918418839361,-0.0989713016783154,0.0764159602080392,0.188496634027595,1,positive_raw_change_provisional,1,1,0.129683104572591,0.129683104572591,449,45.8662741799832,39,0,0,0,0,25,resolved,rising,407,12.7799865522807,-1.12946961852612,12.7799865522807,386,450,0,0,0.129683104572591,0,0,0,0,0,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,26,no_model_evidence,none,NaN,-7.33788120247592,-15.5038960754794,NaN,136,200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,27,insufficient_clean_context,none,NaN,NaN,NaN,NaN,206,213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
