RecordingID,EventType,SiteID,EventID,EventRow,StartFrame,EndFrame,DetectedStartFrame,DetectedEndFrame,FootprintPixels,BaselineWindowFrames,CleanBaselineFrames,TruncatedBaseline,OverlapExcludedFrames,NonfiniteBaselineFrames,StoredBaseline,RecomputedBaseline,StoredStatus,RecomputedStatus,StoredAmplitude,RecomputedAmplitude,AbsDifference,MeasurementMatches,WrongDirection,Condition,SourceRawSHA256
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/challenge,sink,1,1,1,5,8,5,8,417,20,4,1,0,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,3cbc608c1a7a3427b14f3042ce496749fa9e4c4cae378996db8663a858f64d3a
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/challenge,sink,1,2,2,431,457,436,440,1072,20,20,0,0,0,91.0069962686567,91.0069962686567,valid,valid,0.0528856748958326,0.0528856748958326,0,1,0,KnownSignal,3cbc608c1a7a3427b14f3042ce496749fa9e4c4cae378996db8663a858f64d3a
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/challenge,sink,1,3,3,578,600,578,600,905,20,20,0,0,0,89.4293370165746,89.4293370165746,valid,valid,0.0831861446828911,0.0831861446828911,0,1,0,KnownSignal,3cbc608c1a7a3427b14f3042ce496749fa9e4c4cae378996db8663a858f64d3a
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/challenge,sink,2,1,4,2,8,2,8,775,20,1,1,0,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,3cbc608c1a7a3427b14f3042ce496749fa9e4c4cae378996db8663a858f64d3a
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/challenge,sink,2,2,5,31,44,35,39,229,20,20,0,0,0,95.1432314410481,95.1432314410481,valid,valid,0.0529562415663814,0.0529562415663814,0,1,0,KnownSignal,3cbc608c1a7a3427b14f3042ce496749fa9e4c4cae378996db8663a858f64d3a
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/challenge,sink,2,3,6,277,291,287,289,313,20,20,0,0,0,100.866773162939,100.866773162939,valid,valid,0.0746025662547947,0.0746025662547947,0,1,0,KnownSignal,3cbc608c1a7a3427b14f3042ce496749fa9e4c4cae378996db8663a858f64d3a
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/challenge,sink,3,1,7,4,17,4,16,634,20,3,1,0,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,3cbc608c1a7a3427b14f3042ce496749fa9e4c4cae378996db8663a858f64d3a
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/challenge,sink,3,2,8,242,257,244,256,836,20,20,0,0,0,96.8388157894737,96.8388157894737,valid,valid,0.0597753752752225,0.0597753752752225,0,1,0,KnownSignal,3cbc608c1a7a3427b14f3042ce496749fa9e4c4cae378996db8663a858f64d3a
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/challenge,sink,3,3,9,456,461,457,461,453,20,20,0,0,0,99.5894039735099,99.5894039735099,valid,valid,0.113069113800594,0.113069113800594,0,1,0,KnownSignal,3cbc608c1a7a3427b14f3042ce496749fa9e4c4cae378996db8663a858f64d3a
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/challenge,sink,4,1,10,5,15,5,15,788,20,4,1,0,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,3cbc608c1a7a3427b14f3042ce496749fa9e4c4cae378996db8663a858f64d3a
