EventIndex,EventType,EventRow,SiteRow,NativeStartFrame,NativeEndFrame,NativeVolume,ProductionAmplitude,ProductionBaselineStatus
1,surge,1,1,3,14,11744,NaN,insufficient_clean_prebaseline
2,surge,2,2,7,18,10636,NaN,insufficient_clean_prebaseline
3,surge,3,3,55,71,32155,NaN,insufficient_clean_prebaseline
4,surge,4,4,58,67,19927,NaN,insufficient_clean_prebaseline
5,surge,5,5,59,74,12862,0.0607340136691323,valid
6,surge,6,6,60,69,8697,0.045385602613464,valid
7,surge,7,7,65,83,88298,NaN,insufficient_clean_prebaseline
8,surge,8,7,210,219,55207,NaN,insufficient_clean_prebaseline
9,surge,9,8,66,76,38910,0.0287570751746963,valid
10,surge,10,9,72,87,174945,NaN,insufficient_clean_prebaseline
11,surge,11,10,106,116,11431,0.0220465915530721,valid
12,surge,12,11,106,115,41353,NaN,insufficient_clean_prebaseline
13,surge,13,11,128,145,43910,NaN,insufficient_clean_prebaseline
14,surge,14,12,133,145,15731,NaN,insufficient_clean_prebaseline
15,surge,15,13,139,150,12732,0.0177495394798463,valid
16,surge,16,14,140,156,24992,0.0179388168151243,valid
17,surge,17,15,144,155,21398,0.0222899334339045,valid
18,surge,18,16,160,169,13608,NaN,insufficient_clean_prebaseline
19,surge,19,17,166,179,11101,NaN,insufficient_clean_prebaseline
20,surge,20,17,199,208,5732,NaN,insufficient_clean_prebaseline
21,surge,21,18,170,186,21227,NaN,insufficient_clean_prebaseline
22,surge,22,18,197,206,17817,NaN,insufficient_clean_prebaseline
23,surge,23,18,324,334,18631,0.0372407996936797,valid
24,surge,24,18,534,543,20581,NaN,insufficient_clean_prebaseline
25,surge,25,19,174,185,9477,0.126219293147134,valid
26,surge,26,19,277,286,6847,0.115087309265415,valid
27,surge,27,19,446,456,8531,0.101610578693233,valid
28,surge,28,20,196,205,10578,0.0546378003237795,valid
29,surge,29,21,209,219,24660,0.057250257283066,valid
30,surge,30,22,241,251,16738,0.0363291434962973,valid
31,surge,31,23,241,254,15846,0.055435188900879,valid
32,surge,32,24,241,252,19616,0.0477309663707963,valid
33,surge,33,25,242,253,15001,0.02749836896287,valid
34,surge,34,26,243,253,12797,0.0966886394741181,valid
35,surge,35,26,331,347,14590,0.0583974156091084,valid
36,surge,36,27,245,254,14728,NaN,insufficient_clean_prebaseline
37,surge,37,28,284,294,19345,NaN,insufficient_clean_prebaseline
38,surge,38,29,301,310,9880,0.0319666327593828,valid
39,surge,39,30,320,332,7897,0.0375286518405778,valid
40,surge,40,31,325,338,12668,0.0411626976728009,valid
41,surge,41,32,363,388,24624,NaN,insufficient_clean_prebaseline
42,surge,42,33,382,393,10387,NaN,insufficient_clean_prebaseline
43,surge,43,34,390,400,14027,0.0223253178586884,valid
44,surge,44,35,415,430,12582,0.0361848650516554,valid
45,surge,45,36,432,459,79446,NaN,insufficient_clean_prebaseline
46,surge,46,37,468,478,7218,0.0225232564805845,valid
47,surge,47,38,535,544,25089,0.0393792448870846,valid
48,surge,48,39,559,569,7408,0.0371144515355681,valid
49,surge,49,40,580,600,20030,NaN,insufficient_clean_prebaseline
50,surge,50,41,590,600,7351,0.00546941404601665,valid
51,sink,1,1,5,8,967,NaN,insufficient_clean_prebaseline
52,sink,2,1,436,440,3093,0.0526120470218696,valid
53,sink,3,1,578,580,1311,0.0877125509165199,valid
54,sink,4,1,582,600,6461,NaN,insufficient_clean_prebaseline
55,sink,5,2,2,8,3694,NaN,insufficient_clean_prebaseline
56,sink,6,2,35,39,833,0.0529562415663814,valid
57,sink,7,2,287,289,672,0.0746025662547947,valid
58,sink,8,3,4,16,3901,NaN,insufficient_clean_prebaseline
59,sink,9,3,244,256,6926,0.059554172681421,valid
60,sink,10,3,457,461,1704,0.113069113800594,valid
61,sink,11,4,5,15,4338,NaN,insufficient_clean_prebaseline
62,sink,12,4,18,46,35712,NaN,insufficient_clean_prebaseline
63,sink,13,4,209,214,1908,0.0815050347869701,valid
64,sink,14,4,219,227,4414,NaN,insufficient_clean_prebaseline
65,sink,15,4,237,239,820,NaN,insufficient_clean_prebaseline
66,sink,16,4,252,332,61086,NaN,insufficient_clean_prebaseline
67,sink,17,4,335,338,973,NaN,insufficient_clean_prebaseline
68,sink,18,4,340,355,10297,NaN,insufficient_clean_prebaseline
69,sink,19,4,405,408,747,0.173513199080358,valid
70,sink,20,4,482,486,1272,0.0880163783680621,valid
71,sink,21,4,504,507,1283,NaN,insufficient_clean_prebaseline
72,sink,22,4,546,549,1095,0.0721335432811552,valid
73,sink,23,4,573,575,1867,0.0714629139324449,valid
74,sink,24,4,580,600,16328,NaN,insufficient_clean_prebaseline
75,sink,25,5,12,17,1779,NaN,insufficient_clean_prebaseline
76,sink,26,5,23,33,4899,NaN,insufficient_clean_prebaseline
77,sink,27,5,81,86,1085,0.0200297548010572,valid
78,sink,28,5,90,108,7681,NaN,insufficient_clean_prebaseline
79,sink,29,6,28,30,1045,NaN,insufficient_clean_prebaseline
80,sink,30,6,125,128,2373,NaN,insufficient_clean_prebaseline
81,sink,31,7,11,13,652,NaN,insufficient_clean_prebaseline
82,sink,32,7,97,99,1236,0.0835503711040192,valid
83,sink,33,7,102,104,1122,NaN,insufficient_clean_prebaseline
84,sink,34,7,124,130,2782,NaN,insufficient_clean_prebaseline
85,sink,35,7,199,208,5221,0.0844570288021909,valid
86,sink,36,7,245,254,3210,0.0675669872456855,valid
87,sink,37,7,335,347,4421,0.086086702474324,valid
88,sink,38,7,394,399,2165,0.0977135715762003,valid
89,sink,39,7,567,570,2095,0.0680389878674268,valid
90,sink,40,8,157,160,1218,NaN,insufficient_clean_prebaseline
91,sink,41,8,164,166,602,NaN,insufficient_clean_prebaseline
92,sink,42,8,232,234,886,0.128313550939664,valid
93,sink,43,8,488,500,5462,NaN,insufficient_clean_prebaseline
94,sink,44,9,225,242,20781,NaN,insufficient_clean_prebaseline
95,sink,45,9,356,359,2769,0.145428538896311,valid
96,sink,46,9,361,371,6637,NaN,insufficient_clean_prebaseline
97,sink,47,9,454,458,1153,0.0869509588940449,valid
98,sink,48,9,470,472,613,0.0656432291266086,valid
99,sink,49,10,28,39,8283,NaN,insufficient_clean_prebaseline
100,sink,50,10,98,103,2289,0.0641619192083891,valid
101,sink,51,10,226,232,2992,0.116842287021958,valid
102,sink,52,10,241,246,4748,NaN,insufficient_clean_prebaseline
103,sink,53,10,249,254,2753,NaN,insufficient_clean_prebaseline
104,sink,54,10,394,399,3659,0.0786114553871251,valid
105,sink,55,10,448,451,892,0.0438264573439649,valid
106,sink,56,10,455,457,1056,NaN,insufficient_clean_prebaseline
107,sink,57,10,592,596,1861,0.0714568125134175,valid
108,sink,58,11,85,96,8231,NaN,insufficient_clean_prebaseline
109,sink,59,11,312,315,705,0.107800966377837,valid
110,sink,60,11,399,401,598,0.0852913129140532,valid
111,sink,61,11,472,475,1739,0.0553172926957852,valid
112,sink,62,11,533,536,1256,0.070253046009837,valid
113,sink,63,12,41,43,948,0.0521229135025378,valid
114,sink,64,12,465,471,5557,0.078199580371744,valid
115,sink,65,13,109,124,18478,0.105562169477779,valid
116,sink,66,13,126,139,10117,NaN,insufficient_clean_prebaseline
117,sink,67,13,312,324,7369,0.101659251871197,valid
118,sink,68,13,351,355,1594,0.151472089346116,valid
119,sink,69,13,365,369,599,NaN,insufficient_clean_prebaseline
120,sink,70,13,507,511,1900,0.0885473231517575,valid
121,sink,71,14,45,47,2839,NaN,insufficient_clean_prebaseline
122,sink,72,14,49,51,3567,NaN,insufficient_clean_prebaseline
123,sink,73,14,60,62,1565,NaN,insufficient_clean_prebaseline
124,sink,74,14,67,76,8114,NaN,insufficient_clean_prebaseline
125,sink,75,14,107,109,3454,NaN,insufficient_clean_prebaseline
126,sink,76,14,190,192,3156,0.109469698168145,valid
127,sink,77,14,211,219,9620,NaN,insufficient_clean_prebaseline
128,sink,78,14,292,296,3988,NaN,insufficient_clean_prebaseline
129,sink,79,14,349,358,8313,NaN,insufficient_clean_prebaseline
130,sink,80,14,404,409,5036,0.185344500499615,valid
131,sink,81,14,462,465,3771,0.148211756907409,valid
132,sink,82,14,480,485,3789,NaN,insufficient_clean_prebaseline
133,sink,83,14,502,505,1932,NaN,insufficient_clean_prebaseline
134,sink,84,14,513,515,1850,NaN,insufficient_clean_prebaseline
135,sink,85,14,546,550,5507,0.14176992129805,valid
136,sink,86,14,572,575,4218,0.0973758006052504,valid
137,sink,87,15,57,76,9539,0.108453369337076,valid
138,sink,88,15,79,81,514,NaN,insufficient_clean_prebaseline
139,sink,89,15,106,108,977,0.109396076859148,valid
140,sink,90,15,189,191,704,0.0919457803715657,valid
141,sink,91,15,405,412,6832,0.157002381682269,valid
142,sink,92,15,423,426,707,NaN,insufficient_clean_prebaseline
143,sink,93,15,461,464,1297,0.0975436163357084,valid
144,sink,94,15,479,482,1793,NaN,insufficient_clean_prebaseline
145,sink,95,15,512,514,843,0.0837947526602576,valid
146,sink,96,15,546,548,1256,0.130011460725162,valid
147,sink,97,16,49,55,2719,NaN,insufficient_clean_prebaseline
148,sink,98,16,234,240,3484,NaN,insufficient_clean_prebaseline
149,sink,99,17,51,53,791,0.0802232037341982,valid
150,sink,100,17,55,57,1316,NaN,insufficient_clean_prebaseline
151,sink,101,17,59,63,3715,NaN,insufficient_clean_prebaseline
152,sink,102,17,70,80,4926,NaN,insufficient_clean_prebaseline
153,sink,103,17,82,84,664,NaN,insufficient_clean_prebaseline
154,sink,104,17,301,304,921,0.0850990218686261,valid
155,sink,105,17,360,371,2929,0.155808579292795,valid
156,sink,106,17,478,486,6219,NaN,insufficient_clean_prebaseline
157,sink,107,17,488,519,10534,NaN,insufficient_clean_prebaseline
158,sink,108,17,555,557,1206,0.0728605636397127,valid
159,sink,109,18,52,55,1037,0.105094380977776,valid
160,sink,110,18,62,66,1061,NaN,insufficient_clean_prebaseline
161,sink,111,18,71,78,1981,NaN,insufficient_clean_prebaseline
162,sink,112,18,113,115,1142,0.0465416751501818,valid
163,sink,113,18,263,266,1364,0.0767672415768702,valid
164,sink,114,18,297,301,1505,0.0476779228807666,valid
165,sink,115,18,324,333,3555,NaN,insufficient_clean_prebaseline
166,sink,116,18,335,340,3831,NaN,insufficient_clean_prebaseline
167,sink,117,18,483,486,1568,0.0917760732149846,valid
168,sink,118,18,537,542,1178,0.0728090886698026,valid
169,sink,119,18,556,558,1046,NaN,insufficient_clean_prebaseline
170,sink,120,19,471,478,8352,NaN,insufficient_clean_prebaseline
171,sink,121,20,54,56,1273,0.074804153945675,valid
172,sink,122,21,55,57,600,0.141646312350302,valid
173,sink,123,22,71,76,1233,0.0299099210936713,valid
174,sink,124,22,369,371,534,0.0941914914815183,valid
175,sink,125,22,488,512,6176,0.0741714091879247,valid
176,sink,126,22,515,519,983,NaN,insufficient_clean_prebaseline
177,sink,127,23,136,146,3559,0.0971542118308709,valid
178,sink,128,23,216,223,2340,NaN,insufficient_clean_prebaseline
179,sink,129,23,235,239,641,NaN,insufficient_clean_prebaseline
180,sink,130,23,245,257,3080,NaN,insufficient_clean_prebaseline
181,sink,131,23,259,268,2981,NaN,insufficient_clean_prebaseline
182,sink,132,23,275,280,2530,NaN,insufficient_clean_prebaseline
183,sink,133,23,357,368,2927,NaN,insufficient_clean_prebaseline
184,sink,134,23,373,376,499,NaN,insufficient_clean_prebaseline
185,sink,135,23,500,531,21382,0.0988866801166102,valid
186,sink,136,23,553,557,2061,NaN,insufficient_clean_prebaseline
187,sink,137,24,61,63,658,0.0628294688797336,valid
188,sink,138,25,519,545,23382,0.0901252364053499,valid
189,sink,139,25,549,551,1562,NaN,insufficient_clean_prebaseline
190,sink,140,26,94,96,474,0.0535024820739106,valid
191,sink,141,27,449,461,6770,0.0847525658198724,valid
192,sink,142,28,102,105,1062,NaN,insufficient_clean_prebaseline
193,sink,143,28,532,534,798,0.100102695636837,valid
194,sink,144,28,542,545,1828,NaN,insufficient_clean_prebaseline
195,sink,145,29,285,287,413,0.0758581846208571,valid
196,sink,146,30,120,124,2281,0.037878081268674,valid
197,sink,147,30,129,131,1118,NaN,insufficient_clean_prebaseline
198,sink,148,30,137,142,1242,NaN,insufficient_clean_prebaseline
199,sink,149,31,141,143,706,0.0484491357854662,valid
200,sink,150,32,142,145,657,0.125240504888868,valid
