RecordingID,EventType,SiteID,EventID,EventRow,StartFrame,EndFrame,DetectedStartFrame,DetectedEndFrame,FootprintPixels,BaselineWindowFrames,CleanBaselineFrames,TruncatedBaseline,OverlapExcludedFrames,NonfiniteBaselineFrames,StoredBaseline,RecomputedBaseline,StoredStatus,RecomputedStatus,StoredAmplitude,RecomputedAmplitude,AbsDifference,MeasurementMatches,WrongDirection,Condition,SourceRawSHA256
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,1,1,1,5,8,5,8,417,20,4,1,0,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,1,2,2,431,457,436,440,1072,20,20,0,0,0,90.9944962686567,90.9944962686567,valid,valid,0.0526120470218696,0.0526120470218696,0,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,1,3,3,578,580,578,580,617,20,20,0,0,0,90.182414910859,90.182414910859,valid,valid,0.0877125509165199,0.0877125509165199,0,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,1,4,4,582,600,582,600,874,20,17,0,3,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,2,1,5,2,8,2,8,776,20,1,1,0,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,2,2,6,31,44,35,39,229,20,20,0,0,0,95.1432314410481,95.1432314410481,valid,valid,0.0529562415663814,0.0529562415663814,0,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,2,3,7,277,291,287,289,313,20,20,0,0,0,100.866773162939,100.866773162939,valid,valid,0.0746025662547947,0.0746025662547947,0,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,3,1,8,4,17,4,16,634,20,3,1,0,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,3,2,9,242,257,244,256,828,20,20,0,0,0,96.8833333333333,96.8833333333333,valid,valid,0.059554172681421,0.059554172681421,0,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,3,3,10,456,461,457,461,453,20,20,0,0,0,99.5894039735099,99.5894039735099,valid,valid,0.113069113800594,0.113069113800594,0,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,4,1,11,5,15,5,15,788,20,4,1,0,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,4,2,12,17,53,18,46,3342,20,5,1,11,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,4,3,13,209,214,209,214,470,20,20,0,0,0,132.355744680851,132.355744680851,valid,valid,0.0815050347869701,0.0815050347869701,0,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,4,4,14,219,227,219,227,783,20,14,0,6,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,4,5,15,234,239,237,239,382,20,10,0,10,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,4,6,16,252,332,252,332,2447,20,3,0,17,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,4,7,17,335,338,335,338,334,20,2,0,18,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,4,8,18,340,361,340,355,1453,20,1,0,19,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,4,9,19,403,408,405,408,318,20,20,0,0,0,113.525157232704,113.525157232704,valid,valid,0.173513199080358,0.173513199080358,0,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,4,10,20,481,486,482,486,415,20,20,0,0,0,104.163253012048,104.163253012048,valid,valid,0.0880163783680621,0.0880163783680621,0,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,4,11,21,503,507,504,507,466,20,16,0,4,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
