Session,Case,AmplitudeStatus,ArithmeticValid,PositiveAmplitudeEligible,SignedRawAmplitude,ProvisionalPositiveAmplitude,ReferenceStartFrame,ReferenceEndFrame,ReferenceMean,NativePeakFrame,NativePeakValue,FirstHalfReferenceMean,SecondHalfReferenceMean,ReferenceHalfChangeFraction,FirstHalfAmplitude,SecondHalfAmplitude,PositiveAcrossReferenceHalves,ExpandedStatus,ExpandedArithmeticValid,ExpandedPositiveEligible,ExpandedSignedAmplitude,ExpandedPositiveAmplitude,ExpandedPeakFrame,ExpandedPeakValue,AddedFrameCount,AddedNeighborFrames,AddedNonfiniteFrames,PeakPrecedesNative,AmplitudeIncrease,EventIndex,OnsetStatus,SelectedModel,OnsetFrame,RisingScore,PulseScore,SelectedScore,FitStartFrame,FitEndFrame,OraclePositiveReferenceFraction,OracleNegativeReferenceFraction,OracleSourceAtPeak,OraclePositiveAtPeak,OracleNegativeAtPeak,OracleRoundingAtPeak,OracleReferenceEffect,DecompositionResidual,StrongestPositiveComponentAtPeak
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,1,insufficient_clean_context,none,NaN,NaN,NaN,NaN,1,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,2,insufficient_clean_context,none,NaN,NaN,NaN,NaN,1,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,3,insufficient_clean_context,none,NaN,NaN,NaN,NaN,52,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,4,insufficient_clean_context,none,NaN,NaN,NaN,NaN,40,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,positive_raw_change_provisional,1,1,0.18274277273356,0.18274277273356,25,44,47.3045679012346,73,55.9491358024691,47.4480987654321,47.161037037037,-0.00606837227631811,0.179164966736884,0.186342356266054,1,positive_raw_change_provisional,1,1,0.199602262198989,0.199602262198989,58,56.7466666666667,14,0,0,1,0.016859489465429,5,resolved,pulse,45,31.7733300255771,50.5394265427987,50.5394265427987,1,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,6,no_model_evidence,none,NaN,-1.2021755703929,-0.971504680376654,NaN,1,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,7,insufficient_clean_context,none,NaN,NaN,NaN,NaN,59,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,8,insufficient_clean_context,none,NaN,NaN,NaN,NaN,209,214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,positive_raw_change_provisional,1,1,0.0750726447440608,0.0750726447440608,18,37,73.3811826432218,70,78.8901020986954,73.1096568349405,73.6527084515031,0.00740042061195679,0.0790654137086904,0.0711093150178024,1,positive_raw_change_provisional,1,1,0.0775558128259402,0.0775558128259402,63,79.0723199092456,28,0,0,1,0.00248316808187932,9,resolved,rising,38,19.9721075754281,6.21930639194418,19.9721075754281,9,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,10,insufficient_clean_context,none,NaN,NaN,NaN,NaN,72,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
