Session,Component,EventIndex,Frame,Source,Observed,PreNativeBlocked,NativeStart,NativeEnd,TruthStart,Onset,ReferenceMean
M400-01-baseline-awake,1,11,39,120.46835677276091,120.46835677276091,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,40,122.4061806069578,122.4061806069578,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,41,124.55773501110289,124.55773501110289,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,42,125.84437453737972,125.84437453737972,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,43,123.53978534418948,123.53978534418948,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,44,122.71946706143598,122.71946706143598,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,45,120.27627683197632,120.27627683197632,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,46,120.13860103626943,120.13860103626943,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,47,121.70669874167284,121.70669874167284,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,48,123.91654330125833,123.91654330125833,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,49,125.19245003700962,125.19245003700962,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,50,121.76813471502591,121.76813471502591,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,51,119.43837897853442,119.43837897853442,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,52,118.5618060695781,118.5618060695781,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,53,116.14248704663213,116.14248704663213,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,54,117.55051813471502,117.55051813471502,1,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,55,121.21983715766099,121.21983715766099,1,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,56,121.15840118430792,121.15840118430792,1,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,57,121.66099185788305,121.66099185788305,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,58,121.4859363434493,121.4859363434493,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,59,120.42061435973353,120.42061435973353,1,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,60,119.5379348630644,119.5379348630644,1,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,61,120.97631384159881,120.97631384159881,1,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,62,120.46428571428571,120.46428571428571,1,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,63,120.50555144337528,120.50555144337528,1,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,64,121.56310140636566,121.56310140636566,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,65,119.06883789785344,119.06883789785344,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,66,122.3839748334567,122.3839748334567,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,67,120.97631384159881,120.97631384159881,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,68,120.32457438934122,120.32457438934122,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,69,121.17320503330866,121.17320503330866,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,70,122.59918578830496,122.59918578830496,1,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,71,123.01943005181347,123.01943005181347,1,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,72,120.99740932642487,120.99740932642487,1,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,73,121.269985196151,121.269985196151,1,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,74,122.26054774241302,122.26054774241302,1,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,75,123.70614359733531,123.70614359733531,1,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,76,124.23612139156181,124.23612139156181,1,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,77,124.41968911917098,124.41968911917098,1,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,78,123.3280903034789,123.3280903034789,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,79,123.68375277572169,123.68375277572169,1,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,80,122.130088823094,122.130088823094,1,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,81,123.20059215396003,123.20059215396003,1,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,82,128.21113989637306,128.21113989637306,1,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,83,128.7098445595855,128.7098445595855,1,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,84,127.33475203552923,127.33475203552923,1,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,85,126.23353071798668,126.23353071798668,1,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,86,127.41432272390821,127.41432272390821,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,87,127.5257216876388,127.5257216876388,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,88,126.4940784603997,126.4940784603997,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,89,127.27220577350111,127.27220577350111,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,90,129.35362694300517,129.35362694300517,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,91,129.06088082901553,129.06088082901553,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,92,128.68079200592155,128.68079200592155,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,93,127.980014803849,127.980014803849,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,94,127.95669874167284,127.95669874167284,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,95,128.29755736491487,128.29755736491487,0,104,124,101,NaN,NaN
