Session,Case,Component,Label,Imposed,TruthStartFrame,TruthEndFrame,EligibleFraction,IntersectingSameSignEvents,AssignedEventIndex,AssignedIoU,AssignedEventIntersectsComponents,OnsetStatus,ExpandedStatus,OnsetErrorSec,NativeEnvelopeFraction,ExpandedEnvelopeFraction,AssignedComponentStrongestAtPeak
M400-01-baseline-awake,control,1,isolated_early,0,101,131,0.951437066402379,0,0,0,0,no_assigned_surge,no_assigned_surge,NaN,NaN,NaN,0
M400-01-baseline-awake,control,2,isolated_slow,0,201,384,0.951437066402379,0,0,0,0,no_assigned_surge,no_assigned_surge,NaN,NaN,NaN,0
M400-01-baseline-awake,control,3,target_positive_neighbor,0,401,431,0.951437066402379,1,44,0.108833046819699,2,no_model_evidence,onset_unresolved,NaN,NaN,NaN,0
M400-01-baseline-awake,control,4,positive_neighbor,0,409,439,0.950445986124876,2,45,0.0209679947626117,1,insufficient_clean_context,onset_unresolved,NaN,NaN,NaN,0
M400-01-baseline-awake,control,5,target_negative_neighbor,0,501,531,0.951437066402379,0,0,0,0,no_assigned_surge,no_assigned_surge,NaN,NaN,NaN,0
M400-01-baseline-awake,control,6,negative_neighbor,0,509,539,0.950445986124876,0,0,0,0,no_assigned_surge,no_assigned_surge,NaN,NaN,NaN,0
M400-01-baseline-awake,challenge,1,isolated_early,1,101,131,0.878097125867195,1,11,0.34263711929668,1,insufficient_clean_context,onset_unresolved,NaN,NaN,NaN,0
M400-01-baseline-awake,challenge,2,isolated_slow,1,201,384,0.878097125867195,1,28,0.0526973863184548,1,insufficient_clean_context,onset_unresolved,NaN,NaN,NaN,0
M400-01-baseline-awake,challenge,3,target_positive_neighbor,1,401,431,0.878097125867195,1,43,0.330593800375254,2,insufficient_clean_context,onset_unresolved,NaN,NaN,NaN,0
M400-01-baseline-awake,challenge,4,positive_neighbor,1,409,439,0.913776015857284,1,0,0,0,no_assigned_surge,no_assigned_surge,NaN,NaN,NaN,0
M400-01-baseline-awake,challenge,5,target_negative_neighbor,1,501,531,0.878097125867195,1,29,0.39611829072729,2,insufficient_clean_context,onset_unresolved,NaN,NaN,NaN,0
M400-01-baseline-awake,challenge,6,negative_neighbor,1,509,539,0.913776015857284,2,151,0.434488055075564,2,sink_measurement_not_evaluated,sink_measurement_not_evaluated,NaN,NaN,NaN,0
FB2316-baseline,control,1,isolated_early,0,101,131,0.999519807923169,0,0,0,0,no_assigned_surge,no_assigned_surge,NaN,NaN,NaN,0
FB2316-baseline,control,2,isolated_slow,0,201,384,0.999519807923169,1,2,0.000146402971575255,1,insufficient_clean_context,onset_unresolved,NaN,NaN,NaN,0
FB2316-baseline,control,3,target_positive_neighbor,0,401,431,0.999519807923169,0,0,0,0,no_assigned_surge,no_assigned_surge,NaN,NaN,NaN,0
FB2316-baseline,control,4,positive_neighbor,0,409,439,0.999759903961585,0,0,0,0,no_assigned_surge,no_assigned_surge,NaN,NaN,NaN,0
FB2316-baseline,control,5,target_negative_neighbor,0,501,531,0.999519807923169,0,0,0,0,no_assigned_surge,no_assigned_surge,NaN,NaN,NaN,0
FB2316-baseline,control,6,negative_neighbor,0,509,539,0.999759903961585,3,298,0.00645161290322581,1,sink_measurement_not_evaluated,sink_measurement_not_evaluated,NaN,NaN,NaN,0
FB2316-baseline,challenge,1,isolated_early,1,101,131,0.99015606242497,1,2,0.267069178212184,1,insufficient_clean_context,onset_unresolved,NaN,NaN,NaN,0
FB2316-baseline,challenge,2,isolated_slow,1,201,384,0.99015606242497,3,12,0.0986228545390107,1,insufficient_clean_context,onset_unresolved,NaN,NaN,NaN,0
FB2316-baseline,challenge,3,target_positive_neighbor,1,401,431,0.99015606242497,1,0,0,0,no_assigned_surge,no_assigned_surge,NaN,NaN,NaN,0
FB2316-baseline,challenge,4,positive_neighbor,1,409,439,0.9937575030012,1,4,0.429668737060041,2,resolved,positive_raw_change_provisional,-5,1,1,1
FB2316-baseline,challenge,5,target_negative_neighbor,1,501,531,0.99015606242497,1,13,0.431906201215664,2,resolved,positive_raw_change_provisional,2,1,1,1
FB2316-baseline,challenge,6,negative_neighbor,1,509,539,0.9937575030012,1,126,0.0647174999031871,2,sink_measurement_not_evaluated,sink_measurement_not_evaluated,NaN,NaN,NaN,0
