Status,OnsetFrame,BestCandidateFrame,FitStartFrame,FitEndFrame,ScoreImprovement,ProfileStartFrame,ProfileEndFrame,ProfileSpanSec,BaselineSlopePerSecOverFitMedian,PostSlopePerSecOverFitMedian,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,Session,Case,EventRow,TraceKind,LocalRow,IsPreselectedMatch,NativeStartFrame,NativeEndFrame,StoredAmplitude,StoredBaselineStatus,OnsetOffsetFromImposedStart,NativeBaselineImposedFraction,ProposedBaselineImposedFraction,ProposedBaselinePositiveFrames,CounterfactualPeakFraction,BaselineEffectPercentagePoints
recording_boundary_unresolved,NaN,NaN,-57,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,1,constructed,2,0,3,14,NaN,insufficient_clean_prebaseline,NaN,NaN,NaN,NaN,NaN,NaN
recording_boundary_unresolved,NaN,NaN,-57,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,1,source,2,0,3,14,NaN,insufficient_clean_prebaseline,NaN,NaN,NaN,NaN,NaN,NaN
recording_boundary_unresolved,NaN,NaN,-53,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,2,constructed,5,0,7,18,NaN,insufficient_clean_prebaseline,NaN,NaN,NaN,NaN,NaN,NaN
recording_boundary_unresolved,NaN,NaN,-53,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,2,source,5,0,7,18,NaN,insufficient_clean_prebaseline,NaN,NaN,NaN,NaN,NaN,NaN
recording_boundary_unresolved,NaN,NaN,-33,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,3,constructed,8,0,27,36,0.00879984605820161,valid,NaN,0,NaN,NaN,NaN,NaN
recording_boundary_unresolved,NaN,NaN,-33,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,3,source,8,0,27,36,0.00879984605820161,valid,NaN,NaN,NaN,NaN,NaN,NaN
recording_boundary_unresolved,NaN,NaN,-5,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,4,constructed,11,0,55,71,NaN,insufficient_clean_prebaseline,NaN,0,NaN,NaN,NaN,NaN
recording_boundary_unresolved,NaN,NaN,-5,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,4,source,11,0,55,71,NaN,insufficient_clean_prebaseline,NaN,NaN,NaN,NaN,NaN,NaN
recording_boundary_unresolved,NaN,NaN,-2,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,5,constructed,14,0,58,67,NaN,insufficient_clean_prebaseline,NaN,0,NaN,NaN,NaN,NaN
recording_boundary_unresolved,NaN,NaN,-2,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,5,source,14,0,58,67,NaN,insufficient_clean_prebaseline,NaN,NaN,NaN,NaN,NaN,NaN
