Session,EventRow,LocalRow,CachePath,NativeStartFrame,NativeEndFrame,Frames,Cohort
FB2316-baseline,1,1,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,214,223,1200,additional
FB2316-baseline,2,2,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,311,320,1200,additional
FB2316-baseline,3,3,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,429,438,1200,additional
FB2316-baseline,4,4,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,359,379,1200,additional
FB2316-baseline,5,5,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,486,500,1200,additional
FB2316-baseline,6,6,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,513,523,1200,additional
FB2316-baseline,7,7,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,1050,1068,1200,additional
FB2316-baseline,8,8,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,314,324,1200,additional
FB2316-baseline,9,9,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,1103,1119,1200,additional
FB2316-baseline,10,10,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,64,79,1200,additional
FB2316-baseline,11,11,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,1120,1141,1200,additional
FB2316-baseline,12,12,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,367,377,1200,additional
FB2316-baseline,13,13,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,382,395,1200,additional
FB2316-baseline,14,14,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,1107,1118,1200,additional
FB2316-baseline,15,15,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,105,114,1200,additional
FB2316-baseline,16,16,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,125,144,1200,additional
FB2316-baseline,17,17,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,1130,1141,1200,additional
FB2316-baseline,18,18,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,368,378,1200,additional
FB2316-baseline,19,19,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,104,125,1200,additional
FB2316-baseline,20,20,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,122,143,1200,additional
FB2316-baseline,21,21,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,168,187,1200,additional
FB2316-baseline,22,22,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,194,206,1200,additional
FB2316-baseline,23,23,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,185,195,1200,additional
FB2316-baseline,24,24,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,235,245,1200,additional
FB2316-baseline,25,25,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,208,217,1200,additional
FB2316-baseline,26,26,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,848,861,1200,additional
FB2316-baseline,27,27,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,988,997,1200,additional
FB2316-baseline,28,28,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,186,198,1200,additional
FB2316-baseline,29,29,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,242,253,1200,additional
FB2316-baseline,30,30,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,925,934,1200,additional
FB2316-baseline,31,31,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,163,172,1200,additional
FB2316-baseline,32,32,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,847,866,1200,additional
FB2316-baseline,33,33,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,895,918,1200,additional
FB2316-baseline,34,34,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,916,933,1200,additional
FB2316-baseline,35,35,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,950,961,1200,additional
FB2316-baseline,36,36,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,274,288,1200,additional
FB2316-baseline,37,37,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,291,317,1200,additional
FB2316-baseline,38,38,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,985,994,1200,additional
FB2316-baseline,39,39,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,904,917,1200,additional
FB2316-baseline,40,40,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,926,940,1200,additional
FB2316-baseline,41,41,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,169,179,1200,additional
FB2316-baseline,42,42,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,182,202,1200,additional
FB2316-baseline,43,43,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,445,464,1200,additional
FB2316-baseline,44,44,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,391,403,1200,additional
FB2316-baseline,45,45,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,418,438,1200,additional
FB2316-baseline,46,46,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,445,467,1200,additional
FB2316-baseline,47,47,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,208,226,1200,additional
FB2316-baseline,48,48,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,841,850,1200,additional
FB2316-baseline,49,49,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,857,868,1200,additional
FB2316-baseline,50,50,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,916,943,1200,additional
FB2316-baseline,51,51,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,946,955,1200,additional
FB2316-baseline,52,52,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,844,861,1200,additional
FB2316-baseline,53,53,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,967,982,1200,additional
FB2316-baseline,54,54,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,274,295,1200,additional
FB2316-baseline,55,55,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,337,347,1200,additional
FB2316-baseline,56,56,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,285,294,1200,additional
FB2316-baseline,57,57,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,1051,1071,1200,additional
FB2316-baseline,58,58,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,383,396,1200,additional
FB2316-baseline,59,59,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,388,397,1200,additional
FB2316-baseline,60,60,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,439,452,1200,additional
FB2316-baseline,61,61,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,523,535,1200,additional
FB2316-baseline,62,62,../reference-validation/surge-model-selection-20260910/additional-backgrounds/FB2316-baseline/background-inputs.mat,850,866,1200,additional
