Status,OnsetFrame,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,SelectedModel,SelectedScore,RisingScore,PulseScore,RisingStatus,PulseStatus,ModelGapSec,CombinedProfileSpanSec,PlausibleModels,FitStartFrame,FitEndFrame,Session,EventRow
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,1,7,M400-01-baseline-awake,1
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,1,11,M400-01-baseline-awake,2
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,-0.93596486574648,-11.6783929513295,insufficient_improvement,insufficient_improvement,NaN,NaN,0,1,31,M400-01-baseline-awake,3
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,52,59,M400-01-baseline-awake,4
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,40,62,M400-01-baseline-awake,5
resolved,45,25,44,47.3040120361083,0.183959153642438,provisional_valid,pulse,50.2057065497597,31.7348143101409,50.2057065497597,resolved,resolved,NaN,NaN,2,1,63,M400-01-baseline-awake,6
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,59,69,M400-01-baseline-awake,7
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,209,214,M400-01-baseline-awake,8
resolved,38,18,37,73.4157608695652,0.0755723004813733,provisional_valid,rising,19.9917047596852,19.9917047596852,6.22400724343,resolved,insufficient_improvement,NaN,NaN,1,9,70,M400-01-baseline-awake,9
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,77,81,M400-01-baseline-awake,10
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,1.21166929484375,-20.0669403726402,insufficient_improvement,insufficient_improvement,NaN,NaN,0,68,110,M400-01-baseline-awake,11
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,106,110,M400-01-baseline-awake,12
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,127,131,M400-01-baseline-awake,13
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,116,131,M400-01-baseline-awake,14
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,130,137,M400-01-baseline-awake,15
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,-4.82398747715295,-13.4194719236004,insufficient_improvement,insufficient_improvement,NaN,NaN,0,85,145,M400-01-baseline-awake,16
