Status,OnsetFrame,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,SelectedModel,SelectedScore,RisingScore,PulseScore,RisingStatus,PulseStatus,ModelGapSec,CombinedProfileSpanSec,PlausibleModels,FitStartFrame,FitEndFrame,Session,EventRow,AmplitudeFraction,RiseFrames,Shape,DelayFrames,Constructible,OnsetErrorSec,WithinFiveSec,ProposedBaselineImposedFraction,BaselineEffectPP,BaselineUnderOnePercent,SameOnsetAsControl
construction_unavailable,NaN,NaN,NaN,NaN,NaN,construction_unavailable,none,NaN,NaN,NaN,construction_unavailable,construction_unavailable,NaN,NaN,0,NaN,NaN,M400-01-baseline-awake,1,0.02,5,linear,10,0,NaN,0,NaN,NaN,0,0
construction_unavailable,NaN,NaN,NaN,NaN,NaN,construction_unavailable,none,NaN,NaN,NaN,construction_unavailable,construction_unavailable,NaN,NaN,0,NaN,NaN,M400-01-baseline-awake,1,0.02,5,linear,25,0,NaN,0,NaN,NaN,0,0
construction_unavailable,NaN,NaN,NaN,NaN,NaN,construction_unavailable,none,NaN,NaN,NaN,construction_unavailable,construction_unavailable,NaN,NaN,0,NaN,NaN,M400-01-baseline-awake,1,0.02,5,sine_squared,10,0,NaN,0,NaN,NaN,0,0
construction_unavailable,NaN,NaN,NaN,NaN,NaN,construction_unavailable,none,NaN,NaN,NaN,construction_unavailable,construction_unavailable,NaN,NaN,0,NaN,NaN,M400-01-baseline-awake,1,0.02,5,sine_squared,25,0,NaN,0,NaN,NaN,0,0
construction_unavailable,NaN,NaN,NaN,NaN,NaN,construction_unavailable,none,NaN,NaN,NaN,construction_unavailable,construction_unavailable,NaN,NaN,0,NaN,NaN,M400-01-baseline-awake,1,0.02,15,linear,10,0,NaN,0,NaN,NaN,0,0
construction_unavailable,NaN,NaN,NaN,NaN,NaN,construction_unavailable,none,NaN,NaN,NaN,construction_unavailable,construction_unavailable,NaN,NaN,0,NaN,NaN,M400-01-baseline-awake,1,0.02,15,linear,25,0,NaN,0,NaN,NaN,0,0
construction_unavailable,NaN,NaN,NaN,NaN,NaN,construction_unavailable,none,NaN,NaN,NaN,construction_unavailable,construction_unavailable,NaN,NaN,0,NaN,NaN,M400-01-baseline-awake,1,0.02,15,sine_squared,10,0,NaN,0,NaN,NaN,0,0
construction_unavailable,NaN,NaN,NaN,NaN,NaN,construction_unavailable,none,NaN,NaN,NaN,construction_unavailable,construction_unavailable,NaN,NaN,0,NaN,NaN,M400-01-baseline-awake,1,0.02,15,sine_squared,25,0,NaN,0,NaN,NaN,0,0
construction_unavailable,NaN,NaN,NaN,NaN,NaN,construction_unavailable,none,NaN,NaN,NaN,construction_unavailable,construction_unavailable,NaN,NaN,0,NaN,NaN,M400-01-baseline-awake,1,0.02,30,linear,10,0,NaN,0,NaN,NaN,0,0
construction_unavailable,NaN,NaN,NaN,NaN,NaN,construction_unavailable,none,NaN,NaN,NaN,construction_unavailable,construction_unavailable,NaN,NaN,0,NaN,NaN,M400-01-baseline-awake,1,0.02,30,linear,25,0,NaN,0,NaN,NaN,0,0
construction_unavailable,NaN,NaN,NaN,NaN,NaN,construction_unavailable,none,NaN,NaN,NaN,construction_unavailable,construction_unavailable,NaN,NaN,0,NaN,NaN,M400-01-baseline-awake,1,0.02,30,sine_squared,10,0,NaN,0,NaN,NaN,0,0
construction_unavailable,NaN,NaN,NaN,NaN,NaN,construction_unavailable,none,NaN,NaN,NaN,construction_unavailable,construction_unavailable,NaN,NaN,0,NaN,NaN,M400-01-baseline-awake,1,0.02,30,sine_squared,25,0,NaN,0,NaN,NaN,0,0
construction_unavailable,NaN,NaN,NaN,NaN,NaN,construction_unavailable,none,NaN,NaN,NaN,construction_unavailable,construction_unavailable,NaN,NaN,0,NaN,NaN,M400-01-baseline-awake,1,0.05,5,linear,10,0,NaN,0,NaN,NaN,0,0
construction_unavailable,NaN,NaN,NaN,NaN,NaN,construction_unavailable,none,NaN,NaN,NaN,construction_unavailable,construction_unavailable,NaN,NaN,0,NaN,NaN,M400-01-baseline-awake,1,0.05,5,linear,25,0,NaN,0,NaN,NaN,0,0
construction_unavailable,NaN,NaN,NaN,NaN,NaN,construction_unavailable,none,NaN,NaN,NaN,construction_unavailable,construction_unavailable,NaN,NaN,0,NaN,NaN,M400-01-baseline-awake,1,0.05,5,sine_squared,10,0,NaN,0,NaN,NaN,0,0
construction_unavailable,NaN,NaN,NaN,NaN,NaN,construction_unavailable,none,NaN,NaN,NaN,construction_unavailable,construction_unavailable,NaN,NaN,0,NaN,NaN,M400-01-baseline-awake,1,0.05,5,sine_squared,25,0,NaN,0,NaN,NaN,0,0
