Session,EventRow,Cohort,Context,NativeStartFrame,NativeEndFrame,Status,OnsetFrame,FitStartFrame,FitEndFrame,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,RisingScore,PulseScore,SelectedScore,SelectedModel,SelectorStatus,ModelGapSec,CombinedProfileSpanSec,PlausibleModels,AmplitudeFraction,RiseFrames,Shape,DelayFrames,TruthOnsetFrame,Constructible,PulseTruncated,OnsetErrorSec,WithinFiveSec,NativeBaselineImposedFraction,NativeBaselineEffectPP,ProposedBaselineImposedFraction,BaselineEffectPP,PositiveBaselineFrames,BaselineUnderOnePercent,ControlResolved,SameOnsetAsControl,ShiftFromControlSec,BaselineAboveOnePercent,NegativeRawAmplitude
M400-01-baseline-awake,32,development,selection,241,251,resolved,223,181,245,203,222,102.017303886367,0.123256536917256,provisional_valid,38.4674030816741,80.0753121359641,80.0753121359641,pulse,resolved,NaN,NaN,2,0.1,23,gamma,25,216,1,0,7,0,0.0876938850737994,-9.13496264931224,0.0129444534071901,-1.45399419064471,7,0,0,0,NaN,1,0
M400-01-baseline-awake,32,development,selection,241,251,resolved,223,181,245,203,222,102.103149628948,0.129614989755881,provisional_valid,40.6176962114482,74.6715463068019,74.6715463068019,pulse,resolved,NaN,NaN,2,0.1,23,exponential,25,216,1,0,7,0,0.0871263220173515,-9.13966570616425,0.0137968281072085,-1.5585103840988,7,0,0,0,NaN,1,0
M400-01-baseline-awake,36,development,selection,243,253,resolved,237,183,247,217,236,67.6291883421656,0.204696909049056,provisional_valid,13.5227150806922,0.759623981450229,13.5227150806922,rising,resolved,NaN,NaN,1,0.1,7,exponential,10,233,1,0,4,1,0.0410131369237647,-4.74611603239123,0.0121198432487837,-1.46007376999686,4,0,0,0,NaN,1,0
M400-01-baseline-awake,36,development,selection,243,253,resolved,237,183,247,217,236,67.528080540123,0.300696728448401,provisional_valid,30.3970289927538,18.0683574294139,30.3970289927538,rising,resolved,NaN,NaN,2,0.2,23,exponential,10,233,1,0,4,1,0.0488286792384112,-6.04631095378436,0.0106066916752807,-1.37960891616986,4,0,0,0,NaN,1,0
M400-01-baseline-awake,40,development,selection,301,310,resolved,295,254,305,275,294,89.4498303610804,0.140878387946278,provisional_valid,12.7669128491868,31.5904538281512,31.5904538281512,pulse,resolved,NaN,NaN,2,0.2,7,gamma,10,291,1,0,4,1,0.0812940837218465,-8.88860437702508,0.0234481450556936,-2.67514819314705,4,0,0,0,NaN,1,0
M400-01-baseline-awake,40,development,selection,301,310,resolved,295,254,305,275,294,89.4857193674051,0.192958963991577,provisional_valid,31.2913697911346,38.2830008161205,38.2830008161205,pulse,resolved,NaN,NaN,2,0.2,7,exponential,10,291,1,0,4,1,0.0824607422780119,-9.42136679360914,0.0238587722955952,-2.84625362798643,4,0,0,0,NaN,1,0
M400-01-baseline-awake,40,development,selection,301,310,resolved,296,254,305,276,295,88.0114747908733,0.212941736543321,provisional_valid,30.6634348418933,44.2656739289856,44.2656739289856,pulse,resolved,NaN,NaN,2,0.2,7,quadratic,10,291,1,0,5,1,0.0576427813367768,-6.74038564990926,0.0102639787757539,-1.24496082401067,5,0,0,0,NaN,1,0
M400-01-baseline-awake,40,development,selection,301,310,resolved,296,254,305,276,295,91.6957178490708,0.164206939786364,provisional_valid,10.6512364883256,10.818526301856,10.818526301856,pulse,resolved,2,3,2,0.2,23,quadratic,25,276,1,0,20,0,0.0993507911546612,-11.1767069385811,0.0525545784912527,-6.11844049970636,20,0,0,0,NaN,1,0
M400-01-baseline-awake,45,development,selection,415,430,resolved,412,355,419,392,411,116.863173184163,0.115886739007006,provisional_valid,18.819684774813,8.41066393695476,18.819684774813,rising,resolved,NaN,NaN,1,0.1,23,gamma,10,405,1,0,7,0,0.0234112151497519,-2.60100623610982,0.0127996543217743,-1.42829645215417,7,0,0,0,NaN,1,0
M400-01-baseline-awake,45,development,selection,415,430,resolved,412,355,419,392,411,116.95964674609,0.112848823320598,provisional_valid,17.584224086203,7.32400864300648,17.584224086203,rising,resolved,NaN,NaN,1,0.1,23,exponential,10,405,1,1,7,0,0.024366840725907,-2.69951503010002,0.0136357465440629,-1.51745244966581,7,0,0,0,NaN,1,0
M400-01-baseline-awake,47,development,selection,468,478,resolved,464,408,472,444,463,83.6497178316798,0.192553296664794,provisional_valid,25.8519244442487,28.2696268105921,28.2696268105921,pulse,resolved,NaN,NaN,2,0.2,7,quadratic,10,458,1,0,6,0,0.0557754278569544,-6.48061618421578,0.0170132748492053,-2.0289237008484,6,0,0,0,NaN,1,0
M400-01-baseline-awake,47,development,selection,468,478,resolved,445,408,472,425,444,83.1672393023753,-0.000440281513584218,provisional_valid,55.3777492994652,78.6250569489132,78.6250569489132,pulse,resolved,NaN,NaN,1,0.2,7,quadratic,25,443,1,0,2,1,0.165987991607072,-14.5527908233303,0.00102215017920959,-0.102170014538161,2,1,0,0,NaN,0,1
M400-01-baseline-awake,47,development,selection,468,478,resolved,464,408,472,444,463,83.8481883637811,0.184307273526576,provisional_valid,12.6674528548927,-1.12701077781108,12.6674528548927,rising,resolved,NaN,NaN,1,0.2,23,gamma,10,458,1,1,6,0,0.0463153883641172,-5.40534527632384,0.0194262795914282,-2.30066842176893,6,0,0,0,NaN,1,0
M400-01-baseline-awake,47,development,selection,468,478,resolved,464,408,472,444,463,83.9707641813829,0.178452457187672,provisional_valid,10.3562206244198,-3.18555679686965,10.3562206244198,rising,resolved,NaN,NaN,1,0.2,23,exponential,10,458,1,1,6,0,0.0482368374769557,-5.59966754734009,0.0209165563898193,-2.4649167273487,6,0,0,0,NaN,1,0
M400-01-baseline-awake,48,development,selection,535,544,resolved,515,475,539,495,514,79.2932620682212,0.0761679765066703,provisional_valid,8.48175829081567,89.7176108559622,89.7176108559622,pulse,resolved,NaN,NaN,1,0.2,7,quadratic,25,510,1,0,5,1,0.164092643067216,-14.8870163968445,0.0104934378327415,-1.12927017590598,5,0,0,0,NaN,1,0
