Cohort,Context,Status,Count
additional,pulse,insufficient_clean_context,113
additional,pulse,insufficient_improvement,68
additional,pulse,resolved,7
additional,pulse,search_boundary_unresolved,5
additional,rising,broad_profile_unresolved,1
additional,rising,insufficient_clean_context,113
additional,rising,insufficient_improvement,56
additional,rising,not_a_rising_change,11
additional,rising,resolved,10
additional,rising,search_boundary_unresolved,2
additional,selection,best_model_unresolved,5
additional,selection,insufficient_clean_context,113
additional,selection,no_model_evidence,62
additional,selection,resolved,13
development,pulse,insufficient_clean_context,52
development,pulse,insufficient_improvement,58
development,pulse,resolved,4
development,pulse,search_boundary_unresolved,1
development,rising,insufficient_clean_context,52
development,rising,insufficient_improvement,45
development,rising,not_a_rising_change,10
development,rising,resolved,7
development,rising,search_boundary_unresolved,1
development,selection,best_model_unresolved,2
development,selection,insufficient_clean_context,52
development,selection,model_disagreement,1
development,selection,no_model_evidence,53
development,selection,resolved,7
noiseless,pulse,insufficient_improvement,1
noiseless,rising,insufficient_improvement,1
noiseless,selection,no_model_evidence,1
