Cohort,Context,Shape,RiseFrames,DelayFrames,AmplitudeFraction,Planned,Constructible,Resolved,WithinFiveSec,BaselineUnderOnePercent,WithinFiveSecAndClean,AvailableAmplitudes,SameOnsetAsControl,ResolvedFraction,WithinFiveSecFractionAll,WithinFiveSecFractionResolved,MedianOnsetErrorSec,MedianBaselineImposedFraction,MedianBaselineEffectPP,MedianAbsoluteErrorSec,P90AbsoluteErrorSec
additional,pulse,exponential,23,10,0.02,193,183,15,8,15,8,15,3,0.08196721311475409,0.04371584699453552,0.5333333333333333,-2.0,0.0,0.0,4.0,14.799999999999999
additional,pulse,exponential,23,10,0.1,193,183,38,29,37,29,38,1,0.20765027322404372,0.15846994535519127,0.7631578947368421,-1.5,0.0,0.0,2.0,6.0
additional,pulse,exponential,23,10,0.2,193,183,52,48,52,48,52,1,0.28415300546448086,0.26229508196721313,0.9230769230769231,-2.0,0.0,0.0,2.0,5.0
additional,pulse,exponential,23,25,0.02,193,183,10,6,7,6,10,3,0.0546448087431694,0.03278688524590164,0.6,0.5,0.000183930349275996,-0.01870460642574565,4.5,22.0
additional,pulse,exponential,23,25,0.1,193,183,28,20,26,20,28,2,0.15300546448087432,0.1092896174863388,0.7142857142857143,-1.0,0.0,0.0,2.0,14.0
additional,pulse,exponential,23,25,0.2,193,183,36,31,35,31,36,0,0.19672131147540983,0.16939890710382513,0.8611111111111112,-2.0,0.0,0.0,2.0,8.0
additional,pulse,exponential,7,10,0.02,193,183,19,14,19,14,19,2,0.10382513661202186,0.07650273224043716,0.7368421052631579,-2.0,0.0,0.0,4.0,10.399999999999995
additional,pulse,exponential,7,10,0.1,193,183,46,44,46,44,46,0,0.25136612021857924,0.24043715846994534,0.9565217391304348,-1.0,0.0,0.0,1.5,3.5
additional,pulse,exponential,7,10,0.2,193,183,58,56,58,56,58,0,0.31693989071038253,0.30601092896174864,0.9655172413793104,-1.0,0.0,0.0,1.0,3.0
additional,pulse,exponential,7,25,0.02,193,183,13,11,11,11,13,2,0.07103825136612021,0.060109289617486336,0.8461538461538461,-1.0,0.0,0.0,1.0,18.200000000000014
additional,pulse,exponential,7,25,0.1,193,183,34,34,34,34,34,1,0.18579234972677597,0.18579234972677597,1.0,-1.0,0.0,0.0,1.0,3.0
additional,pulse,exponential,7,25,0.2,193,183,37,37,36,36,37,1,0.20218579234972678,0.20218579234972678,1.0,-1.0,0.0,0.0,1.0,3.0
additional,pulse,gamma,23,10,0.02,193,183,14,7,14,7,14,3,0.07650273224043716,0.03825136612021858,0.5,-1.5,0.0,0.0,5.0,13.600000000000009
additional,pulse,gamma,23,10,0.1,193,183,38,34,38,34,38,1,0.20765027322404372,0.18579234972677597,0.8947368421052632,-1.5,0.0,0.0,2.0,5.300000000000004
additional,pulse,gamma,23,10,0.2,193,183,52,49,51,48,52,0,0.28415300546448086,0.2677595628415301,0.9423076923076923,-1.0,0.0,0.0,1.5,5.0
additional,pulse,gamma,23,25,0.02,193,183,9,5,6,5,9,3,0.04918032786885246,0.0273224043715847,0.5555555555555556,2.0,0.000327638604134872,-0.0332930368546425,4.0,22.0
additional,pulse,gamma,23,25,0.1,193,183,29,21,27,21,29,2,0.15846994535519127,0.11475409836065574,0.7241379310344828,-2.0,0.0,0.0,2.0,14.0
additional,pulse,gamma,23,25,0.2,193,183,38,34,37,34,38,0,0.20765027322404372,0.18579234972677597,0.8947368421052632,-2.0,0.0,0.0,2.0,5.900000000000013
additional,pulse,gamma,7,10,0.02,193,183,18,14,18,14,18,2,0.09836065573770492,0.07650273224043716,0.7777777777777778,-2.0,0.0,0.0,2.5,11.800000000000004
additional,pulse,gamma,7,10,0.1,193,183,46,45,46,45,46,0,0.25136612021857924,0.2459016393442623,0.9782608695652174,-1.0,0.0,0.0,1.0,4.0
additional,pulse,gamma,7,10,0.2,193,183,56,55,56,55,56,0,0.30601092896174864,0.3005464480874317,0.9821428571428571,-1.0,0.0,0.0,1.0,3.0
additional,pulse,gamma,7,25,0.02,193,183,14,8,11,8,14,3,0.07650273224043716,0.04371584699453552,0.5714285714285714,0.0,0.0,0.0,1.5,19.900000000000006
additional,pulse,gamma,7,25,0.1,193,183,36,34,36,34,36,1,0.19672131147540983,0.18579234972677597,0.9444444444444444,-1.0,0.0,0.0,1.0,3.0
additional,pulse,gamma,7,25,0.2,193,183,38,36,38,36,38,1,0.20765027322404372,0.19672131147540983,0.9473684210526315,-1.0,0.0,0.0,1.0,3.0
additional,pulse,quadratic,23,10,0.02,193,183,8,3,8,3,8,4,0.04371584699453552,0.01639344262295082,0.375,-5.5,0.0,0.0,8.0,23.099999999999998
additional,pulse,quadratic,23,10,0.1,193,183,26,15,26,15,26,5,0.14207650273224043,0.08196721311475409,0.5769230769230769,3.5,0.00020662513721814152,-0.022469209380426798,5.0,12.0
additional,pulse,quadratic,23,10,0.2,193,183,38,27,38,27,38,2,0.20765027322404372,0.14754098360655737,0.7105263157894737,2.5,0.0001785315740800986,-0.02051628913739555,4.0,9.0
additional,pulse,quadratic,23,25,0.02,193,183,13,4,13,4,13,4,0.07103825136612021,0.02185792349726776,0.3076923076923077,10.0,0.000711349220226865,-0.0800500235807355,10.0,18.6
additional,pulse,quadratic,23,25,0.1,193,183,37,10,33,10,37,3,0.20218579234972678,0.0546448087431694,0.2702702702702703,8.0,0.00193356873243,-0.217822940487156,8.0,14.199999999999996
additional,pulse,quadratic,23,25,0.2,193,183,48,9,38,9,48,2,0.26229508196721313,0.04918032786885246,0.1875,7.0,0.002686092440514985,-0.342525391166415,7.5,16.300000000000004
additional,pulse,quadratic,7,10,0.02,193,183,22,18,22,18,22,3,0.12021857923497267,0.09836065573770492,0.8181818181818182,1.0,5.0876244180209e-05,-0.00521224957471535,4.0,7.0
additional,pulse,quadratic,7,10,0.1,193,183,49,47,49,47,49,0,0.2677595628415301,0.2568306010928962,0.9591836734693877,2.0,0.000485859191087012,-0.0552533796273291,2.0,4.200000000000003
