Cohort,Context,Shape,Planned,Constructible,Resolved,WithinFiveSec,BaselineUnderOnePercent,WithinFiveSecAndClean,AvailableAmplitudes,SameOnsetAsControl,ResolvedFraction,WithinFiveSecFractionAll,WithinFiveSecFractionResolved,MedianOnsetErrorSec,MedianBaselineImposedFraction,MedianBaselineEffectPP,MedianAbsoluteErrorSec,P90AbsoluteErrorSec
additional,pulse,exponential,2316,2196,386,338,376,337,386,16,0.17577413479052822,0.15391621129326047,0.8756476683937824,-1.0,0.0,0.0,2.0,6.0
additional,pulse,gamma,2316,2196,388,342,378,341,388,16,0.1766848816029144,0.1557377049180328,0.8814432989690721,-1.0,0.0,0.0,1.0,6.300000000000011
additional,pulse,quadratic,2316,2196,399,286,380,283,399,25,0.18169398907103826,0.1302367941712204,0.7167919799498746,2.0,0.000515362061892732,-0.0567402926818339,3.0,12.0
additional,rising,exponential,2316,2196,301,218,293,218,301,12,0.13706739526411657,0.09927140255009108,0.7242524916943521,-3.0,0.0,0.0,4.0,9.0
additional,rising,gamma,2316,2196,291,173,284,173,291,10,0.1325136612021858,0.07877959927140255,0.5945017182130584,-3.0,0.0,0.0,4.0,9.0
additional,rising,quadratic,2316,2196,336,198,325,198,336,25,0.15300546448087432,0.09016393442622951,0.5892857142857143,3.0,0.0002629781847207635,-0.03050507275984545,5.0,12.0
additional,selection,exponential,2316,2196,409,356,399,355,409,20,0.18624772313296903,0.1621129326047359,0.8704156479217604,-1.0,0.0,0.0,2.0,6.199999999999989
additional,selection,gamma,2316,2196,412,356,403,356,412,20,0.18761384335154827,0.1621129326047359,0.8640776699029126,-1.0,0.0,0.0,1.0,7.0
additional,selection,quadratic,2316,2196,446,292,427,290,446,39,0.20309653916211293,0.13296903460837886,0.6547085201793722,2.0,0.000525986103417919,-0.059804128156493205,3.0,12.0
development,pulse,exponential,1380,1284,379,320,371,318,379,7,0.29517133956386293,0.24922118380062305,0.8443271767810027,-1.0,0.0,0.0,2.0,8.0
development,pulse,gamma,1380,1284,375,320,369,317,375,5,0.29205607476635514,0.24922118380062305,0.8533333333333334,-1.0,0.0,0.0,1.0,7.600000000000023
development,pulse,quadratic,1380,1284,348,237,336,235,348,9,0.27102803738317754,0.18457943925233644,0.6810344827586207,2.0,0.0005102758953876576,-0.0560171291071998,3.0,9.300000000000011
development,rising,exponential,1380,1284,317,186,307,184,317,19,0.2468847352024922,0.14485981308411214,0.5867507886435331,-5.0,0.0,0.0,5.0,12.0
development,rising,gamma,1380,1284,303,138,296,138,303,16,0.23598130841121495,0.10747663551401869,0.45544554455445546,-6.0,0.0,0.0,6.0,12.0
development,rising,quadratic,1380,1284,318,201,308,200,318,23,0.24766355140186916,0.15654205607476634,0.6320754716981132,1.0,3.633906563538235e-05,-0.00425764306832832,5.0,13.0
development,selection,exponential,1380,1284,413,336,401,333,413,16,0.32165109034267914,0.2616822429906542,0.8135593220338984,-1.0,0.0,0.0,2.0,9.0
development,selection,gamma,1380,1284,409,331,401,330,409,16,0.31853582554517135,0.25778816199376947,0.8092909535452323,-1.0,0.0,0.0,2.0,9.0
development,selection,quadratic,1380,1284,409,265,396,263,409,26,0.31853582554517135,0.20638629283489096,0.6479217603911981,2.0,0.000507704149546928,-0.053461271660793,3.0,11.0
noiseless,pulse,exponential,12,12,12,12,12,12,12,0,1.0,1.0,1.0,-2.0,0.0,0.0,2.0,4.0
noiseless,pulse,gamma,12,12,12,12,12,12,12,0,1.0,1.0,1.0,-2.0,0.0,0.0,2.0,4.0
noiseless,pulse,quadratic,12,12,12,9,12,9,12,0,1.0,0.75,0.75,2.0,0.000341113382971381,-0.03473715911809225,2.0,6.0
noiseless,rising,exponential,12,12,9,6,9,6,9,0,0.75,0.5,0.6666666666666666,-5.0,0.0,0.0,5.0,7.0
noiseless,rising,gamma,12,12,9,3,9,3,9,0,0.75,0.25,0.3333333333333333,-6.0,0.0,0.0,6.0,7.0
noiseless,rising,quadratic,12,12,9,9,9,9,9,0,0.75,0.75,1.0,5.0,0.000103969754253308,-0.0106038124580543,5.0,5.0
noiseless,selection,exponential,12,12,12,12,12,12,12,0,1.0,1.0,1.0,-2.0,0.0,0.0,2.0,4.0
noiseless,selection,gamma,12,12,12,12,12,12,12,0,1.0,1.0,1.0,-2.0,0.0,0.0,2.0,4.0
noiseless,selection,quadratic,12,12,12,9,12,9,12,0,1.0,0.75,0.75,2.0,0.000341113382971381,-0.03473715911809225,2.0,6.0
