Session,Context,Planned,Constructible,Resolved,WithinFiveSec,BaselineUnderOnePercent,WithinFiveSecAndClean,AvailableAmplitudes,SameOnsetAsControl,ResolvedFraction,WithinFiveSecFractionAll,WithinFiveSecFractionResolved,MedianOnsetErrorSec,MedianBaselineImposedFraction,MedianBaselineEffectPP,MedianAbsoluteErrorSec,P90AbsoluteErrorSec
FB2312-baseline-awake,pulse,1440,1314,417,364,406,364,417,10,0.317351598173516,0.2770167427701674,0.8729016786570744,-1.0,0.0,0.0,2.0,7.0
FB2312-baseline-awake,rising,1440,1314,324,210,308,210,324,8,0.2465753424657534,0.1598173515981735,0.6481481481481481,-2.0,0.0,0.0,4.0,11.0
FB2312-baseline-awake,selection,1440,1314,459,384,440,384,459,15,0.3493150684931507,0.2922374429223744,0.8366013071895425,-1.0,0.0,0.0,2.0,9.0
FB2316-baseline,pulse,2232,2232,660,542,641,542,660,28,0.2956989247311828,0.24283154121863798,0.8212121212121212,-1.0,0.0,0.0,2.0,8.0
FB2316-baseline,rising,2232,2232,521,331,506,331,521,23,0.23342293906810035,0.14829749103942652,0.6353166986564299,-2.0,0.0,0.0,5.0,9.0
FB2316-baseline,selection,2232,2232,698,553,680,553,698,29,0.31272401433691754,0.24775985663082437,0.7922636103151862,-1.0,0.0,0.0,2.0,8.0
FB2411,pulse,432,378,165,148,165,148,165,0,0.4365079365079365,0.3915343915343915,0.896969696969697,-1.0,0.0,0.0,2.0,5.599999999999994
FB2411,rising,432,378,129,83,129,83,129,0,0.3412698412698413,0.21957671957671956,0.6434108527131783,-2.0,0.0,0.0,5.0,8.0
FB2411,selection,432,378,165,146,165,146,165,0,0.4365079365079365,0.3862433862433862,0.8848484848484849,-1.0,0.0,0.0,2.0,6.0
ID13-20200917,pulse,4716,4356,513,424,493,419,513,29,0.11776859504132231,0.09733700642791551,0.8265107212475633,0.0,0.0,0.0,2.0,10.800000000000011
ID13-20200917,rising,4716,4356,407,258,396,258,407,24,0.09343434343434344,0.05922865013774105,0.6339066339066339,-1.0,0.0,0.0,4.0,10.400000000000034
ID13-20200917,selection,4716,4356,569,451,549,448,569,50,0.13062442607897154,0.10353535353535354,0.7926186291739895,0.0,0.0,0.0,2.0,10.0
M400-01-baseline-awake,pulse,1836,1728,371,238,356,231,371,11,0.21469907407407407,0.13773148148148148,0.6415094339622641,-1.0,0.0,0.0,3.0,13.0
M400-01-baseline-awake,rising,1836,1728,368,160,357,157,368,50,0.21296296296296297,0.09259259259259259,0.43478260869565216,-5.0,0.0,0.0,6.0,18.0
M400-01-baseline-awake,selection,1836,1728,446,264,432,258,446,43,0.25810185185185186,0.1527777777777778,0.5919282511210763,-1.5,0.0,0.0,4.0,15.5
M401-01-baseline-awake,pulse,432,432,149,127,149,127,149,0,0.3449074074074074,0.29398148148148145,0.8523489932885906,-1.0,0.0,0.0,2.0,8.0
M401-01-baseline-awake,rising,432,432,117,72,117,72,117,0,0.2708333333333333,0.16666666666666666,0.6153846153846154,-3.0,0.0,0.0,5.0,9.0
M401-01-baseline-awake,selection,432,432,161,138,161,138,161,0,0.3726851851851852,0.3194444444444444,0.8571428571428571,-1.0,0.0,0.0,2.0,7.0
flat,pulse,36,36,36,33,36,33,36,0,1.0,0.9166666666666666,0.9166666666666666,-1.0,0.0,0.0,2.0,4.0
flat,rising,36,36,27,18,27,18,27,0,0.75,0.5,0.6666666666666666,-2.0,0.0,0.0,5.0,7.0
flat,selection,36,36,36,33,36,33,36,0,1.0,0.9166666666666666,0.9166666666666666,-1.0,0.0,0.0,2.0,4.0
