Session,EventRow,LocalRow,Frames,NativeStartFrame,NativeEndFrame,SupportPixels,EligibleSupportFraction
M400-01-baseline-awake,1,2,600,3,14,1678,0.753873659117998
M400-01-baseline-awake,2,5,600,7,18,1555,0.770418006430868
M400-01-baseline-awake,3,8,600,27,36,1297,0.910562837316885
M400-01-baseline-awake,4,11,600,55,71,4654,0.872367855608079
M400-01-baseline-awake,5,14,600,58,67,4745,0.743097997892518
M400-01-baseline-awake,6,17,600,59,74,1994,0.586258776328987
M400-01-baseline-awake,7,20,600,65,83,10484,0.82497138496757
M400-01-baseline-awake,8,23,600,210,219,9532,0.803084347461183
M400-01-baseline-awake,9,26,600,66,76,6992,0.710955377574371
M400-01-baseline-awake,10,29,600,77,87,20409,0.840462541035818
M400-01-baseline-awake,11,32,600,106,115,2824,0.760623229461756
M400-01-baseline-awake,12,35,600,106,115,7461,0.842112317383729
M400-01-baseline-awake,13,38,600,127,145,6900,0.798695652173913
M400-01-baseline-awake,14,41,600,127,152,7882,0.824917533620908
M400-01-baseline-awake,15,44,600,133,145,1991,0.77850326469111
M400-01-baseline-awake,16,47,600,141,156,3602,0.909772348695169
M400-01-baseline-awake,17,50,600,144,155,3982,0.863887493721748
M400-01-baseline-awake,18,53,600,156,169,2872,0.867339832869081
M400-01-baseline-awake,19,56,600,363,388,3177,0.854894554611269
M400-01-baseline-awake,20,59,600,158,187,2383,0.768778850188838
M400-01-baseline-awake,21,62,600,189,210,2706,0.745750184774575
M400-01-baseline-awake,22,65,600,227,240,2298,0.760661444734552
M400-01-baseline-awake,23,68,600,161,179,1888,0.864406779661017
M400-01-baseline-awake,24,71,600,169,186,3072,0.8203125
M400-01-baseline-awake,25,74,600,197,206,3045,0.805582922824302
M400-01-baseline-awake,26,77,600,324,334,3463,0.801617095004332
M400-01-baseline-awake,27,80,600,534,543,3517,0.802672732442423
M400-01-baseline-awake,28,83,600,174,185,1022,0.544031311154599
M400-01-baseline-awake,29,86,600,446,456,1138,0.518453427065026
M400-01-baseline-awake,30,89,600,196,206,2389,0.547090832984512
M400-01-baseline-awake,31,92,600,209,219,4731,0.789473684210526
M400-01-baseline-awake,32,95,600,241,251,3278,0.870957901159243
M400-01-baseline-awake,33,98,600,241,254,2254,0.745341614906832
M400-01-baseline-awake,34,101,600,241,252,3164,0.573008849557522
M400-01-baseline-awake,35,104,600,242,253,3292,0.74179829890644
M400-01-baseline-awake,36,107,600,243,253,2225,0.752359550561798
M400-01-baseline-awake,37,110,600,331,347,2607,0.789029535864979
M400-01-baseline-awake,38,113,600,245,254,2685,0.757914338919926
M400-01-baseline-awake,39,116,600,284,294,4255,0.810575793184489
M400-01-baseline-awake,40,119,600,301,310,1881,0.865497076023392
M400-01-baseline-awake,41,122,600,320,332,1496,0.812834224598931
M400-01-baseline-awake,42,125,600,325,338,2026,0.912635735439289
M400-01-baseline-awake,43,128,600,382,393,1732,0.856812933025404
M400-01-baseline-awake,44,131,600,390,400,2536,0.878943217665615
M400-01-baseline-awake,45,134,600,415,430,1726,0.912514484356895
M400-01-baseline-awake,46,137,600,432,459,7444,0.912681354110693
M400-01-baseline-awake,47,140,600,468,478,1623,0.85705483672212
M400-01-baseline-awake,48,143,600,535,544,4349,0.84111289951713
M400-01-baseline-awake,49,146,600,559,569,1612,0.897642679900744
M400-01-baseline-awake,50,149,600,580,600,2616,0.784403669724771
M400-01-baseline-awake,51,152,600,590,600,1407,0.856432125088841
M401-01-baseline-awake,1,2,600,57,86,4297,0.727018850360717
M401-01-baseline-awake,2,5,600,185,224,4472,0.711538461538462
M401-01-baseline-awake,3,8,600,89,104,2614,0.7061973986228
M401-01-baseline-awake,4,11,600,159,181,2883,0.708289975719736
M401-01-baseline-awake,5,14,600,113,128,2421,0.923998347790169
M401-01-baseline-awake,6,17,600,113,150,5292,0.898148148148148
M401-01-baseline-awake,7,20,600,180,210,2958,0.808316430020284
M401-01-baseline-awake,8,23,600,271,282,7566,0.803595030399154
M401-01-baseline-awake,9,26,600,330,339,1655,0.676132930513595
M401-01-baseline-awake,10,29,600,421,431,1998,0.865365365365365
M401-01-baseline-awake,11,32,600,536,545,1352,0.686390532544379
M401-01-baseline-awake,12,35,600,569,582,2383,0.749055812001679
FB2312-baseline-awake,1,2,1200,1,18,16095,0.5340789064927
FB2312-baseline-awake,2,5,1200,204,213,16045,0.540978497974447
FB2312-baseline-awake,3,8,1200,402,413,17731,0.515932547515651
FB2312-baseline-awake,4,11,1200,471,490,17875,0.521006993006993
FB2312-baseline-awake,5,14,1200,494,503,17668,0.517715644102332
FB2312-baseline-awake,6,17,1200,531,552,16926,0.519969278033794
FB2312-baseline-awake,7,20,1200,641,650,16195,0.531028095091078
FB2312-baseline-awake,8,23,1200,1,23,12521,0.585017171152464
FB2312-baseline-awake,9,26,1200,204,214,12451,0.583246325596338
FB2312-baseline-awake,10,29,1200,324,333,11778,0.585158770589234
FB2312-baseline-awake,11,32,1200,402,412,12871,0.562582549918421
FB2312-baseline-awake,12,35,1200,471,490,12518,0.565825211695159
FB2312-baseline-awake,13,38,1200,494,503,11519,0.588766385971004
FB2312-baseline-awake,14,41,1200,531,552,12402,0.566844057410095
FB2312-baseline-awake,15,44,1200,641,650,13181,0.550413473939762
FB2312-baseline-awake,16,47,1200,684,695,11525,0.593405639913232
FB2312-baseline-awake,17,50,1200,24,53,8465,0.76928529238039
FB2312-baseline-awake,18,53,1200,37,46,18914,0.865549328539706
FB2312-baseline-awake,19,56,1200,51,63,27002,0.865565513665654
FB2312-baseline-awake,20,59,1200,133,143,16406,0.834755577227843
FB2312-baseline-awake,21,62,1200,251,265,16731,0.866296097065328
FB2312-baseline-awake,22,65,1200,355,370,17563,0.881740021636395
FB2312-baseline-awake,23,68,1200,372,389,15485,0.884081369066839
FB2312-baseline-awake,24,71,1200,358,369,5527,0.860502985344672
FB2312-baseline-awake,25,74,1200,366,378,4242,0.784299858557284
FB2312-baseline-awake,26,77,1200,380,398,4190,0.685202863961814
FB2312-baseline-awake,27,80,1200,378,398,6677,0.793020817732515
FB2312-baseline-awake,28,83,1200,512,523,8911,0.823925485355179
FB2312-baseline-awake,29,86,1200,438,452,10078,0.595356221472514
FB2312-baseline-awake,30,89,1200,516,527,9673,0.632172025224853
FB2312-baseline-awake,31,92,1200,449,458,12278,0.81617527284574
FB2312-baseline-awake,32,95,1200,616,630,12745,0.780149078069831
FB2312-baseline-awake,33,98,1200,824,834,18149,0.749683178136536
FB2312-baseline-awake,34,101,1200,621,631,4988,0.826583801122694
FB2312-baseline-awake,35,104,1200,819,835,4281,0.8072880168185
FB2312-baseline-awake,36,107,1200,661,676,25237,0.835598525973769
FB2312-baseline-awake,37,110,1200,730,739,11696,0.845331737346101
FB2312-baseline-awake,38,113,1200,824,833,9568,0.64684364548495
FB2312-baseline-awake,39,116,1200,854,867,13601,0.853613704874642
FB2312-baseline-awake,40,119,1200,938,947,9757,0.874449113457005
FB2411,1,2,301,4,24,3175,0.71748031496063
FB2411,2,5,301,36,84,5361,0.750233165454206
FB2411,3,8,301,90,101,1984,0.676915322580645
FB2411,4,11,301,90,100,6848,0.742114485981308
FB2411,5,14,301,104,115,3322,0.792594822396147
FB2411,6,17,301,145,165,2250,0.688888888888889
FB2411,7,20,301,227,239,1816,0.681718061674009
FB2411,8,23,301,152,165,2606,0.72256331542594
FB2411,9,26,301,164,232,9298,0.725855022585502
FB2411,10,29,301,291,301,8132,0.700688637481554
FB2411,11,32,301,292,301,892,0.752242152466368
FB2411,12,35,301,292,301,1287,0.702408702408702
