Session,Context,Status,Evaluations
FB2312-baseline-awake,available,insufficient_clean_context,14
FB2312-baseline-awake,available,insufficient_improvement,17
FB2312-baseline-awake,available,not_a_rising_change,6
FB2312-baseline-awake,available,resolved,2
FB2312-baseline-awake,available,search_boundary_unresolved,1
FB2312-baseline-awake,fixed,insufficient_improvement,7
FB2312-baseline-awake,fixed,not_a_rising_change,2
FB2312-baseline-awake,fixed,overlapping_detection_in_fit,24
FB2312-baseline-awake,fixed,recording_boundary_unresolved,5
FB2312-baseline-awake,fixed,resolved,2
FB2411,available,insufficient_clean_context,7
FB2411,available,insufficient_improvement,5
FB2411,fixed,insufficient_improvement,3
FB2411,fixed,overlapping_detection_in_fit,7
FB2411,fixed,recording_boundary_unresolved,2
M400-01-baseline-awake,available,insufficient_clean_context,27
M400-01-baseline-awake,available,insufficient_improvement,16
M400-01-baseline-awake,available,not_a_rising_change,3
M400-01-baseline-awake,available,resolved,5
M400-01-baseline-awake,fixed,insufficient_improvement,9
M400-01-baseline-awake,fixed,not_a_rising_change,2
M400-01-baseline-awake,fixed,overlapping_detection_in_fit,32
M400-01-baseline-awake,fixed,recording_boundary_unresolved,6
M400-01-baseline-awake,fixed,resolved,2
M401-01-baseline-awake,available,insufficient_clean_context,4
M401-01-baseline-awake,available,insufficient_improvement,7
M401-01-baseline-awake,available,not_a_rising_change,1
M401-01-baseline-awake,fixed,insufficient_improvement,4
M401-01-baseline-awake,fixed,not_a_rising_change,1
M401-01-baseline-awake,fixed,overlapping_detection_in_fit,6
M401-01-baseline-awake,fixed,recording_boundary_unresolved,1
