Context,AmplitudeFraction,RiseFrames,Shape,DelayFrames,Planned,Constructible,Resolved,WithinFiveSec,BaselineUnderOnePercent,WithinFiveSecAndClean,AvailableAmplitudes,SameOnsetAsControl,ResolvedFraction,WithinFiveSecFractionAll,WithinFiveSecFractionResolved,MedianOnsetErrorSec,MedianBaselineImposedFraction,MedianBaselineEffectPP,MedianAbsoluteErrorSec,P90AbsoluteErrorSec
available,0.02,15,linear,10,115,108,16,8,16,8,16,4,0.14814814814814814,0.07407407407407407,0.5,-1.0,0.0,0.0,6.5,20.0
available,0.02,15,linear,25,115,106,15,6,15,6,15,4,0.14150943396226415,0.05660377358490566,0.4,-4.0,0.0,0.0,6.0,12.799999999999999
available,0.02,15,sine_squared,10,115,108,18,10,18,10,18,4,0.16666666666666666,0.09259259259259259,0.5555555555555556,0.0,0.0,0.0,5.0,18.800000000000004
available,0.02,15,sine_squared,25,115,106,15,8,15,8,15,4,0.14150943396226415,0.07547169811320754,0.5333333333333333,-4.0,0.0,0.0,5.0,12.799999999999999
available,0.02,30,linear,10,115,108,16,6,16,6,16,5,0.14814814814814814,0.05555555555555555,0.375,-9.0,0.0,0.0,9.0,25.0
available,0.02,30,linear,25,115,106,17,9,17,9,17,6,0.16037735849056603,0.08490566037735849,0.5294117647058824,-1.0,0.0,0.0,5.0,14.4
available,0.02,30,sine_squared,10,115,108,16,3,16,3,16,6,0.14814814814814814,0.027777777777777776,0.1875,-9.0,0.0,0.0,9.0,25.0
available,0.02,30,sine_squared,25,115,106,21,12,21,12,21,4,0.19811320754716982,0.11320754716981132,0.5714285714285714,3.0,3.81170451440038e-05,-0.00388704162515019,4.0,14.0
available,0.02,5,linear,10,115,108,20,9,20,9,20,3,0.18518518518518517,0.08333333333333333,0.45,-6.0,0.0,0.0,7.5,17.60000000000001
available,0.02,5,linear,25,115,106,6,1,5,1,6,2,0.05660377358490566,0.009433962264150943,0.16666666666666666,-9.0,0.0,0.0,11.0,14.0
available,0.02,5,sine_squared,10,115,108,20,9,20,9,20,3,0.18518518518518517,0.08333333333333333,0.45,-6.0,0.0,0.0,7.5,17.60000000000001
available,0.02,5,sine_squared,25,115,106,6,1,5,1,6,2,0.05660377358490566,0.009433962264150943,0.16666666666666666,-9.0,0.0,0.0,11.0,14.0
available,0.05,15,linear,10,115,108,30,20,30,20,30,4,0.2777777777777778,0.18518518518518517,0.6666666666666666,0.0,0.0,0.0,2.0,23.1
available,0.05,15,linear,25,115,106,26,14,24,14,26,3,0.24528301886792453,0.1320754716981132,0.5384615384615384,-5.0,0.0,0.0,5.0,13.0
available,0.05,15,sine_squared,10,115,108,34,25,34,25,34,3,0.3148148148148148,0.23148148148148148,0.7352941176470589,2.0,0.0001302094446963275,-0.013986455137560149,3.5,19.39999999999999
available,0.05,15,sine_squared,25,115,106,26,16,25,16,26,4,0.24528301886792453,0.1509433962264151,0.6153846153846154,-5.0,0.0,0.0,5.0,13.5
available,0.05,30,linear,10,115,108,20,10,20,10,20,4,0.18518518518518517,0.09259259259259259,0.5,-2.5,0.0,0.0,6.5,17.60000000000001
available,0.05,30,linear,25,115,106,27,13,26,13,27,4,0.25471698113207547,0.12264150943396226,0.48148148148148145,0.0,0.0,0.0,6.0,14.0
available,0.05,30,sine_squared,10,115,108,19,11,19,11,19,4,0.17592592592592593,0.10185185185185185,0.5789473684210527,2.0,3.38883330985862e-05,-0.003878606287544,5.0,15.799999999999994
available,0.05,30,sine_squared,25,115,106,29,15,27,15,29,4,0.27358490566037735,0.14150943396226415,0.5172413793103449,3.0,9.52659180271098e-05,-0.0100017124161411,5.0,14.0
available,0.05,5,linear,10,115,108,29,18,29,18,29,0,0.26851851851851855,0.16666666666666666,0.6206896551724138,-5.0,0.0,0.0,5.0,13.199999999999992
available,0.05,5,linear,25,115,106,3,0,3,0,3,1,0.02830188679245283,0.0,0.0,-9.0,0.0,0.0,9.0,13.0
available,0.05,5,sine_squared,10,115,108,28,18,28,18,28,0,0.25925925925925924,0.16666666666666666,0.6428571428571429,-5.0,0.0,0.0,5.0,14.300000000000008
available,0.05,5,sine_squared,25,115,106,3,0,3,0,3,1,0.02830188679245283,0.0,0.0,-9.0,0.0,0.0,9.0,13.0
available,0.1,15,linear,10,115,108,46,36,42,36,46,1,0.42592592592592593,0.3333333333333333,0.782608695652174,0.0,0.0,0.0,2.0,8.0
available,0.1,15,linear,25,115,106,31,18,31,18,31,1,0.29245283018867924,0.16981132075471697,0.5806451612903226,-5.0,0.0,0.0,5.0,11.0
available,0.1,15,sine_squared,10,115,108,46,37,46,37,46,1,0.42592592592592593,0.3425925925925926,0.8043478260869565,2.0,0.00026780753025845705,-0.02977816133434845,2.5,7.0
available,0.1,15,sine_squared,25,115,106,31,21,31,21,31,2,0.29245283018867924,0.19811320754716982,0.6774193548387096,-5.0,0.0,0.0,5.0,10.0
available,0.1,30,linear,10,115,108,30,20,30,20,30,4,0.2777777777777778,0.18518518518518517,0.6666666666666666,0.0,0.0,0.0,2.0,23.1
available,0.1,30,linear,25,115,106,37,23,32,23,37,1,0.3490566037735849,0.2169811320754717,0.6216216216216216,0.0,0.0,0.0,3.0,14.0
available,0.1,30,sine_squared,10,115,108,28,18,28,18,28,4,0.25925925925925924,0.16666666666666666,0.6428571428571429,3.0,0.000185778753406418,-0.020445395075197048,4.5,14.600000000000009
available,0.1,30,sine_squared,25,115,106,37,23,34,23,37,1,0.3490566037735849,0.2169811320754717,0.6216216216216216,3.0,0.000190581027590619,-0.0209783178496847,4.0,13.0
available,0.1,5,linear,10,115,108,45,35,44,35,45,0,0.4166666666666667,0.32407407407407407,0.7777777777777778,-4.0,0.0,0.0,4.0,8.0
