Status,OnsetFrame,BestCandidateFrame,FitStartFrame,FitEndFrame,ScoreImprovement,ProfileStartFrame,ProfileEndFrame,ProfileSpanSec,BaselineSlopePerSecOverFitMedian,PostSlopePerSecOverFitMedian,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,Session,EventRow,LocalRow,Context,NativeStartFrame,NativeEndFrame
recording_boundary_unresolved,NaN,NaN,-57,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,1,2,fixed,3,14
insufficient_clean_context,NaN,NaN,1,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,1,2,available,3,14
recording_boundary_unresolved,NaN,NaN,-53,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,2,5,fixed,7,18
insufficient_clean_context,NaN,NaN,1,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,2,5,available,7,18
recording_boundary_unresolved,NaN,NaN,-33,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,3,8,fixed,27,36
insufficient_improvement,NaN,26,1,31,0.450329495373411,21,27,6,-0.00247299632969747,0.00346566224428833,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,3,8,available,27,36
recording_boundary_unresolved,NaN,NaN,-5,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,4,11,fixed,55,71
insufficient_clean_context,NaN,NaN,52,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,4,11,available,55,71
recording_boundary_unresolved,NaN,NaN,-2,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,5,14,fixed,58,67
insufficient_clean_context,NaN,NaN,40,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,5,14,available,58,67
recording_boundary_unresolved,NaN,NaN,-1,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,6,17,fixed,59,74
resolved,37,37,1,63,33.1211086712608,33,39,6,-0.000592677844839393,0.00789937190399304,17,36,47.3480692076229,0.182857484823177,provisional_valid,M400-01-baseline-awake,6,17,available,59,74
overlapping_detection_in_fit,NaN,NaN,5,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,7,20,fixed,65,83
insufficient_clean_context,NaN,NaN,59,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,7,20,available,65,83
