Session,Context,AmplitudeFraction,RiseFrames,Shape,DelayFrames,Planned,Constructible,Resolved,WithinFiveSec,BaselineUnderOnePercent,WithinFiveSecAndClean,AvailableAmplitudes,SameOnsetAsControl,ResolvedFraction,WithinFiveSecFractionAll,WithinFiveSecFractionResolved,MedianOnsetErrorSec,MedianBaselineImposedFraction,MedianBaselineEffectPP,MedianAbsoluteErrorSec,P90AbsoluteErrorSec
FB2312-baseline-awake,available,0.02,15,linear,10,40,37,3,2,3,2,3,1,0.08108108108108109,0.05405405405405406,0.6666666666666666,0.0,0.0,0.0,0.0,11.200000000000001
FB2312-baseline-awake,available,0.02,15,linear,25,40,36,3,2,3,2,3,1,0.08333333333333333,0.05555555555555555,0.6666666666666666,-4.0,0.0,0.0,4.0,12.0
FB2312-baseline-awake,available,0.02,15,sine_squared,10,40,37,4,3,4,3,4,1,0.10810810810810811,0.08108108108108109,0.75,-2.5,0.0,0.0,2.5,11.3
FB2312-baseline-awake,available,0.02,15,sine_squared,25,40,36,3,2,3,2,3,1,0.08333333333333333,0.05555555555555555,0.6666666666666666,-4.0,0.0,0.0,4.0,12.0
FB2312-baseline-awake,available,0.02,30,linear,10,40,37,3,1,3,1,3,1,0.08108108108108109,0.02702702702702703,0.3333333333333333,-17.0,0.0,0.0,17.0,17.8
FB2312-baseline-awake,available,0.02,30,linear,25,40,36,4,2,4,2,4,1,0.1111111111111111,0.05555555555555555,0.5,5.5,0.001721108788208525,-0.1932226348799305,8.5,14.7
FB2312-baseline-awake,available,0.02,30,sine_squared,10,40,37,3,1,3,1,3,1,0.08108108108108109,0.02702702702702703,0.3333333333333333,-17.0,0.0,0.0,17.0,17.8
FB2312-baseline-awake,available,0.02,30,sine_squared,25,40,36,5,3,5,3,5,0,0.1388888888888889,0.08333333333333333,0.6,2.0,1.3542046215953e-05,-0.00139715800404616,2.0,14.0
FB2312-baseline-awake,available,0.02,5,linear,10,40,37,4,2,4,2,4,0,0.10810810810810811,0.05405405405405406,0.5,-5.5,0.0,0.0,5.5,12.8
FB2312-baseline-awake,available,0.02,5,linear,25,40,36,2,0,1,0,2,0,0.05555555555555555,0.0,0.0,1.0,0.00590903820999235,-0.64389523030861,13.0,13.8
FB2312-baseline-awake,available,0.02,5,sine_squared,10,40,37,4,2,4,2,4,0,0.10810810810810811,0.05405405405405406,0.5,-5.5,0.0,0.0,5.5,12.8
FB2312-baseline-awake,available,0.02,5,sine_squared,25,40,36,2,0,1,0,2,0,0.05555555555555555,0.0,0.0,1.0,0.00591303577700185,-0.642984360549525,13.0,13.8
FB2312-baseline-awake,available,0.05,15,linear,10,40,37,10,7,10,7,10,1,0.2702702702702703,0.1891891891891892,0.7,0.0,0.0,0.0,3.0,9.799999999999994
FB2312-baseline-awake,available,0.05,15,linear,25,40,36,7,3,5,3,7,1,0.19444444444444445,0.08333333333333333,0.42857142857142855,-4.0,0.0,0.0,12.0,13.4
FB2312-baseline-awake,available,0.05,15,sine_squared,10,40,37,12,10,12,10,12,1,0.32432432432432434,0.2702702702702703,0.8333333333333334,0.5,1.354673817666185e-05,-0.001417644408474585,3.5,7.700000000000001
FB2312-baseline-awake,available,0.05,15,sine_squared,25,40,36,7,3,6,3,7,1,0.19444444444444445,0.08333333333333333,0.42857142857142855,-4.0,0.0,0.0,12.0,14.0
FB2312-baseline-awake,available,0.05,30,linear,10,40,37,5,3,5,3,5,1,0.13513513513513514,0.08108108108108109,0.6,-5.0,0.0,0.0,5.0,11.600000000000001
FB2312-baseline-awake,available,0.05,30,linear,25,40,36,7,3,7,3,7,0,0.19444444444444445,0.08333333333333333,0.42857142857142855,-2.0,0.0,0.0,12.0,14.0
FB2312-baseline-awake,available,0.05,30,sine_squared,10,40,37,5,3,5,3,5,1,0.13513513513513514,0.08108108108108109,0.6,0.0,0.0,0.0,4.0,12.0
FB2312-baseline-awake,available,0.05,30,sine_squared,25,40,36,9,4,8,4,9,0,0.25,0.1111111111111111,0.4444444444444444,0.0,0.0,0.0,11.0,14.600000000000001
FB2312-baseline-awake,available,0.05,5,linear,10,40,37,10,8,10,8,10,0,0.2702702702702703,0.21621621621621623,0.8,-2.5,0.0,0.0,2.5,7.1
FB2312-baseline-awake,available,0.05,5,linear,25,40,36,0,0,0,0,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan
FB2312-baseline-awake,available,0.05,5,sine_squared,10,40,37,10,8,10,8,10,0,0.2702702702702703,0.21621621621621623,0.8,-2.5,0.0,0.0,2.5,7.1
FB2312-baseline-awake,available,0.05,5,sine_squared,25,40,36,0,0,0,0,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan
FB2312-baseline-awake,available,0.1,15,linear,10,40,37,18,16,16,16,18,1,0.4864864864864865,0.43243243243243246,0.8888888888888888,0.0,0.0,0.0,1.5,5.900000000000002
FB2312-baseline-awake,available,0.1,15,linear,25,40,36,11,6,11,6,11,0,0.3055555555555556,0.16666666666666666,0.5454545454545454,-5.0,0.0,0.0,5.0,11.0
FB2312-baseline-awake,available,0.1,15,sine_squared,10,40,37,19,17,19,17,19,1,0.5135135135135135,0.4594594594594595,0.8947368421052632,2.0,0.000257962444719873,-0.0294584392152242,2.0,4.599999999999998
FB2312-baseline-awake,available,0.1,15,sine_squared,25,40,36,11,7,11,7,11,1,0.3055555555555556,0.19444444444444445,0.6363636363636364,-4.0,0.0,0.0,4.0,11.0
FB2312-baseline-awake,available,0.1,30,linear,10,40,37,10,7,10,7,10,1,0.2702702702702703,0.1891891891891892,0.7,0.0,0.0,0.0,3.0,9.799999999999994
