Session,Case,EventType,PreviousRuns,CurrentRuns,PreviousSites,CurrentSites,PreviousFiniteAmplitudes,CurrentFiniteAmplitudes,PreviousCloseRuns,CurrentCloseRuns
M400-01-baseline-awake,control,sink,196,196,56,56,97,105,104,104
M400-01-baseline-awake,control,surge,40,32,14,27,19,19,9,2
M400-01-baseline-awake,smooth_pairs,sink,192,192,58,58,93,101,98,98
M400-01-baseline-awake,smooth_pairs,surge,45,40,14,32,16,21,13,2
M400-01-baseline-awake,single_clean,sink,191,191,56,56,93,101,101,101
M400-01-baseline-awake,single_clean,surge,38,33,12,28,17,19,11,2
M400-01-baseline-awake,single_noise,sink,195,195,57,57,97,105,100,100
M400-01-baseline-awake,single_noise,surge,38,32,12,28,17,19,11,0
M401-01-baseline-awake,control,sink,137,137,50,50,70,69,72,72
M401-01-baseline-awake,control,surge,1,4,1,4,0,3,0,0
M401-01-baseline-awake,smooth_pairs,sink,123,123,44,44,55,54,66,66
M401-01-baseline-awake,smooth_pairs,surge,12,15,4,8,2,5,5,5
M401-01-baseline-awake,single_clean,sink,120,120,46,46,60,59,64,64
M401-01-baseline-awake,single_clean,surge,6,10,2,8,2,5,5,2
M401-01-baseline-awake,single_noise,sink,119,119,39,39,60,58,64,64
M401-01-baseline-awake,single_noise,surge,4,11,3,8,3,5,0,3
FB2411,control,sink,34,34,19,19,23,20,17,17
FB2411,control,surge,1,6,1,6,0,2,0,0
FB2411,smooth_pairs,sink,11,11,4,4,3,4,4,4
FB2411,smooth_pairs,surge,8,11,3,9,0,3,4,2
FB2411,single_clean,sink,12,12,8,8,7,6,4,4
FB2411,single_clean,surge,7,9,4,8,1,4,4,0
FB2411,single_noise,sink,13,13,7,7,8,7,6,6
FB2411,single_noise,surge,6,7,4,6,1,3,2,0
FB2312-baseline-awake,control,sink,366,366,63,63,169,173,241,241
FB2312-baseline-awake,control,surge,58,35,19,16,28,16,10,6
