Stage,TruthRow,FramesWithIntersection,InjectedVolumeCoverage,IntersectingRuns,LongestConsecutiveIntersectionFrames,RowAndNativeBounds
percentile_only,1,15,0.569573835480674,1,15,1:1-600;
percentile_only,2,14,0.654212091179386,1,14,1:1-600;
percentile_only,3,14,0.642220019821606,1,14,1:1-600;
percentile_only,4,16,0.6298810703667,1,16,1:1-600;
percentile_only,5,14,0.592517343904856,1,14,1:1-600;
percentile_only,6,15,0.650198216055501,1,15,1:1-600;
physical_area_only,1,12,0.554757185332012,1,12,1:1-600;
physical_area_only,2,13,0.638899900891972,1,13,1:1-600;
physical_area_only,3,14,0.64217046580773,1,14,1:1-600;
physical_area_only,4,14,0.627998017839445,1,14,1:1-600;
physical_area_only,5,12,0.585084241823588,1,12,1:1-600;
physical_area_only,6,13,0.638453914767096,1,13,1:1-600;
candidate_geometry_tissue,1,12,0.554757185332012,1,12,1:1-220;
candidate_geometry_tissue,2,13,0.638899900891972,1,13,1:1-220;
candidate_geometry_tissue,3,12,0.551090188305253,1,6,1:1-220;
candidate_geometry_tissue,4,13,0.577998017839445,1,7,1:1-220;
candidate_geometry_tissue,5,10,0.485133795837463,1,9,1:1-220;
candidate_geometry_tissue,6,13,0.638453914767096,1,13,1:224-600;
adjacent_tracks_before_duration,1,12,0.554757185332012,2,11,215:46-46;220:47-57;
adjacent_tracks_before_duration,2,13,0.638899900891972,1,13,329:70-82;
adjacent_tracks_before_duration,3,12,0.551090188305253,5,6,519:114-114;522:115-117;530:118-118;537:120-125;577:127-127;
adjacent_tracks_before_duration,4,13,0.577998017839445,5,6,726:149-149;727:149-149;730:150-154;756:156-161;790:162-162;
adjacent_tracks_before_duration,5,10,0.485133795837463,3,8,992:200-200;997:201-208;1060:211-211;
adjacent_tracks_before_duration,6,13,0.638453914767096,2,12,1218:250-250;1221:251-262;
ten_second_duration,1,11,0.533597621407334,1,11,4:47-57;
ten_second_duration,2,13,0.638899900891972,1,13,8:70-82;
ten_second_duration,3,0,0,0,0,
ten_second_duration,4,0,0,0,0,
ten_second_duration,5,0,0,0,0,
ten_second_duration,6,12,0.590237859266601,1,12,27:251-262;
recurring_sites,1,11,0.533597621407334,1,11,4:47-57;
recurring_sites,2,13,0.638899900891972,1,13,8:70-82;
recurring_sites,3,0,0,0,0,
recurring_sites,4,0,0,0,0,
recurring_sites,5,0,0,0,0,
recurring_sites,6,12,0.590237859266601,1,12,22:251-262;
