Status,OnsetFrame,BestCandidateFrame,FitStartFrame,FitEndFrame,ScoreImprovement,ProfileStartFrame,ProfileEndFrame,ProfileSpanSec,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,Context,AmplitudeFraction,RiseFrames,Shape,DelayFrames,TruthOnsetFrame,OnsetErrorSec,WithinFiveSec,PosthocCalibration,TemplateRiseSec,TemplatePlateauSec,TemplateRecoverySec,TemplateShape,PulseCoefficientOverFitMedian
resolved,110,110,60,124,2290.90908757999,110,110,0,90,109,100,0.02,provisional_valid,pulse,0.02,5,linear,10,110,0,1,0,5,10,2,linear,0.02
resolved,95,95,60,124,2306.46769959965,95,95,0,75,94,100,0.016,provisional_valid,pulse,0.02,5,linear,25,95,0,1,0,5,20,5,linear,0.02
resolved,110,110,60,124,2293.17065903482,110,110,0,90,109,100,0.02,provisional_valid,pulse,0.02,5,sine_squared,10,110,0,1,0,5,10,2,sine_squared,0.02
resolved,95,95,60,124,2310.21966880534,95,95,0,75,94,100,0.0180901699437495,provisional_valid,pulse,0.02,5,sine_squared,25,95,0,1,0,5,20,5,sine_squared,0.0199999999999999
resolved,110,110,60,124,2249.09544823461,110,110,0,90,109,100,0.02,provisional_valid,pulse,0.02,15,linear,10,110,0,1,0,15,0,2,linear,0.0199999999999999
resolved,95,95,60,124,2252.47461042108,95,95,0,75,94,100,0.02,provisional_valid,pulse,0.02,15,linear,25,95,0,1,0,15,20,2,linear,0.0199999999999999
resolved,110,110,60,124,2262.0505435342,110,110,0,90,109,100,0.02,provisional_valid,pulse,0.02,15,sine_squared,10,110,0,1,0,15,0,2,sine_squared,0.0199999999999999
resolved,95,95,60,124,2262.95483085324,95,95,0,75,94,100,0.02,provisional_valid,pulse,0.02,15,sine_squared,25,95,0,1,0,15,20,2,sine_squared,0.0199999999999999
resolved,110,110,60,124,2158.98631476181,110,110,0,90,109,100,0.02,provisional_valid,pulse,0.02,30,linear,10,110,0,1,0,15,0,2,linear,0.00999999999999998
resolved,95,95,60,124,2220.60759684511,95,95,0,75,94,100,0.02,provisional_valid,pulse,0.02,30,linear,25,95,0,1,0,30,0,2,linear,0.0199999999999999
resolved,110,110,60,124,2149.85031300367,110,110,0,90,109,100,0.02,provisional_valid,pulse,0.02,30,sine_squared,10,110,0,1,0,30,0,2,sine_squared,0.0199999999999999
resolved,95,95,60,124,2245.84370621895,95,95,0,75,94,100,0.02,provisional_valid,pulse,0.02,30,sine_squared,25,95,0,1,0,30,0,2,sine_squared,0.0199999999999999
resolved,110,110,60,124,2410.02688272363,110,110,0,90,109,100,0.05,provisional_valid,pulse,0.05,5,linear,10,110,0,1,0,5,10,2,linear,0.05
resolved,95,95,60,124,2425.58549474329,95,95,0,75,94,100,0.04,provisional_valid,pulse,0.05,5,linear,25,95,0,1,0,5,20,5,linear,0.0500000000000001
resolved,110,110,60,124,2412.28845417846,110,110,0,90,109,100,0.05,provisional_valid,pulse,0.05,5,sine_squared,10,110,0,1,0,5,10,2,sine_squared,0.05
resolved,95,95,60,124,2429.33746394898,95,95,0,75,94,100,0.0452254248593738,provisional_valid,pulse,0.05,5,sine_squared,25,95,0,1,0,5,20,5,sine_squared,0.05
resolved,110,110,60,124,2368.21324337825,110,110,0,90,109,100,0.05,provisional_valid,pulse,0.05,15,linear,10,110,0,1,0,15,0,2,linear,0.05
resolved,95,95,60,124,2371.59240556472,95,95,0,75,94,100,0.05,provisional_valid,pulse,0.05,15,linear,25,95,0,1,0,15,20,2,linear,0.0499999999999999
resolved,110,110,60,124,2381.16833867784,110,110,0,90,109,100,0.05,provisional_valid,pulse,0.05,15,sine_squared,10,110,0,1,0,15,0,2,sine_squared,0.05
resolved,95,95,60,124,2382.07262599688,95,95,0,75,94,100,0.05,provisional_valid,pulse,0.05,15,sine_squared,25,95,0,1,0,15,20,2,sine_squared,0.0499999999999999
resolved,110,110,60,124,2278.10410990545,110,110,0,90,109,100,0.05,provisional_valid,pulse,0.05,30,linear,10,110,0,1,0,15,0,2,linear,0.0249999999999999
resolved,95,95,60,124,2339.72539198875,95,95,0,75,94,100,0.05,provisional_valid,pulse,0.05,30,linear,25,95,0,1,0,30,0,2,linear,0.0499999999999999
resolved,110,110,60,124,2268.96810814731,110,110,0,90,109,100,0.05,provisional_valid,pulse,0.05,30,sine_squared,10,110,0,1,0,30,0,2,sine_squared,0.0499999999999998
resolved,95,95,60,124,2364.96150136259,95,95,0,75,94,100,0.05,provisional_valid,pulse,0.05,30,sine_squared,25,95,0,1,0,30,0,2,sine_squared,0.0499999999999999
resolved,110,110,60,124,2500.13601619642,110,110,0,90,109,100,0.1,provisional_valid,pulse,0.1,5,linear,10,110,0,1,0,5,10,2,linear,0.1
resolved,95,95,60,124,2515.69462821608,95,95,0,75,94,100,0.0800000000000001,provisional_valid,pulse,0.1,5,linear,25,95,0,1,0,5,20,5,linear,0.1
