Session,EventRow,AmplitudeFraction,RiseFrames,Shape,DelayFrames,Constructible,PreviousStatus,PulseStatus,PreviousErrorSec,PulseErrorSec,PreviousWithinFiveSec,PulseWithinFiveSec
M400-01-baseline-awake,1,0.02,5,linear,10,0,construction_unavailable,construction_unavailable,NaN,NaN,0,0
M400-01-baseline-awake,1,0.02,5,linear,25,0,construction_unavailable,construction_unavailable,NaN,NaN,0,0
M400-01-baseline-awake,1,0.02,5,sine_squared,10,0,construction_unavailable,construction_unavailable,NaN,NaN,0,0
M400-01-baseline-awake,1,0.02,5,sine_squared,25,0,construction_unavailable,construction_unavailable,NaN,NaN,0,0
M400-01-baseline-awake,1,0.02,15,linear,10,0,construction_unavailable,construction_unavailable,NaN,NaN,0,0
M400-01-baseline-awake,1,0.02,15,linear,25,0,construction_unavailable,construction_unavailable,NaN,NaN,0,0
M400-01-baseline-awake,1,0.02,15,sine_squared,10,0,construction_unavailable,construction_unavailable,NaN,NaN,0,0
M400-01-baseline-awake,1,0.02,15,sine_squared,25,0,construction_unavailable,construction_unavailable,NaN,NaN,0,0
M400-01-baseline-awake,1,0.02,30,linear,10,0,construction_unavailable,construction_unavailable,NaN,NaN,0,0
M400-01-baseline-awake,1,0.02,30,linear,25,0,construction_unavailable,construction_unavailable,NaN,NaN,0,0
M400-01-baseline-awake,1,0.02,30,sine_squared,10,0,construction_unavailable,construction_unavailable,NaN,NaN,0,0
M400-01-baseline-awake,1,0.02,30,sine_squared,25,0,construction_unavailable,construction_unavailable,NaN,NaN,0,0
M400-01-baseline-awake,1,0.05,5,linear,10,0,construction_unavailable,construction_unavailable,NaN,NaN,0,0
M400-01-baseline-awake,1,0.05,5,linear,25,0,construction_unavailable,construction_unavailable,NaN,NaN,0,0
M400-01-baseline-awake,1,0.05,5,sine_squared,10,0,construction_unavailable,construction_unavailable,NaN,NaN,0,0
M400-01-baseline-awake,1,0.05,5,sine_squared,25,0,construction_unavailable,construction_unavailable,NaN,NaN,0,0
M400-01-baseline-awake,1,0.05,15,linear,10,0,construction_unavailable,construction_unavailable,NaN,NaN,0,0
