Status,OnsetFrame,BestCandidateFrame,FitStartFrame,FitEndFrame,ScoreImprovement,ProfileStartFrame,ProfileEndFrame,ProfileSpanSec,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,Session,EventRow,LocalRow,Context,NativeStartFrame,NativeEndFrame,TemplateRiseSec,TemplatePlateauSec,TemplateRecoverySec,TemplateShape,PulseCoefficientOverFitMedian
insufficient_clean_context,NaN,NaN,1,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,1,2,pulse,3,14,NaN,NaN,NaN,unassessed,NaN
insufficient_clean_context,NaN,NaN,1,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,2,5,pulse,7,18,NaN,NaN,NaN,unassessed,NaN
insufficient_improvement,NaN,27,1,31,-10.2920985902096,21,27,6,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,3,8,pulse,27,36,2,5,2,linear,0.0285848349894939
insufficient_clean_context,NaN,NaN,52,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,4,11,pulse,55,71,NaN,NaN,NaN,unassessed,NaN
insufficient_clean_context,NaN,NaN,40,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,5,14,pulse,58,67,NaN,NaN,NaN,unassessed,NaN
resolved,45,45,1,63,51.5920009108796,43,45,2,25,44,47.3040120361083,0.183959153642438,provisional_valid,M400-01-baseline-awake,6,17,pulse,59,74,2,20,2,linear,0.165284288871807
insufficient_clean_context,NaN,NaN,59,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,7,20,pulse,65,83,NaN,NaN,NaN,unassessed,NaN
insufficient_clean_context,NaN,NaN,209,214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,8,23,pulse,210,219,NaN,NaN,NaN,unassessed,NaN
insufficient_improvement,NaN,38,9,70,7.61030160454989,29,40,11,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,9,26,pulse,66,76,45,0,2,linear,0.09356235472463
insufficient_clean_context,NaN,NaN,77,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,10,29,pulse,77,87,NaN,NaN,NaN,unassessed,NaN
insufficient_improvement,NaN,88,68,110,-18.6806460115203,88,106,18,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,11,32,pulse,106,115,5,0,15,sine_squared,0.00863637286306478
insufficient_clean_context,NaN,NaN,106,110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,12,35,pulse,106,115,NaN,NaN,NaN,unassessed,NaN
insufficient_clean_context,NaN,NaN,127,131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,13,38,pulse,127,145,NaN,NaN,NaN,unassessed,NaN
insufficient_clean_context,NaN,NaN,116,131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,14,41,pulse,127,152,NaN,NaN,NaN,unassessed,NaN
insufficient_clean_context,NaN,NaN,130,137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,15,44,pulse,133,145,NaN,NaN,NaN,unassessed,NaN
insufficient_improvement,NaN,114,85,145,-12.0331775624805,109,123,14,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,16,47,pulse,141,156,15,20,2,linear,0.0246125176398571
insufficient_clean_context,NaN,NaN,144,148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,17,50,pulse,144,155,NaN,NaN,NaN,unassessed,NaN
insufficient_clean_context,NaN,NaN,156,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,18,53,pulse,156,169,NaN,NaN,NaN,unassessed,NaN
insufficient_improvement,NaN,361,341,367,-6.2697580444621,361,363,2,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,19,56,pulse,363,388,5,0,5,linear,0.0466157809977788
insufficient_clean_context,NaN,NaN,149,162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,20,59,pulse,158,187,NaN,NaN,NaN,unassessed,NaN
insufficient_clean_context,NaN,NaN,188,193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,21,62,pulse,189,210,NaN,NaN,NaN,unassessed,NaN
insufficient_clean_context,NaN,NaN,211,231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,22,65,pulse,227,240,NaN,NaN,NaN,unassessed,NaN
insufficient_clean_context,NaN,NaN,153,165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,23,68,pulse,161,179,NaN,NaN,NaN,unassessed,NaN
insufficient_clean_context,NaN,NaN,152,173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,24,71,pulse,169,186,NaN,NaN,NaN,unassessed,NaN
insufficient_clean_context,NaN,NaN,194,201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,25,74,pulse,197,206,NaN,NaN,NaN,unassessed,NaN
insufficient_improvement,NaN,320,297,328,-8.66179807394822,317,323,6,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,26,77,pulse,324,334,5,5,2,linear,0.0321602274121726
insufficient_clean_context,NaN,NaN,532,538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,27,80,pulse,534,543,NaN,NaN,NaN,unassessed,NaN
insufficient_improvement,NaN,164,114,178,-15.9911569327556,155,168,13,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,28,83,pulse,174,185,2,10,10,linear,0.102312056558261
insufficient_improvement,NaN,407,386,450,0.26166785315931,406,409,3,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,29,86,pulse,446,456,45,0,2,linear,0.665412568550642
insufficient_improvement,NaN,166,136,200,-14.997143647507,162,170,8,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,30,89,pulse,196,206,2,10,20,sine_squared,0.0224275547422781
insufficient_improvement,NaN,208,185,213,6.83110678030823,208,208,0,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,31,92,pulse,209,219,2,5,2,linear,0.0502492358972978
insufficient_improvement,NaN,224,181,245,0.275350192508533,224,226,2,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,32,95,pulse,241,251,5,20,2,linear,0.0402540236270301
insufficient_improvement,NaN,240,219,245,-15.1977610933125,239,241,2,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,33,98,pulse,241,254,5,5,2,sine_squared,0.0319431908147172
insufficient_clean_context,NaN,NaN,220,245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,34,101,pulse,241,252,NaN,NaN,NaN,unassessed,NaN
insufficient_improvement,NaN,240,220,246,-17.860583027304,240,242,2,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,35,104,pulse,242,253,2,0,2,linear,0.00117557777906478
