Session,Case,nativeRetainedRuns,nativeSource1Coverage,nativeSource1ContributionFraction,nativeSource1FragmentRuns,nativeSource2Coverage,nativeSource2ContributionFraction,nativeSource2FragmentRuns,partitionRetainedRuns,partitionSource1Coverage,partitionSource1ContributionFraction,partitionSource1FragmentRuns,partitionSource2Coverage,partitionSource2ContributionFraction,partitionSource2FragmentRuns
M400-01-baseline-awake,separate_pair,47,0.125328907462307,1,1,0.0905318853776367,1,0,53,0.503880076278348,0.999767580534734,2,0.496177127661062,0.998485757739468,1
M400-01-baseline-awake,approach_pair,46,0.76006136480807,0.536420471085852,1,0.000446580813145857,1,1,50,0.172648350737964,0.955010305560605,2,0.603443230204307,0.465167894838373,2
M400-01-baseline-awake,crossing_pair,47,0.793478619619895,0.564051014232166,1,0,NaN,1,50,0.818392213292391,0.579533357969827,1,0,NaN,1
M400-01-baseline-awake,single_expanding,49,0.844439514584525,1,1,,,,51,0.844439514584525,1,1,,,
M401-01-baseline-awake,separate_pair,10,0.174163776402698,0.999773388785964,1,0,NaN,0,11,0.776623160693068,0.999349139490713,1,0.663126256830367,0.999296457016899,1
M401-01-baseline-awake,approach_pair,10,0.738741398974919,0.565068222113299,1,0,NaN,1,10,0.738741398974919,0.565068222113299,1,0,NaN,1
M401-01-baseline-awake,crossing_pair,10,0.0330900411635505,0.990865367160969,1,0.774868308589719,0.438383325241219,1,10,0.0330900411635505,0.990865367160969,1,0.774868308589719,0.438383325241219,1
M401-01-baseline-awake,single_expanding,10,0.833960402826768,1,1,,,,10,0.833960402826768,1,1,,,
FB2312-baseline-awake,separate_pair,42,0.263160585549775,0.999744405370122,2,0.245068997428923,0.998924664496814,2,43,0.263160585549775,0.999744405370122,2,0.245068997428923,0.998924664496814,2
FB2312-baseline-awake,approach_pair,40,0.337701021734235,0.502635393144062,2,0.256594263551459,0.555903488292664,2,41,0.337701021734235,0.502635393144062,2,0.256594263551459,0.555903488292664,2
FB2312-baseline-awake,crossing_pair,40,0.393394797133786,0.606695339779958,2,0.228885458324826,0.492670543733645,2,41,0.393394797133786,0.606695339779958,2,0.228885458324826,0.492670543733645,2
FB2312-baseline-awake,single_expanding,40,0.311073151458657,1,2,,,,41,0.311073151458657,1,2,,,
FB2411,separate_pair,6,0,NaN,0,0,NaN,0,6,0,NaN,0,0,NaN,0
FB2411,approach_pair,9,0,NaN,0,0,NaN,0,9,0,NaN,0,0,NaN,0
FB2411,crossing_pair,7,0,NaN,0,0,NaN,0,7,0,NaN,0,0,NaN,0
FB2411,single_expanding,5,0,NaN,0,,,,5,0,NaN,0,,,
