Session,Case,SupportState,Outcome,Frames
FB2312-baseline-awake,approach_pair,one_or_both_recipe_peaks_outside_admitted_candidates,,48
FB2312-baseline-awake,approach_pair,recipe_peaks_in_one_native_candidate,insufficient_history,4
FB2312-baseline-awake,approach_pair,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,24
FB2312-baseline-awake,approach_pair,recipe_peaks_in_separate_native_candidates,,4
FB2312-baseline-awake,crossing_pair,one_or_both_recipe_peaks_outside_admitted_candidates,,43
FB2312-baseline-awake,crossing_pair,recipe_peaks_in_one_native_candidate,insufficient_history,5
FB2312-baseline-awake,crossing_pair,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,31
FB2312-baseline-awake,crossing_pair,recipe_peaks_in_separate_native_candidates,,1
FB2312-baseline-awake,separate_pair,one_or_both_recipe_peaks_outside_admitted_candidates,,49
FB2312-baseline-awake,separate_pair,recipe_peaks_in_one_native_candidate,insufficient_history,1
FB2312-baseline-awake,separate_pair,recipe_peaks_in_separate_native_candidates,,30
FB2411,approach_pair,one_or_both_recipe_peaks_outside_admitted_candidates,,76
FB2411,approach_pair,recipe_peaks_in_separate_native_candidates,,4
FB2411,crossing_pair,one_or_both_recipe_peaks_outside_admitted_candidates,,76
FB2411,crossing_pair,recipe_peaks_in_one_native_candidate,insufficient_history,1
FB2411,crossing_pair,recipe_peaks_in_separate_native_candidates,,3
FB2411,separate_pair,one_or_both_recipe_peaks_outside_admitted_candidates,,76
FB2411,separate_pair,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,4
M400-01-baseline-awake,approach_pair,one_or_both_recipe_peaks_outside_admitted_candidates,,27
M400-01-baseline-awake,approach_pair,recipe_peaks_in_one_native_candidate,insufficient_history,4
M400-01-baseline-awake,approach_pair,recipe_peaks_in_one_native_candidate,insufficient_saddle_drop,1
M400-01-baseline-awake,approach_pair,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,25
M400-01-baseline-awake,approach_pair,recipe_peaks_in_one_native_candidate,split_applied,10
M400-01-baseline-awake,approach_pair,recipe_peaks_in_separate_native_candidates,,13
M400-01-baseline-awake,crossing_pair,one_or_both_recipe_peaks_outside_admitted_candidates,,28
M400-01-baseline-awake,crossing_pair,recipe_peaks_in_one_native_candidate,insufficient_history,1
M400-01-baseline-awake,crossing_pair,recipe_peaks_in_one_native_candidate,insufficient_previous_coverage,1
M400-01-baseline-awake,crossing_pair,recipe_peaks_in_one_native_candidate,markers_too_close,1
M400-01-baseline-awake,crossing_pair,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,35
M400-01-baseline-awake,crossing_pair,recipe_peaks_in_one_native_candidate,split_applied,4
M400-01-baseline-awake,crossing_pair,recipe_peaks_in_separate_native_candidates,,10
M400-01-baseline-awake,separate_pair,one_or_both_recipe_peaks_outside_admitted_candidates,,33
M400-01-baseline-awake,separate_pair,recipe_peaks_in_one_native_candidate,insufficient_history,1
M400-01-baseline-awake,separate_pair,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,4
M400-01-baseline-awake,separate_pair,recipe_peaks_in_one_native_candidate,split_applied,16
M400-01-baseline-awake,separate_pair,recipe_peaks_in_separate_native_candidates,,26
M401-01-baseline-awake,approach_pair,one_or_both_recipe_peaks_outside_admitted_candidates,,32
M401-01-baseline-awake,approach_pair,recipe_peaks_in_one_native_candidate,insufficient_history,3
M401-01-baseline-awake,approach_pair,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,37
M401-01-baseline-awake,approach_pair,recipe_peaks_in_separate_native_candidates,,8
M401-01-baseline-awake,crossing_pair,one_or_both_recipe_peaks_outside_admitted_candidates,,32
M401-01-baseline-awake,crossing_pair,recipe_peaks_in_one_native_candidate,insufficient_history,3
M401-01-baseline-awake,crossing_pair,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,39
M401-01-baseline-awake,crossing_pair,recipe_peaks_in_separate_native_candidates,,6
M401-01-baseline-awake,separate_pair,one_or_both_recipe_peaks_outside_admitted_candidates,,34
M401-01-baseline-awake,separate_pair,recipe_peaks_in_one_native_candidate,insufficient_history,1
M401-01-baseline-awake,separate_pair,recipe_peaks_in_one_native_candidate,split_applied,16
M401-01-baseline-awake,separate_pair,recipe_peaks_in_separate_native_candidates,,29
