Session,Case,Frame,RecipePeak1Parent,RecipePeak2Parent,SupportState,Outcome,PreviousCandidates,MinimumPreviousHistoryFrames,MarkerDistanceUm,SaddleDropFraction
M400-01-baseline-awake,separate_pair,101,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,102,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,103,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,104,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,105,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,106,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,107,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,108,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,109,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,110,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,111,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,112,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,113,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,114,5,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,115,2,4,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,116,3,6,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,117,2,5,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,118,1,4,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,119,1,5,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,120,1,5,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,121,2,5,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,122,4,8,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,123,4,5,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,124,4,5,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,125,5,7,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,126,5,8,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,127,5,7,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,128,4,4,recipe_peaks_in_one_native_candidate,insufficient_history,2,1,NaN,NaN
M400-01-baseline-awake,separate_pair,129,4,6,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,130,1,6,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,131,1,1,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,3,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,132,3,3,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,133,5,7,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,134,7,10,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,135,7,8,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,136,7,8,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,137,9,10,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,138,5,8,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,139,3,3,recipe_peaks_in_one_native_candidate,split_applied,2,6,313.535982783476,0.977395630333044
M400-01-baseline-awake,separate_pair,140,2,2,recipe_peaks_in_one_native_candidate,split_applied,2,7,313.535982783476,0.991832736012372
M400-01-baseline-awake,separate_pair,141,3,7,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,142,5,7,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,143,4,4,recipe_peaks_in_one_native_candidate,split_applied,2,10,342.527371169079,0.956811877343922
M400-01-baseline-awake,separate_pair,144,2,2,recipe_peaks_in_one_native_candidate,split_applied,2,11,342.527371169079,0.930684965585685
M400-01-baseline-awake,separate_pair,145,3,3,recipe_peaks_in_one_native_candidate,split_applied,2,12,347.562404468608,0.936062892647766
M400-01-baseline-awake,separate_pair,146,3,3,recipe_peaks_in_one_native_candidate,split_applied,2,13,332.5,0.932411020355869
M400-01-baseline-awake,separate_pair,147,3,3,recipe_peaks_in_one_native_candidate,split_applied,2,14,328.059636346808,0.904758268693795
M400-01-baseline-awake,separate_pair,148,3,3,recipe_peaks_in_one_native_candidate,split_applied,2,15,337.283449045458,0.962294733976286
M400-01-baseline-awake,separate_pair,149,2,4,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,150,3,3,recipe_peaks_in_one_native_candidate,split_applied,2,17,299.400755677069,0.928485693956102
M400-01-baseline-awake,separate_pair,151,1,1,recipe_peaks_in_one_native_candidate,split_applied,2,18,294.653185966146,0.810481029381746
M400-01-baseline-awake,separate_pair,152,1,1,recipe_peaks_in_one_native_candidate,split_applied,2,19,327.887652253024,0.797147896694877
M400-01-baseline-awake,separate_pair,153,3,3,recipe_peaks_in_one_native_candidate,split_applied,2,20,332.5,0.74919261322626
M400-01-baseline-awake,separate_pair,154,2,2,recipe_peaks_in_one_native_candidate,split_applied,2,21,327.784418482636,0.656567577898945
M400-01-baseline-awake,separate_pair,155,3,3,recipe_peaks_in_one_native_candidate,split_applied,2,22,332.63568660022,0.709519849596819
M400-01-baseline-awake,separate_pair,156,6,6,recipe_peaks_in_one_native_candidate,split_applied,2,23,332.63568660022,0.905795228260306
M400-01-baseline-awake,separate_pair,157,3,3,recipe_peaks_in_one_native_candidate,split_applied,2,24,327.887652253024,0.99516765493562
M400-01-baseline-awake,separate_pair,158,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,159,2,2,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,0,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,160,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,161,7,7,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,0,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,162,4,5,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,163,1,3,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,164,0,3,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,165,3,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,166,2,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,167,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,168,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,169,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,170,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,171,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,172,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,173,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,174,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,175,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,176,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,177,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,178,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,179,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,separate_pair,180,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,101,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,102,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,103,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,104,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,105,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,106,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,107,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,108,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,109,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,110,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,111,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,112,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,113,0,0,one_or_both_recipe_peaks_outside_admitted_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,114,5,7,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,115,2,4,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,116,3,6,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,117,2,5,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,118,1,4,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,119,1,5,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,120,2,5,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,121,2,5,recipe_peaks_in_separate_native_candidates,,NaN,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,122,4,4,recipe_peaks_in_one_native_candidate,split_applied,2,5,213.75,0.935966198649011
M400-01-baseline-awake,approach_pair,123,4,4,recipe_peaks_in_one_native_candidate,split_applied,2,6,213.75,0.916094244667996
M400-01-baseline-awake,approach_pair,124,4,4,recipe_peaks_in_one_native_candidate,split_applied,2,7,182.736148585878,0.958101250254773
M400-01-baseline-awake,approach_pair,125,5,5,recipe_peaks_in_one_native_candidate,split_applied,2,8,184.456634470002,0.984726313313343
M400-01-baseline-awake,approach_pair,126,5,5,recipe_peaks_in_one_native_candidate,split_applied,2,9,177.474646076559,0.728549765425504
M400-01-baseline-awake,approach_pair,127,6,6,recipe_peaks_in_one_native_candidate,split_applied,2,10,165.229007743798,0.562850981390758
M400-01-baseline-awake,approach_pair,128,4,4,recipe_peaks_in_one_native_candidate,split_applied,2,11,171.65845449613,0.536809270087357
M400-01-baseline-awake,approach_pair,129,5,5,recipe_peaks_in_one_native_candidate,split_applied,2,12,190.947636801297,0.583877604386237
M400-01-baseline-awake,approach_pair,130,2,2,recipe_peaks_in_one_native_candidate,split_applied,2,13,171.065959501007,0.388077065481218
M400-01-baseline-awake,approach_pair,131,2,2,recipe_peaks_in_one_native_candidate,insufficient_saddle_drop,2,14,133,0.159759584791931
M400-01-baseline-awake,approach_pair,132,4,4,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,133,5,5,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,134,7,7,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,135,5,5,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,136,7,7,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,137,9,9,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,138,6,6,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,139,4,4,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,140,2,2,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,141,3,3,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,142,6,6,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,143,5,5,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,144,3,3,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,145,3,3,recipe_peaks_in_one_native_candidate,split_applied,2,6,390.83004618376,0.962307476198369
M400-01-baseline-awake,approach_pair,146,3,3,recipe_peaks_in_one_native_candidate,insufficient_history,2,1,NaN,NaN
M400-01-baseline-awake,approach_pair,147,4,4,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,148,4,4,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
M400-01-baseline-awake,approach_pair,149,2,2,recipe_peaks_in_one_native_candidate,insufficient_history,2,2,NaN,NaN
M400-01-baseline-awake,approach_pair,150,4,4,recipe_peaks_in_one_native_candidate,not_a_two_parent_contact,1,NaN,NaN,NaN
