RecipeSource,AssignedCandidateRunID,RecipeMassCoverage,RecipeContributionFraction,AllRetainedRecipeMassCoverage,RunsCoveringAtLeastTenPercent,NativeStartFrame,NativeEndFrame,PartitionFrames,PostPartitionContact,Session,Case,Method,Recipe
1,710,0.000336005113969647,0.215593421929125,0.00371319738829494,0,160,169,0,1,M400-01-baseline-awake,source_control,native,separate_pair
2,629,0.0311214530754247,0.895875580924373,0.055742427740385,0,144,155,0,1,M400-01-baseline-awake,source_control,native,separate_pair
1,710,0.000978765137622051,0.282812822416032,0.0225886645788404,0,160,169,0,1,M400-01-baseline-awake,source_control,native,approach_pair
2,629,0.0630575132273365,0.724629951257914,0.0739689598767725,0,144,155,0,1,M400-01-baseline-awake,source_control,native,approach_pair
1,629,0.0657685142418818,0.713752063857158,0.0732653470843667,0,144,155,0,1,M400-01-baseline-awake,source_control,native,crossing_pair
2,710,0.00184185423227136,0.256347024956776,0.0354814708864851,0,160,169,0,1,M400-01-baseline-awake,source_control,native,crossing_pair
1,629,0.0617974882725256,1,0.0686712062769701,0,144,155,0,1,M400-01-baseline-awake,source_control,native,single_expanding
1,709,0.000336005113969647,0.215593421929125,0.00371319738829494,0,160,169,0,1,M400-01-baseline-awake,source_control,partition,separate_pair
2,628,0.0311214530754247,0.895875580924373,0.055742427740385,0,144,155,0,1,M400-01-baseline-awake,source_control,partition,separate_pair
1,709,0.000978765137622051,0.282812822416032,0.0225886645788404,0,160,169,0,1,M400-01-baseline-awake,source_control,partition,approach_pair
2,628,0.0630575132273365,0.724629951257914,0.0739689598767725,0,144,155,0,1,M400-01-baseline-awake,source_control,partition,approach_pair
1,628,0.0657685142418818,0.713752063857158,0.0732653470843667,0,144,155,0,1,M400-01-baseline-awake,source_control,partition,crossing_pair
2,709,0.00184185423227136,0.256347024956776,0.0354814708864851,0,160,169,0,1,M400-01-baseline-awake,source_control,partition,crossing_pair
1,628,0.0617974882725256,1,0.0686712062769701,0,144,155,0,1,M400-01-baseline-awake,source_control,partition,single_expanding
1,482,0.125328907462307,1,0.125328907462307,1,114,127,0,1,M400-01-baseline-awake,separate_pair,native,separate_pair
2,492,0.0905318853776367,1,0.0909431550188991,0,117,126,0,1,M400-01-baseline-awake,separate_pair,native,separate_pair
1,564,0.503880076278348,0.999767580534734,0.629911540242457,2,133,157,16,1,M400-01-baseline-awake,separate_pair,partition,separate_pair
2,566,0.496177127661062,0.998485757739468,0.587245743928675,1,133,157,16,1,M400-01-baseline-awake,separate_pair,partition,separate_pair
1,506,0.76006136480807,0.536420471085852,0.76006136480807,1,122,161,0,1,M400-01-baseline-awake,approach_pair,native,approach_pair
2,720,0.000446580813145857,1,0.731670453738782,1,166,179,0,0,M400-01-baseline-awake,approach_pair,native,approach_pair
1,477,0.172648350737964,0.955010305560605,0.80685659332882,2,113,130,9,1,M400-01-baseline-awake,approach_pair,partition,approach_pair
2,546,0.603443230204307,0.465167894838373,0.763046700933049,2,131,161,1,1,M400-01-baseline-awake,approach_pair,partition,approach_pair
1,503,0.793478619619895,0.564051014232166,0.793747256518211,1,120,161,0,1,M400-01-baseline-awake,crossing_pair,native,crossing_pair
2,NaN,0,NaN,0.764999905952214,1,NaN,NaN,0,0,M400-01-baseline-awake,crossing_pair,native,crossing_pair
1,479,0.818392213292391,0.579533357969827,0.818691690110115,1,113,161,4,1,M400-01-baseline-awake,crossing_pair,partition,crossing_pair
2,NaN,0,NaN,0.740667795046949,1,NaN,NaN,0,0,M400-01-baseline-awake,crossing_pair,partition,crossing_pair
1,497,0.844439514584525,1,0.844439514584525,1,120,168,0,1,M400-01-baseline-awake,single_expanding,native,single_expanding
1,498,0.844439514584525,1,0.844439514584525,1,120,168,0,1,M400-01-baseline-awake,single_expanding,partition,single_expanding
1,NaN,0,NaN,0,0,NaN,NaN,0,0,M401-01-baseline-awake,source_control,native,separate_pair
2,NaN,0,NaN,0,0,NaN,NaN,0,0,M401-01-baseline-awake,source_control,native,separate_pair
1,NaN,0,NaN,0,0,NaN,NaN,0,0,M401-01-baseline-awake,source_control,native,approach_pair
2,NaN,0,NaN,0,0,NaN,NaN,0,0,M401-01-baseline-awake,source_control,native,approach_pair
1,NaN,0,NaN,0,0,NaN,NaN,0,0,M401-01-baseline-awake,source_control,native,crossing_pair
2,NaN,0,NaN,0,0,NaN,NaN,0,0,M401-01-baseline-awake,source_control,native,crossing_pair
1,NaN,0,NaN,0,0,NaN,NaN,0,0,M401-01-baseline-awake,source_control,native,single_expanding
1,NaN,0,NaN,0,0,NaN,NaN,0,0,M401-01-baseline-awake,source_control,partition,separate_pair
2,NaN,0,NaN,0,0,NaN,NaN,0,0,M401-01-baseline-awake,source_control,partition,separate_pair
1,NaN,0,NaN,0,0,NaN,NaN,0,0,M401-01-baseline-awake,source_control,partition,approach_pair
2,NaN,0,NaN,0,0,NaN,NaN,0,0,M401-01-baseline-awake,source_control,partition,approach_pair
1,NaN,0,NaN,0,0,NaN,NaN,0,0,M401-01-baseline-awake,source_control,partition,crossing_pair
2,NaN,0,NaN,0,0,NaN,NaN,0,0,M401-01-baseline-awake,source_control,partition,crossing_pair
1,NaN,0,NaN,0,0,NaN,NaN,0,0,M401-01-baseline-awake,source_control,partition,single_expanding
1,843,0.174163776402698,0.999773388785964,0.174163776402698,1,151,165,0,1,M401-01-baseline-awake,separate_pair,native,separate_pair
2,NaN,0,NaN,4.93160861519596e-05,0,NaN,NaN,0,0,M401-01-baseline-awake,separate_pair,native,separate_pair
1,691,0.776623160693068,0.999349139490713,0.7769968765862,1,120,165,16,1,M401-01-baseline-awake,separate_pair,partition,separate_pair
2,692,0.663126256830367,0.999296457016899,0.663758132978296,1,120,156,16,1,M401-01-baseline-awake,separate_pair,partition,separate_pair
1,711,0.738741398974919,0.565068222113299,0.738741398974919,1,122,159,0,1,M401-01-baseline-awake,approach_pair,native,approach_pair
2,NaN,0,NaN,0.715696024835532,1,NaN,NaN,0,0,M401-01-baseline-awake,approach_pair,native,approach_pair
1,712,0.738741398974919,0.565068222113299,0.738741398974919,1,122,159,0,1,M401-01-baseline-awake,approach_pair,partition,approach_pair
2,NaN,0,NaN,0.715696024835532,1,NaN,NaN,0,0,M401-01-baseline-awake,approach_pair,partition,approach_pair
1,659,0.0330900411635505,0.990865367160969,0.825795156120368,1,109,118,0,1,M401-01-baseline-awake,crossing_pair,native,crossing_pair
2,694,0.774868308589719,0.438383325241219,0.775250319669971,1,119,160,0,1,M401-01-baseline-awake,crossing_pair,native,crossing_pair
1,660,0.0330900411635505,0.990865367160969,0.825795156120368,1,109,118,0,1,M401-01-baseline-awake,crossing_pair,partition,crossing_pair
2,695,0.774868308589719,0.438383325241219,0.775250319669971,1,119,160,0,1,M401-01-baseline-awake,crossing_pair,partition,crossing_pair
1,694,0.833960402826768,1,0.833960402826768,1,119,160,0,1,M401-01-baseline-awake,single_expanding,native,single_expanding
1,695,0.833960402826768,1,0.833960402826768,1,119,160,0,1,M401-01-baseline-awake,single_expanding,partition,single_expanding
1,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2312-baseline-awake,source_control,native,separate_pair
2,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2312-baseline-awake,source_control,native,separate_pair
1,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2312-baseline-awake,source_control,native,approach_pair
2,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2312-baseline-awake,source_control,native,approach_pair
1,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2312-baseline-awake,source_control,native,crossing_pair
2,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2312-baseline-awake,source_control,native,crossing_pair
1,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2312-baseline-awake,source_control,native,single_expanding
1,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2312-baseline-awake,source_control,partition,separate_pair
2,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2312-baseline-awake,source_control,partition,separate_pair
1,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2312-baseline-awake,source_control,partition,approach_pair
2,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2312-baseline-awake,source_control,partition,approach_pair
1,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2312-baseline-awake,source_control,partition,crossing_pair
2,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2312-baseline-awake,source_control,partition,crossing_pair
1,NaN,0,NaN,0,0,NaN,NaN,0,0,FB2312-baseline-awake,source_control,partition,single_expanding
1,135,0.263160585549775,0.999744405370122,0.46709947024503,2,128,143,0,1,FB2312-baseline-awake,separate_pair,native,separate_pair
2,153,0.245068997428923,0.998924664496814,0.485875807407169,2,145,157,0,1,FB2312-baseline-awake,separate_pair,native,separate_pair
