Session,Case,Method,CandidateRuns,RetainedRuns,ContactRetainedRuns,PartitionExposedRetainedRuns,PartitionEventFrames,ProposedParentSplits
M400-01-baseline-awake,source_control,native,3016,50,24,0,0,20
M400-01-baseline-awake,source_control,partition,3007,52,26,4,8,20
M400-01-baseline-awake,separate_pair,native,3014,47,21,0,0,47
M400-01-baseline-awake,separate_pair,partition,3000,53,27,9,56,47
M400-01-baseline-awake,approach_pair,native,2998,46,21,0,0,31
M400-01-baseline-awake,approach_pair,partition,2993,50,25,8,29,31
M400-01-baseline-awake,crossing_pair,native,2990,47,21,0,0,25
M400-01-baseline-awake,crossing_pair,partition,2983,50,24,7,15,25
M400-01-baseline-awake,single_expanding,native,2988,49,22,0,0,29
M400-01-baseline-awake,single_expanding,partition,2980,51,24,5,10,29
M401-01-baseline-awake,source_control,native,2927,9,3,0,0,3
M401-01-baseline-awake,source_control,partition,2929,9,3,0,0,3
M401-01-baseline-awake,separate_pair,native,2918,10,5,0,0,21
M401-01-baseline-awake,separate_pair,partition,2907,11,6,2,32,21
M401-01-baseline-awake,approach_pair,native,2914,10,5,0,0,5
M401-01-baseline-awake,approach_pair,partition,2914,10,5,0,0,5
M401-01-baseline-awake,crossing_pair,native,2920,10,5,0,0,4
M401-01-baseline-awake,crossing_pair,partition,2919,10,5,0,0,4
M401-01-baseline-awake,single_expanding,native,2904,10,5,0,0,4
M401-01-baseline-awake,single_expanding,partition,2903,10,5,0,0,4
FB2312-baseline-awake,source_control,native,1400,39,11,0,0,12
FB2312-baseline-awake,source_control,partition,1396,40,12,3,3,12
FB2312-baseline-awake,separate_pair,native,1378,42,14,0,0,11
FB2312-baseline-awake,separate_pair,partition,1373,43,15,3,3,11
FB2312-baseline-awake,approach_pair,native,1370,40,12,0,0,11
FB2312-baseline-awake,approach_pair,partition,1365,41,13,3,3,11
FB2312-baseline-awake,crossing_pair,native,1372,40,12,0,0,11
FB2312-baseline-awake,crossing_pair,partition,1367,41,13,3,3,11
FB2312-baseline-awake,single_expanding,native,1373,40,12,0,0,11
FB2312-baseline-awake,single_expanding,partition,1368,41,13,3,3,11
FB2411,source_control,native,1353,7,6,0,0,3
FB2411,source_control,partition,1355,7,6,0,0,3
FB2411,separate_pair,native,965,6,3,0,0,3
FB2411,separate_pair,partition,968,6,3,0,0,3
FB2411,approach_pair,native,1019,9,4,0,0,3
FB2411,approach_pair,partition,1022,9,4,0,0,3
FB2411,crossing_pair,native,1052,7,2,0,0,5
FB2411,crossing_pair,partition,1058,7,2,0,0,5
FB2411,single_expanding,native,1022,5,3,0,0,2
FB2411,single_expanding,partition,1027,5,3,0,0,2
