Session,Case,Role,CandidateRuns,RetainedEvents,RejectedCandidateRuns,RecurringSites,ShapeLinkedCandidateRuns,ShapeLinkedRetainedEvents,GapReviewPairs,RetainedEventsWithGapReview,GapPairsWithRejectedMember,ShortTerminalCandidateRuns
FB2312-baseline-awake,control,BOI_reference,1400,39,1361,17,136,10,82,8,81,13
FB2312-baseline-awake,moving_clean,BOI_reference,1398,42,1356,21,138,12,82,12,80,12
FB2312-baseline-awake,single_clean,BOI_reference,1391,40,1351,19,136,13,82,8,81,11
FB2312-baseline-awake,single_noise,BOI_reference,1393,39,1354,18,137,12,84,8,83,11
FB2312-baseline-awake,smooth_pairs,BOI_reference,1389,37,1352,18,134,10,88,8,87,10
FB2411,control,fluorescence_control,1353,7,1346,7,134,4,24,0,24,27
FB2411,moving_clean,fluorescence_control,1121,13,1108,13,125,6,21,2,21,15
FB2411,single_clean,fluorescence_control,1210,10,1200,10,128,4,25,2,25,18
FB2411,single_noise,fluorescence_control,1214,10,1204,10,147,5,30,2,30,18
FB2411,smooth_pairs,fluorescence_control,1220,13,1207,11,129,5,24,4,22,24
M400-01-baseline-awake,control,BOI_reference,3016,50,2966,41,314,30,128,11,128,46
M400-01-baseline-awake,moving_clean,BOI_reference,3040,49,2991,43,306,27,132,8,132,50
M400-01-baseline-awake,single_clean,BOI_reference,3024,53,2971,42,307,32,129,8,129,47
M400-01-baseline-awake,single_noise,BOI_reference,3017,51,2966,42,315,31,130,9,129,47
M400-01-baseline-awake,smooth_pairs,BOI_reference,2973,57,2916,45,313,32,131,7,131,48
M401-01-baseline-awake,control,BOI_reference,2927,9,2918,8,273,6,65,2,65,33
M401-01-baseline-awake,moving_clean,BOI_reference,2929,15,2914,12,280,7,62,2,62,34
M401-01-baseline-awake,single_clean,BOI_reference,2912,13,2899,10,280,9,63,2,63,34
M401-01-baseline-awake,single_noise,BOI_reference,2918,13,2905,10,277,7,64,3,64,34
M401-01-baseline-awake,smooth_pairs,BOI_reference,2887,18,2869,11,280,8,65,4,64,34
