PixelSizeUm,SampleHz,Case,Method,CandidateRuns,RetainedEvents,RecurringSites,RejectedCandidateRuns,LongestRetainedSec,ShapeChangeLinks,GapReviewPairs,AmbiguousCandidateRuns
2.35,0.5,stationary,mutual_only,1,1,1,0,24,0,0,0
2.35,0.5,stationary,isolated_shape,1,1,1,0,24,0,0,0
2.35,0.5,smooth_growth,mutual_only,1,1,1,0,24,0,0,0
2.35,0.5,smooth_growth,isolated_shape,1,1,1,0,24,0,0,0
2.35,0.5,smooth_shrink,mutual_only,1,1,1,0,24,0,0,0
2.35,0.5,smooth_shrink,isolated_shape,1,1,1,0,24,0,0,0
2.35,0.5,rapid_growth,mutual_only,2,2,2,0,12,0,0,0
2.35,0.5,rapid_growth,isolated_shape,1,1,1,0,24,1,0,0
2.35,0.5,rapid_shrink,mutual_only,2,2,2,0,12,0,0,0
2.35,0.5,rapid_shrink,isolated_shape,1,1,1,0,24,1,0,0
2.35,0.5,pulsating,mutual_only,12,0,0,12,0,0,10,0
2.35,0.5,pulsating,isolated_shape,1,1,1,0,24,11,0,0
2.35,0.5,extreme_growth,mutual_only,2,2,2,0,12,0,0,0
2.35,0.5,extreme_growth,isolated_shape,2,2,2,0,12,0,0,0
2.35,0.5,neighbor_merge,mutual_only,3,3,3,0,12,0,0,3
2.35,0.5,neighbor_merge,isolated_shape,3,3,3,0,12,0,0,3
2.35,0.5,neighbor_split,mutual_only,3,3,3,0,12,0,0,3
2.35,0.5,neighbor_split,isolated_shape,3,3,3,0,12,0,0,3
2.35,0.5,single_with_dropout,mutual_only,2,2,1,0,12,0,1,0
2.35,0.5,single_with_dropout,isolated_shape,2,2,1,0,12,0,1,0
2.35,0.5,true_pair,mutual_only,2,2,1,0,12,0,1,0
2.35,0.5,true_pair,isolated_shape,2,2,1,0,12,0,1,0
2.35,0.5,short_fragments,mutual_only,2,0,0,2,0,0,1,0
2.35,0.5,short_fragments,isolated_shape,2,0,0,2,0,0,1,0
2.35,0.5,long_gap,mutual_only,2,2,1,0,12,0,0,0
2.35,0.5,long_gap,isolated_shape,2,2,1,0,12,0,0,0
2.35,1,stationary,mutual_only,1,1,1,0,24,0,0,0
2.35,1,stationary,isolated_shape,1,1,1,0,24,0,0,0
2.35,1,smooth_growth,mutual_only,1,1,1,0,24,0,0,0
2.35,1,smooth_growth,isolated_shape,1,1,1,0,24,0,0,0
2.35,1,smooth_shrink,mutual_only,1,1,1,0,24,0,0,0
2.35,1,smooth_shrink,isolated_shape,1,1,1,0,24,0,0,0
2.35,1,rapid_growth,mutual_only,2,2,2,0,12,0,0,0
2.35,1,rapid_growth,isolated_shape,1,1,1,0,24,1,0,0
2.35,1,rapid_shrink,mutual_only,2,2,2,0,12,0,0,0
2.35,1,rapid_shrink,isolated_shape,1,1,1,0,24,1,0,0
2.35,1,pulsating,mutual_only,12,0,0,12,0,0,10,0
2.35,1,pulsating,isolated_shape,1,1,1,0,24,11,0,0
2.35,1,extreme_growth,mutual_only,2,2,2,0,12,0,0,0
2.35,1,extreme_growth,isolated_shape,2,2,2,0,12,0,0,0
2.35,1,neighbor_merge,mutual_only,3,3,3,0,12,0,0,3
2.35,1,neighbor_merge,isolated_shape,3,3,3,0,12,0,0,3
2.35,1,neighbor_split,mutual_only,3,3,3,0,12,0,0,3
2.35,1,neighbor_split,isolated_shape,3,3,3,0,12,0,0,3
2.35,1,single_with_dropout,mutual_only,2,2,1,0,12,0,1,0
2.35,1,single_with_dropout,isolated_shape,2,2,1,0,12,0,1,0
2.35,1,true_pair,mutual_only,2,2,1,0,12,0,1,0
2.35,1,true_pair,isolated_shape,2,2,1,0,12,0,1,0
2.35,1,short_fragments,mutual_only,2,0,0,2,0,0,1,0
2.35,1,short_fragments,isolated_shape,2,0,0,2,0,0,1,0
2.35,1,long_gap,mutual_only,2,2,1,0,12,0,0,0
2.35,1,long_gap,isolated_shape,2,2,1,0,12,0,0,0
2.35,2,stationary,mutual_only,1,1,1,0,24,0,0,0
2.35,2,stationary,isolated_shape,1,1,1,0,24,0,0,0
2.35,2,smooth_growth,mutual_only,1,1,1,0,24,0,0,0
2.35,2,smooth_growth,isolated_shape,1,1,1,0,24,0,0,0
2.35,2,smooth_shrink,mutual_only,1,1,1,0,24,0,0,0
2.35,2,smooth_shrink,isolated_shape,1,1,1,0,24,0,0,0
2.35,2,rapid_growth,mutual_only,2,2,2,0,12,0,0,0
2.35,2,rapid_growth,isolated_shape,1,1,1,0,24,1,0,0
2.35,2,rapid_shrink,mutual_only,2,2,2,0,12,0,0,0
2.35,2,rapid_shrink,isolated_shape,1,1,1,0,24,1,0,0
2.35,2,pulsating,mutual_only,12,0,0,12,0,0,10,0
2.35,2,pulsating,isolated_shape,1,1,1,0,24,11,0,0
2.35,2,extreme_growth,mutual_only,2,2,2,0,12,0,0,0
2.35,2,extreme_growth,isolated_shape,2,2,2,0,12,0,0,0
2.35,2,neighbor_merge,mutual_only,3,3,3,0,12,0,0,3
2.35,2,neighbor_merge,isolated_shape,3,3,3,0,12,0,0,3
2.35,2,neighbor_split,mutual_only,3,3,3,0,12,0,0,3
2.35,2,neighbor_split,isolated_shape,3,3,3,0,12,0,0,3
2.35,2,single_with_dropout,mutual_only,2,2,1,0,12,0,1,0
2.35,2,single_with_dropout,isolated_shape,2,2,1,0,12,0,1,0
2.35,2,true_pair,mutual_only,2,2,1,0,12,0,1,0
2.35,2,true_pair,isolated_shape,2,2,1,0,12,0,1,0
2.35,2,short_fragments,mutual_only,2,0,0,2,0,0,1,0
2.35,2,short_fragments,isolated_shape,2,0,0,2,0,0,1,0
2.35,2,long_gap,mutual_only,2,2,1,0,12,0,0,0
2.35,2,long_gap,isolated_shape,2,2,1,0,12,0,0,0
4.75,0.5,stationary,mutual_only,1,1,1,0,24,0,0,0
4.75,0.5,stationary,isolated_shape,1,1,1,0,24,0,0,0
4.75,0.5,smooth_growth,mutual_only,1,1,1,0,24,0,0,0
4.75,0.5,smooth_growth,isolated_shape,1,1,1,0,24,0,0,0
4.75,0.5,smooth_shrink,mutual_only,1,1,1,0,24,0,0,0
4.75,0.5,smooth_shrink,isolated_shape,1,1,1,0,24,0,0,0
4.75,0.5,rapid_growth,mutual_only,2,2,2,0,12,0,0,0
4.75,0.5,rapid_growth,isolated_shape,1,1,1,0,24,1,0,0
4.75,0.5,rapid_shrink,mutual_only,2,2,2,0,12,0,0,0
4.75,0.5,rapid_shrink,isolated_shape,1,1,1,0,24,1,0,0
4.75,0.5,pulsating,mutual_only,12,0,0,12,0,0,10,0
4.75,0.5,pulsating,isolated_shape,1,1,1,0,24,11,0,0
4.75,0.5,extreme_growth,mutual_only,2,2,2,0,12,0,0,0
4.75,0.5,extreme_growth,isolated_shape,2,2,2,0,12,0,0,0
4.75,0.5,neighbor_merge,mutual_only,3,3,3,0,12,0,0,3
4.75,0.5,neighbor_merge,isolated_shape,3,3,3,0,12,0,0,3
4.75,0.5,neighbor_split,mutual_only,3,3,3,0,12,0,0,3
4.75,0.5,neighbor_split,isolated_shape,3,3,3,0,12,0,0,3
4.75,0.5,single_with_dropout,mutual_only,2,2,1,0,12,0,1,0
4.75,0.5,single_with_dropout,isolated_shape,2,2,1,0,12,0,1,0
4.75,0.5,true_pair,mutual_only,2,2,1,0,12,0,1,0
4.75,0.5,true_pair,isolated_shape,2,2,1,0,12,0,1,0
4.75,0.5,short_fragments,mutual_only,2,0,0,2,0,0,1,0
4.75,0.5,short_fragments,isolated_shape,2,0,0,2,0,0,1,0
4.75,0.5,long_gap,mutual_only,2,2,1,0,12,0,0,0
4.75,0.5,long_gap,isolated_shape,2,2,1,0,12,0,0,0
4.75,1,stationary,mutual_only,1,1,1,0,24,0,0,0
4.75,1,stationary,isolated_shape,1,1,1,0,24,0,0,0
4.75,1,smooth_growth,mutual_only,1,1,1,0,24,0,0,0
4.75,1,smooth_growth,isolated_shape,1,1,1,0,24,0,0,0
4.75,1,smooth_shrink,mutual_only,1,1,1,0,24,0,0,0
4.75,1,smooth_shrink,isolated_shape,1,1,1,0,24,0,0,0
4.75,1,rapid_growth,mutual_only,2,2,2,0,12,0,0,0
4.75,1,rapid_growth,isolated_shape,1,1,1,0,24,1,0,0
4.75,1,rapid_shrink,mutual_only,2,2,2,0,12,0,0,0
4.75,1,rapid_shrink,isolated_shape,1,1,1,0,24,1,0,0
4.75,1,pulsating,mutual_only,12,0,0,12,0,0,10,0
4.75,1,pulsating,isolated_shape,1,1,1,0,24,11,0,0
4.75,1,extreme_growth,mutual_only,2,2,2,0,12,0,0,0
4.75,1,extreme_growth,isolated_shape,2,2,2,0,12,0,0,0
4.75,1,neighbor_merge,mutual_only,3,3,3,0,12,0,0,3
4.75,1,neighbor_merge,isolated_shape,3,3,3,0,12,0,0,3
4.75,1,neighbor_split,mutual_only,3,3,3,0,12,0,0,3
4.75,1,neighbor_split,isolated_shape,3,3,3,0,12,0,0,3
4.75,1,single_with_dropout,mutual_only,2,2,1,0,12,0,1,0
4.75,1,single_with_dropout,isolated_shape,2,2,1,0,12,0,1,0
4.75,1,true_pair,mutual_only,2,2,1,0,12,0,1,0
4.75,1,true_pair,isolated_shape,2,2,1,0,12,0,1,0
4.75,1,short_fragments,mutual_only,2,0,0,2,0,0,1,0
4.75,1,short_fragments,isolated_shape,2,0,0,2,0,0,1,0
4.75,1,long_gap,mutual_only,2,2,1,0,12,0,0,0
4.75,1,long_gap,isolated_shape,2,2,1,0,12,0,0,0
4.75,2,stationary,mutual_only,1,1,1,0,24,0,0,0
4.75,2,stationary,isolated_shape,1,1,1,0,24,0,0,0
4.75,2,smooth_growth,mutual_only,1,1,1,0,24,0,0,0
4.75,2,smooth_growth,isolated_shape,1,1,1,0,24,0,0,0
4.75,2,smooth_shrink,mutual_only,1,1,1,0,24,0,0,0
4.75,2,smooth_shrink,isolated_shape,1,1,1,0,24,0,0,0
4.75,2,rapid_growth,mutual_only,2,2,2,0,12,0,0,0
4.75,2,rapid_growth,isolated_shape,1,1,1,0,24,1,0,0
4.75,2,rapid_shrink,mutual_only,2,2,2,0,12,0,0,0
4.75,2,rapid_shrink,isolated_shape,1,1,1,0,24,1,0,0
4.75,2,pulsating,mutual_only,12,0,0,12,0,0,10,0
4.75,2,pulsating,isolated_shape,1,1,1,0,24,11,0,0
4.75,2,extreme_growth,mutual_only,2,2,2,0,12,0,0,0
4.75,2,extreme_growth,isolated_shape,2,2,2,0,12,0,0,0
4.75,2,neighbor_merge,mutual_only,3,3,3,0,12,0,0,3
4.75,2,neighbor_merge,isolated_shape,3,3,3,0,12,0,0,3
4.75,2,neighbor_split,mutual_only,3,3,3,0,12,0,0,3
4.75,2,neighbor_split,isolated_shape,3,3,3,0,12,0,0,3
4.75,2,single_with_dropout,mutual_only,2,2,1,0,12,0,1,0
4.75,2,single_with_dropout,isolated_shape,2,2,1,0,12,0,1,0
4.75,2,true_pair,mutual_only,2,2,1,0,12,0,1,0
4.75,2,true_pair,isolated_shape,2,2,1,0,12,0,1,0
4.75,2,short_fragments,mutual_only,2,0,0,2,0,0,1,0
4.75,2,short_fragments,isolated_shape,2,0,0,2,0,0,1,0
4.75,2,long_gap,mutual_only,2,2,1,0,12,0,0,0
4.75,2,long_gap,isolated_shape,2,2,1,0,12,0,0,0
6.75,0.5,stationary,mutual_only,1,1,1,0,24,0,0,0
6.75,0.5,stationary,isolated_shape,1,1,1,0,24,0,0,0
6.75,0.5,smooth_growth,mutual_only,1,1,1,0,24,0,0,0
6.75,0.5,smooth_growth,isolated_shape,1,1,1,0,24,0,0,0
6.75,0.5,smooth_shrink,mutual_only,1,1,1,0,24,0,0,0
6.75,0.5,smooth_shrink,isolated_shape,1,1,1,0,24,0,0,0
6.75,0.5,rapid_growth,mutual_only,2,2,2,0,12,0,0,0
6.75,0.5,rapid_growth,isolated_shape,1,1,1,0,24,1,0,0
6.75,0.5,rapid_shrink,mutual_only,2,2,2,0,12,0,0,0
6.75,0.5,rapid_shrink,isolated_shape,1,1,1,0,24,1,0,0
6.75,0.5,pulsating,mutual_only,12,0,0,12,0,0,10,0
6.75,0.5,pulsating,isolated_shape,1,1,1,0,24,11,0,0
6.75,0.5,extreme_growth,mutual_only,2,2,2,0,12,0,0,0
6.75,0.5,extreme_growth,isolated_shape,2,2,2,0,12,0,0,0
6.75,0.5,neighbor_merge,mutual_only,3,3,3,0,12,0,0,3
6.75,0.5,neighbor_merge,isolated_shape,3,3,3,0,12,0,0,3
6.75,0.5,neighbor_split,mutual_only,3,3,3,0,12,0,0,3
6.75,0.5,neighbor_split,isolated_shape,3,3,3,0,12,0,0,3
6.75,0.5,single_with_dropout,mutual_only,2,2,1,0,12,0,1,0
6.75,0.5,single_with_dropout,isolated_shape,2,2,1,0,12,0,1,0
6.75,0.5,true_pair,mutual_only,2,2,1,0,12,0,1,0
6.75,0.5,true_pair,isolated_shape,2,2,1,0,12,0,1,0
6.75,0.5,short_fragments,mutual_only,2,0,0,2,0,0,1,0
6.75,0.5,short_fragments,isolated_shape,2,0,0,2,0,0,1,0
6.75,0.5,long_gap,mutual_only,2,2,1,0,12,0,0,0
6.75,0.5,long_gap,isolated_shape,2,2,1,0,12,0,0,0
6.75,1,stationary,mutual_only,1,1,1,0,24,0,0,0
6.75,1,stationary,isolated_shape,1,1,1,0,24,0,0,0
6.75,1,smooth_growth,mutual_only,1,1,1,0,24,0,0,0
6.75,1,smooth_growth,isolated_shape,1,1,1,0,24,0,0,0
6.75,1,smooth_shrink,mutual_only,1,1,1,0,24,0,0,0
6.75,1,smooth_shrink,isolated_shape,1,1,1,0,24,0,0,0
6.75,1,rapid_growth,mutual_only,2,2,2,0,12,0,0,0
6.75,1,rapid_growth,isolated_shape,1,1,1,0,24,1,0,0
6.75,1,rapid_shrink,mutual_only,2,2,2,0,12,0,0,0
6.75,1,rapid_shrink,isolated_shape,1,1,1,0,24,1,0,0
6.75,1,pulsating,mutual_only,12,0,0,12,0,0,10,0
6.75,1,pulsating,isolated_shape,1,1,1,0,24,11,0,0
6.75,1,extreme_growth,mutual_only,2,2,2,0,12,0,0,0
6.75,1,extreme_growth,isolated_shape,2,2,2,0,12,0,0,0
6.75,1,neighbor_merge,mutual_only,3,3,3,0,12,0,0,3
6.75,1,neighbor_merge,isolated_shape,3,3,3,0,12,0,0,3
6.75,1,neighbor_split,mutual_only,3,3,3,0,12,0,0,3
6.75,1,neighbor_split,isolated_shape,3,3,3,0,12,0,0,3
6.75,1,single_with_dropout,mutual_only,2,2,1,0,12,0,1,0
6.75,1,single_with_dropout,isolated_shape,2,2,1,0,12,0,1,0
6.75,1,true_pair,mutual_only,2,2,1,0,12,0,1,0
6.75,1,true_pair,isolated_shape,2,2,1,0,12,0,1,0
6.75,1,short_fragments,mutual_only,2,0,0,2,0,0,1,0
6.75,1,short_fragments,isolated_shape,2,0,0,2,0,0,1,0
6.75,1,long_gap,mutual_only,2,2,1,0,12,0,0,0
6.75,1,long_gap,isolated_shape,2,2,1,0,12,0,0,0
6.75,2,stationary,mutual_only,1,1,1,0,24,0,0,0
6.75,2,stationary,isolated_shape,1,1,1,0,24,0,0,0
6.75,2,smooth_growth,mutual_only,1,1,1,0,24,0,0,0
