RecordingID,EventType,DetectedEvents,ValidBaselineEvents,FiniteAmplitudeEvents,UnavailableAmplitudeEvents,WrongDirectionAmplitudeEvents,ValidBaselineFraction,FiniteAmplitudeFraction,TimingResolvedEvents,TimingUnresolvedEvents,TimingNotAssessedEvents,CloseNativeRunEvents,RecurrenceNotAssessedEvents,AmbiguousTrackingEvents,TrackingNotAssessedEvents,AmbiguousSiteAssignmentEvents,SiteAssignmentNotAssessedEvents,ShapeChangeLinkedEvents,ShapeChangeTrackingNotAssessedEvents,PotentialGapContinuationEvents,GapReviewNotAssessedEvents,Session,Case,Role
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/M400-01-baseline-awake/control,sink,196,102,102,94,0,0.520408163265306,0.520408163265306,104,92,0,104,0,0,196,0,196,0,196,0,196,M400-01-baseline-awake,control,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/M400-01-baseline-awake/control,surge,50,28,28,22,0,0.56,0.56,0,0,50,6,0,24,0,2,0,30,0,11,0,M400-01-baseline-awake,control,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/M400-01-baseline-awake/smooth_pairs,sink,192,97,97,95,0,0.505208333333333,0.505208333333333,107,85,0,98,0,0,192,0,192,0,192,0,192,M400-01-baseline-awake,smooth_pairs,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/M400-01-baseline-awake/smooth_pairs,surge,57,31,31,26,0,0.543859649122807,0.543859649122807,0,0,57,8,0,24,0,6,0,32,0,7,0,M400-01-baseline-awake,smooth_pairs,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/M400-01-baseline-awake/single_clean,sink,191,97,97,94,0,0.507853403141361,0.507853403141361,102,89,0,101,0,0,191,0,191,0,191,0,191,M400-01-baseline-awake,single_clean,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/M400-01-baseline-awake/single_clean,surge,53,29,29,24,0,0.547169811320755,0.547169811320755,0,0,53,8,0,23,0,2,0,32,0,8,0,M400-01-baseline-awake,single_clean,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/M400-01-baseline-awake/single_noise,sink,195,101,101,94,0,0.517948717948718,0.517948717948718,102,93,0,100,0,0,195,0,195,0,195,0,195,M400-01-baseline-awake,single_noise,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/M400-01-baseline-awake/single_noise,surge,51,29,29,22,0,0.568627450980392,0.568627450980392,0,0,51,4,0,21,0,2,0,31,0,9,0,M400-01-baseline-awake,single_noise,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/M400-01-baseline-awake/moving_clean,sink,196,102,102,94,0,0.520408163265306,0.520408163265306,102,94,0,102,0,0,196,0,196,0,196,0,196,M400-01-baseline-awake,moving_clean,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/M400-01-baseline-awake/moving_clean,surge,49,27,27,22,0,0.551020408163265,0.551020408163265,0,0,49,4,0,25,0,1,0,27,0,8,0,M400-01-baseline-awake,moving_clean,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/M401-01-baseline-awake/control,sink,137,68,68,69,2,0.496350364963504,0.496350364963504,59,78,0,72,0,0,137,0,137,0,137,0,137,M401-01-baseline-awake,control,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/M401-01-baseline-awake/control,surge,9,7,7,2,0,0.777777777777778,0.777777777777778,0,0,9,0,0,3,0,0,0,6,0,2,0,M401-01-baseline-awake,control,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/M401-01-baseline-awake/smooth_pairs,sink,123,53,53,70,0,0.430894308943089,0.430894308943089,58,65,0,66,0,0,123,0,123,0,123,0,123,M401-01-baseline-awake,smooth_pairs,BOI_reference
