Session,Case,EventType,PreviousRuns,CurrentRuns,PreviousSites,CurrentSites,PreviousFiniteAmplitudes,CurrentFiniteAmplitudes,PreviousCloseRuns,CurrentCloseRuns
M400-01-baseline-awake,control,sink,196,196,56,56,105,102,104,104
M400-01-baseline-awake,control,surge,32,50,27,41,19,28,2,6
M400-01-baseline-awake,smooth_pairs,sink,192,192,58,58,101,97,98,98
M400-01-baseline-awake,smooth_pairs,surge,40,57,32,45,21,31,2,8
M400-01-baseline-awake,single_clean,sink,191,191,56,56,101,97,101,101
M400-01-baseline-awake,single_clean,surge,33,53,28,42,19,29,2,8
M400-01-baseline-awake,single_noise,sink,195,195,57,57,105,101,100,100
M400-01-baseline-awake,single_noise,surge,32,51,28,42,19,29,0,4
M400-01-baseline-awake,moving_clean,sink,196,196,54,54,103,102,102,102
M400-01-baseline-awake,moving_clean,surge,35,49,32,43,21,27,2,4
M401-01-baseline-awake,control,sink,137,137,50,50,69,68,72,72
M401-01-baseline-awake,control,surge,4,9,4,8,3,7,0,0
M401-01-baseline-awake,smooth_pairs,sink,123,123,44,44,54,53,66,66
M401-01-baseline-awake,smooth_pairs,surge,15,18,8,11,5,8,5,5
M401-01-baseline-awake,single_clean,sink,120,120,46,46,59,59,64,64
M401-01-baseline-awake,single_clean,surge,10,13,8,10,5,8,2,0
M401-01-baseline-awake,single_noise,sink,119,119,39,39,58,58,64,64
M401-01-baseline-awake,single_noise,surge,11,13,8,10,5,8,3,0
M401-01-baseline-awake,moving_clean,sink,120,120,47,47,65,65,58,58
M401-01-baseline-awake,moving_clean,surge,11,15,7,12,5,8,4,2
FB2411,control,sink,34,34,19,19,20,20,17,17
FB2411,control,surge,6,7,6,7,2,2,0,0
FB2411,smooth_pairs,sink,11,11,4,4,4,4,4,4
FB2411,smooth_pairs,surge,11,13,9,11,3,4,2,2
FB2411,single_clean,sink,12,12,8,8,6,6,4,4
FB2411,single_clean,surge,9,10,8,10,4,5,0,0
FB2411,single_noise,sink,13,13,7,7,7,7,6,6
FB2411,single_noise,surge,7,10,6,10,3,5,0,0
FB2411,moving_clean,sink,11,11,7,7,3,3,4,4
FB2411,moving_clean,surge,10,13,9,13,3,5,0,0
FB2312-baseline-awake,control,sink,366,366,63,63,173,172,241,241
FB2312-baseline-awake,control,surge,35,39,16,17,16,20,6,6
FB2312-baseline-awake,smooth_pairs,sink,358,358,60,60,170,170,238,238
FB2312-baseline-awake,smooth_pairs,surge,34,37,17,18,21,24,8,8
FB2312-baseline-awake,single_clean,sink,306,306,66,66,151,151,199,199
FB2312-baseline-awake,single_clean,surge,37,40,18,19,23,27,8,8
FB2312-baseline-awake,single_noise,sink,302,302,65,65,149,149,194,194
FB2312-baseline-awake,single_noise,surge,37,39,18,18,23,26,8,8
FB2312-baseline-awake,moving_clean,sink,325,325,57,57,153,153,214,214
FB2312-baseline-awake,moving_clean,surge,37,42,18,21,20,24,6,6
