Stage,TruthRow,FramesWithIntersection,InjectedVolumeCoverage,IntersectingRuns,LongestConsecutiveIntersectionFrames,RowAndNativeBounds
percentile_only,1,15,0.569573835480674,1,15,1:1-600;
percentile_only,2,14,0.654212091179386,1,14,1:1-600;
percentile_only,3,14,0.642220019821606,1,14,1:1-600;
percentile_only,4,16,0.6298810703667,1,16,1:1-600;
percentile_only,5,14,0.592517343904856,1,14,1:1-600;
percentile_only,6,15,0.650198216055501,1,15,1:1-600;
physical_area_only,1,12,0.554757185332012,1,12,1:1-600;
physical_area_only,2,13,0.638899900891972,1,13,1:1-600;
physical_area_only,3,14,0.64217046580773,1,14,1:1-600;
physical_area_only,4,14,0.627998017839445,1,14,1:1-600;
physical_area_only,5,12,0.585084241823588,1,12,1:1-600;
physical_area_only,6,13,0.638453914767096,1,13,1:1-600;
candidate_geometry_tissue,1,12,0.554757185332012,1,12,1:1-220;
candidate_geometry_tissue,2,13,0.638899900891972,1,13,1:1-220;
candidate_geometry_tissue,3,12,0.551090188305253,1,6,1:1-220;
candidate_geometry_tissue,4,13,0.577998017839445,1,7,1:1-220;
candidate_geometry_tissue,5,10,0.485133795837463,1,9,1:1-220;
candidate_geometry_tissue,6,13,0.638453914767096,1,13,1:224-600;
adjacent_tracks_before_duration,1,12,0.554757185332012,1,12,187:46-57;
adjacent_tracks_before_duration,2,13,0.638899900891972,1,13,284:70-82;
adjacent_tracks_before_duration,3,12,0.551090188305253,3,6,455:114-118;470:120-125;506:127-127;
adjacent_tracks_before_duration,4,13,0.577998017839445,5,6,627:149-149;628:149-149;631:150-154;655:156-161;684:162-162;
adjacent_tracks_before_duration,5,10,0.485133795837463,3,8,864:200-200;869:201-208;924:211-211;
adjacent_tracks_before_duration,6,13,0.638453914767096,2,12,1063:250-250;1066:251-262;
ten_second_duration,1,12,0.554757185332012,1,12,5:46-57;
ten_second_duration,2,13,0.638899900891972,1,13,11:70-82;
ten_second_duration,3,0,0,0,0,
ten_second_duration,4,0,0,0,0,
ten_second_duration,5,0,0,0,0,
ten_second_duration,6,12,0.590237859266601,1,12,37:251-262;
recurring_sites,1,12,0.554757185332012,1,12,5:46-57;
recurring_sites,2,13,0.638899900891972,1,13,11:70-82;
recurring_sites,3,0,0,0,0,
recurring_sites,4,0,0,0,0,
recurring_sites,5,0,0,0,0,
recurring_sites,6,12,0.590237859266601,1,12,31:251-262;
