Session,Role,Case,EventType,TruthRow,TruthStartFrame,TruthEndFrame,OverlappingRuns,BestNativeSpacetimeIoU,BestEventRow,NativeStartFrame,NativeEndFrame,MeasuredOnsetErrorSec,MeasuredOffsetErrorSec,MeasuredAmplitudeFraction,CloseNativeRun,BaselineStatus,TimingResolved,TruthEligibleFraction
M400-01-baseline-awake,BOI_reference,control,sink,1,41,60,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.749256689791873
M400-01-baseline-awake,BOI_reference,control,sink,2,66,85,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.749256689791873
M400-01-baseline-awake,BOI_reference,control,sink,3,111,130,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.749256689791873
M400-01-baseline-awake,BOI_reference,control,sink,4,146,165,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.749256689791873
M400-01-baseline-awake,BOI_reference,control,sink,5,196,215,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.749256689791873
M400-01-baseline-awake,BOI_reference,control,sink,6,246,265,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.749256689791873
M400-01-baseline-awake,BOI_reference,control,sink,7,101,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.749256689791873
M400-01-baseline-awake,BOI_reference,control,sink,8,101,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.798777667657747
M400-01-baseline-awake,BOI_reference,control,surge,1,41,60,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.832507433102081
M400-01-baseline-awake,BOI_reference,control,surge,2,66,85,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.832507433102081
M400-01-baseline-awake,BOI_reference,control,surge,3,111,130,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.832507433102081
M400-01-baseline-awake,BOI_reference,control,surge,4,146,165,1,0.00115592869745087,15,139,150,-7,-15,0.0177495394798463,0,valid,NaN,0.832507433102081
M400-01-baseline-awake,BOI_reference,control,surge,5,196,215,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.832507433102081
M400-01-baseline-awake,BOI_reference,control,surge,6,246,265,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.832507433102081
M400-01-baseline-awake,BOI_reference,control,surge,7,101,160,1,0.0159592906365691,15,139,150,38,-10,0.0177495394798463,0,valid,NaN,0.832507433102081
M400-01-baseline-awake,BOI_reference,control,surge,8,101,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.777436405682194
M400-01-baseline-awake,BOI_reference,smooth_pairs,sink,1,41,60,1,0.303944773175542,100,48,56,3,-3,NaN,1,insufficient_clean_prebaseline,1,0.716551040634291
M400-01-baseline-awake,BOI_reference,smooth_pairs,sink,2,66,85,1,0.435492879084055,101,71,81,4,-3,NaN,1,insufficient_clean_prebaseline,1,0.716551040634291
M400-01-baseline-awake,BOI_reference,smooth_pairs,sink,3,111,130,1,0.444389741753569,102,115,125,3,-4,NaN,0,insufficient_clean_prebaseline,1,0.716551040634291
M400-01-baseline-awake,BOI_reference,smooth_pairs,sink,4,146,165,1,0.395712545676005,103,151,161,4,-3,NaN,0,insufficient_clean_prebaseline,1,0.716551040634291
M400-01-baseline-awake,BOI_reference,smooth_pairs,sink,5,196,215,1,0.451475622166713,104,200,211,3,-3,NaN,0,insufficient_clean_prebaseline,1,0.716551040634291
M400-01-baseline-awake,BOI_reference,smooth_pairs,sink,6,246,265,1,0.488773170265622,105,250,261,3,-2,NaN,0,insufficient_clean_prebaseline,1,0.716551040634291
M400-01-baseline-awake,BOI_reference,smooth_pairs,surge,1,41,60,1,0.430527246856132,6,46,57,5,-3,0.107704227576848,0,valid,NaN,0.78394449950446
M400-01-baseline-awake,BOI_reference,smooth_pairs,surge,2,66,85,1,0.402089505691564,13,70,82,4,-3,NaN,0,insufficient_clean_prebaseline,NaN,0.78394449950446
M400-01-baseline-awake,BOI_reference,smooth_pairs,surge,3,111,130,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.78394449950446
M400-01-baseline-awake,BOI_reference,smooth_pairs,surge,4,146,165,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.78394449950446
M400-01-baseline-awake,BOI_reference,smooth_pairs,surge,5,196,215,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.78394449950446
M400-01-baseline-awake,BOI_reference,smooth_pairs,surge,6,246,265,1,0.369585453642795,43,251,262,5,-3,NaN,0,insufficient_clean_prebaseline,NaN,0.78394449950446
M400-01-baseline-awake,BOI_reference,single_clean,sink,7,101,160,1,0.479644361254095,144,113,147,12,-13,0.139948347889464,0,valid,1,0.75619425173439
M400-01-baseline-awake,BOI_reference,single_clean,surge,7,101,160,2,0.239106690072167,15,127,152,26,-8,NaN,0,insufficient_clean_prebaseline,NaN,0.811694747274529
M400-01-baseline-awake,BOI_reference,single_noise,sink,7,101,160,1,0.41997564669894,146,115,143,14,-17,NaN,0,insufficient_clean_prebaseline,1,0.754212091179385
M400-01-baseline-awake,BOI_reference,single_noise,surge,7,101,160,2,0.254453459477261,15,127,152,26,-8,NaN,0,insufficient_clean_prebaseline,NaN,0.78394449950446
M400-01-baseline-awake,BOI_reference,moving_clean,sink,8,101,160,1,0.487531821337653,150,112,149,11,-11,0.0970259921352212,0,valid,0,0.793607532210109
M400-01-baseline-awake,BOI_reference,moving_clean,surge,8,101,160,1,0.119391944930862,14,107,116,6,-44,0.0333416445391524,0,valid,NaN,0.755781301618764
M401-01-baseline-awake,BOI_reference,control,sink,1,41,60,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.708622398414272
M401-01-baseline-awake,BOI_reference,control,sink,2,66,85,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.708622398414272
M401-01-baseline-awake,BOI_reference,control,sink,3,111,130,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.708622398414272
M401-01-baseline-awake,BOI_reference,control,sink,4,146,165,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.708622398414272
M401-01-baseline-awake,BOI_reference,control,sink,5,196,215,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.708622398414272
M401-01-baseline-awake,BOI_reference,control,sink,6,246,265,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.708622398414272
M401-01-baseline-awake,BOI_reference,control,sink,7,101,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.708622398414272
M401-01-baseline-awake,BOI_reference,control,sink,8,101,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.7499339279815
M401-01-baseline-awake,BOI_reference,control,surge,1,41,60,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.912784935579782
M401-01-baseline-awake,BOI_reference,control,surge,2,66,85,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.912784935579782
M401-01-baseline-awake,BOI_reference,control,surge,3,111,130,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.912784935579782
M401-01-baseline-awake,BOI_reference,control,surge,4,146,165,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.912784935579782
M401-01-baseline-awake,BOI_reference,control,surge,5,196,215,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.912784935579782
M401-01-baseline-awake,BOI_reference,control,surge,6,246,265,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.912784935579782
M401-01-baseline-awake,BOI_reference,control,surge,7,101,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.912784935579782
M401-01-baseline-awake,BOI_reference,control,surge,8,101,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.901090188305253
M401-01-baseline-awake,BOI_reference,smooth_pairs,sink,1,41,60,1,0.42527386541471,64,45,56,3,-4,NaN,1,insufficient_clean_prebaseline,1,0.692765113974232
M401-01-baseline-awake,BOI_reference,smooth_pairs,sink,2,66,85,1,0.463428163879864,65,70,81,4,-4,NaN,1,insufficient_clean_prebaseline,1,0.692765113974232
M401-01-baseline-awake,BOI_reference,smooth_pairs,sink,3,111,130,1,0.507998678684347,66,115,126,3,-3,NaN,0,insufficient_clean_prebaseline,1,0.692765113974232
M401-01-baseline-awake,BOI_reference,smooth_pairs,sink,4,146,165,1,0.428631243981074,67,150,160,3,-3,NaN,0,insufficient_clean_prebaseline,1,0.692765113974232
M401-01-baseline-awake,BOI_reference,smooth_pairs,sink,5,196,215,1,0.453882538431218,68,200,211,3,-3,NaN,0,insufficient_clean_prebaseline,1,0.692765113974232
M401-01-baseline-awake,BOI_reference,smooth_pairs,sink,6,246,265,1,0.516193879830243,69,249,261,3,-2,NaN,0,insufficient_clean_prebaseline,1,0.692765113974232
M401-01-baseline-awake,BOI_reference,smooth_pairs,surge,1,41,60,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.861248761149653
M401-01-baseline-awake,BOI_reference,smooth_pairs,surge,2,66,85,1,0.366075750242014,5,70,81,4,-4,NaN,0,insufficient_clean_prebaseline,NaN,0.861248761149653
M401-01-baseline-awake,BOI_reference,smooth_pairs,surge,3,111,130,1,0.383898763155385,6,115,126,4,-4,NaN,0,insufficient_clean_prebaseline,NaN,0.861248761149653
M401-01-baseline-awake,BOI_reference,smooth_pairs,surge,4,146,165,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.861248761149653
M401-01-baseline-awake,BOI_reference,smooth_pairs,surge,5,196,215,1,0.354003718898498,7,199,210,3,-5,NaN,0,insufficient_clean_prebaseline,NaN,0.861248761149653
M401-01-baseline-awake,BOI_reference,smooth_pairs,surge,6,246,265,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.861248761149653
M401-01-baseline-awake,BOI_reference,single_clean,sink,7,101,160,1,0.504494366412426,90,112,150,11,-10,NaN,0,insufficient_clean_prebaseline,0,0.709613478691774
M401-01-baseline-awake,BOI_reference,single_clean,surge,7,101,160,1,0.391969053279807,6,110,150,9,-10,0.100692191606078,0,valid,NaN,0.898909811694747
M401-01-baseline-awake,BOI_reference,single_noise,sink,7,101,160,1,0.446919069310712,95,113,146,12,-14,NaN,0,insufficient_clean_prebaseline,1,0.715559960356789
M401-01-baseline-awake,BOI_reference,single_noise,surge,7,101,160,1,0.380182968907116,6,110,148,9,-12,0.138806588430872,0,valid,NaN,0.893954410307235
M401-01-baseline-awake,BOI_reference,moving_clean,sink,8,101,160,1,0.53136071744907,92,110,152,9,-8,NaN,0,insufficient_clean_prebaseline,0,0.75383217707301
M401-01-baseline-awake,BOI_reference,moving_clean,surge,8,101,160,2,0.354698734123758,4,107,140,6,-20,NaN,0,insufficient_clean_prebaseline,NaN,0.892566897918731
FB2411,fluorescence_control,control,sink,1,41,60,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.631683168316832
FB2411,fluorescence_control,control,sink,2,66,85,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN,0.631683168316832
